parcel_id,year,lr_score,diff_score,actual,lat,lon
0108010203,2021,0.99388,0.8,1,30.27128253,-97.75798663
0108010301,2021,0.82863,0.9,1,30.27169427,-97.75776289
0108010302,2021,0.99391,0.7,1,30.27182062,-97.75769958
0108010303,2021,0.9939,0.6,1,30.27194523,-97.75763699
0108010304,2021,0.99391,0.9,1,30.27214432,-97.7575819
0108010305,2021,0.0,0.7,1,30.27249617,-97.75745445
0108031205,2021,0.99956,0.5,1,30.27161461,-97.75986105
0108031312,2021,0.99394,0.6,1,30.27275149,-97.75832178
0108031313,2021,0.99395,0.6,1,30.2728553,-97.75813636
0108031314,2021,0.78289,0.4,1,30.27282703,-97.75800834
0108031315,2021,0.99405,0.6,1,30.27273942,-97.75789066
0108031316,2021,0.0,0.3,1,30.27264091,-97.75813255
0108031317,2021,0.78118,0.7,1,30.27249123,-97.75815517
0108031325,2021,0.82823,0.8,1,30.27249895,-97.75914248
0108031334,2021,0.7813,0.8,1,30.2729836,-97.75885803
0108031602,2021,0.99387,0.9791,1,30.27156888,-97.75924568
0108031603,2021,0.78684,0.8,1,30.27180722,-97.75917699
0108031604,2021,0.99395,0.8,1,30.27166469,-97.75889343
0108031606,2021,0.0,0.6,1,30.27157533,-97.75855055
0108031607,2021,0.0,0.3,1,30.27151058,-97.75837699
0108031608,2021,0.78057,0.8,1,30.27127919,-97.7585831
0108031609,2021,0.78364,0.7,1,30.27141119,-97.75899127
0108032001,2021,0.98081,0.6,1,30.27287243,-97.76009744
0209190102,2021,0.99689,0.9,1,30.27857962,-97.68672699
0209190127,2021,0.99097,0.8,1,30.27867967,-97.68689013
0210180414,2021,0.99825,0.7,1,30.27843508,-97.687625
0210180501,2021,0.99955,0.6,1,30.27875978,-97.68920983
0210180505,2021,0.9969,0.9,1,30.27932731,-97.68936309
0210180509,2021,0.99691,1.0,1,30.27987059,-97.68947346
0210180510,2021,0.99691,1.0,1,30.28000493,-97.68949817
0210180511,2021,0.99691,0.8,1,30.28014075,-97.68952508
0210180514,2021,0.99993,0.8,1,30.28049899,-97.68754722
0210180526,2021,0.99099,1.0,1,30.27916837,-97.68739741
0210180532,2021,0.9969,0.7,1,30.27903092,-97.68815013
0210180534,2021,0.9969,0.8,1,30.27894522,-97.68855513
0210180535,2021,0.9969,0.9,1,30.2789396,-97.6887079
0210180549,2021,0.99682,0.8,1,30.27946095,-97.68872719
0210180701,2021,0.99916,0.8,1,30.27828356,-97.68867576
0210180801,2021,0.99916,0.7,1,30.27919161,-97.68933341
0210180901,2021,0.99916,0.9,1,30.27973485,-97.68944769
0210181001,2021,0.99916,0.4,1,30.27959912,-97.68942073
0210181101,2021,0.99916,0.6,1,30.27946314,-97.68939385
0210181401,2021,0.99916,0.6,1,30.27905624,-97.68930545
0210181901,2021,0.99916,0.8,1,30.27892072,-97.68927771
0210182001,2021,0.99916,0.7,1,30.28028843,-97.68951722
0211180507,2021,0.99688,0.8,1,30.28042593,-97.68954157
0211180509,2021,0.99688,0.9,1,30.28069829,-97.68957066
0211180525,2021,0.9969,0.8,1,30.28087751,-97.689162
0211180526,2021,0.9969,0.8,1,30.28070454,-97.68920893
0211180527,2021,0.9969,0.7,1,30.28059642,-97.68907538
0211180528,2021,0.99689,0.7,1,30.28059481,-97.6888529
0211180529,2021,0.9969,0.8,1,30.28072078,-97.68867553
0211180530,2021,0.9969,1.0,1,30.28089747,-97.68868692
0211180531,2021,0.9969,0.9,1,30.28100972,-97.68879019
0211180537,2021,0.9969,0.8,1,30.28088726,-97.68830288
0211180538,2021,0.99689,0.9,1,30.2807671,-97.68819301
0211181301,2021,0.99916,0.7,1,30.28058857,-97.68954868
0211200520,2021,0.9999,0.9,1,30.27967965,-97.68485486
0212101225,2021,0.0,1.0,1,30.28260029,-97.71512281
0212101226,2021,0.0,0.9,1,30.28262706,-97.71536131
0212101227,2021,0.0,0.9,1,30.28258947,-97.71554943
0212101228,2021,0.0,0.9,1,30.28258652,-97.715713
0212101229,2021,0.0,0.8,1,30.28246608,-97.71586336
0212101230,2021,0.0,0.8,1,30.28251037,-97.71606755
0212101232,2021,0.0,0.9,1,30.28233293,-97.71631709
0212101233,2021,0.0,0.8,1,30.28223792,-97.7162215
0212101301,2021,0.0,0.9,1,30.28211908,-97.71600235
0212101302,2021,0.0,0.9,1,30.28216751,-97.71581839
0212101303,2021,0.0,0.8,1,30.28211836,-97.71561153
0212101304,2021,0.0,0.9,1,30.2821502,-97.71542459
0212101305,2021,0.0,0.8,1,30.28219066,-97.71517721
0212101306,2021,0.0,0.8,1,30.28226811,-97.71499869
0212101307,2021,0.0,0.7,1,30.28181979,-97.71480009
0212101308,2021,0.0,0.9,1,30.2818679,-97.71507314
0212101309,2021,0.0,1.0,1,30.28179974,-97.71530334
0212101310,2021,0.0,0.9,1,30.28179404,-97.71553905
0212101311,2021,0.0,0.9,1,30.28164969,-97.71571535
0212101312,2021,0.0,1.0,1,30.28176679,-97.716141
0212101313,2021,0.0,0.9,1,30.2818982,-97.71614386
0212101314,2021,0.0,0.9,1,30.28203919,-97.71624381
0212101316,2021,0.0,1.0,1,30.28156189,-97.71625462
0212101317,2021,0.0,0.9,1,30.28165554,-97.71587122
0212101401,2021,0.0,1.0,1,30.28133065,-97.71583061
0212101402,2021,0.0,0.9,1,30.28137287,-97.7156627
0212101404,2021,0.0,0.8,1,30.28130295,-97.715238
0212101405,2021,0.0,0.9,1,30.28132989,-97.7150725
0212101407,2021,0.0,1.0,1,30.28151015,-97.71465318
0212101408,2021,0.0,0.9,1,30.28103932,-97.71450429
0212101410,2021,0.0,1.0,1,30.28101886,-97.7150379
0212101414,2021,0.0,1.0,1,30.28096496,-97.71567455
0212101415,2021,0.0,0.9,1,30.28083562,-97.7159667
0212101416,2021,0.0,1.0,1,30.28104638,-97.71602111
0212101417,2021,0.0,0.8,1,30.28129484,-97.71619692
0212101504,2021,0.0,1.0,1,30.28212497,-97.71687086
0212101505,2021,0.0,0.9,1,30.28198262,-97.71680668
0212101506,2021,0.0,1.0,1,30.28180604,-97.71676691
0212101507,2021,0.0,0.9,1,30.28165802,-97.71671384
0212101514,2021,0.0,1.0,1,30.28152565,-97.71669999
