parcel_id,year,lr_score,diff_score,ensemble_score,actual,lat,lon
0108010203,2021,0.99388,0.99612,0.995,1,30.27128253,-97.75798663
0108010301,2021,0.82863,0.89798,0.86331,1,30.27169427,-97.75776289
0108010302,2021,0.99391,0.99607,0.99499,1,30.27182062,-97.75769958
0108010303,2021,0.9939,0.99614,0.99502,1,30.27194523,-97.75763699
0108010304,2021,0.99391,0.99617,0.99504,1,30.27214432,-97.7575819
0108010305,2021,0.0,0.78764,0.39382,1,30.27249617,-97.75745445
0108031205,2021,0.99956,0.00092,0.50024,1,30.27161461,-97.75986105
0108031312,2021,0.99394,0.99615,0.99504,1,30.27275149,-97.75832178
0108031313,2021,0.99395,0.99616,0.99505,1,30.2728553,-97.75813636
0108031314,2021,0.78289,0.99544,0.88917,1,30.27282703,-97.75800834
0108031315,2021,0.99405,0.99619,0.99512,1,30.27273942,-97.75789066
0108031316,2021,0.0,0.85586,0.42793,1,30.27264091,-97.75813255
0108031317,2021,0.78118,0.99546,0.88832,1,30.27249123,-97.75815517
0108031325,2021,0.82823,0.64398,0.73611,1,30.27249895,-97.75914248
0108031334,2021,0.7813,0.89857,0.83994,1,30.2729836,-97.75885803
0108031602,2021,0.99387,0.99619,0.99503,1,30.27156888,-97.75924568
0108031603,2021,0.78684,0.99606,0.89145,1,30.27180722,-97.75917699
0108031604,2021,0.99395,0.99618,0.99507,1,30.27166469,-97.75889343
0108031606,2021,0.0,0.69068,0.34534,1,30.27157533,-97.75855055
0108031607,2021,0.0,0.82161,0.41081,1,30.27151058,-97.75837699
0108031608,2021,0.78057,0.99567,0.88812,1,30.27127919,-97.7585831
0108031609,2021,0.78364,0.99559,0.88962,1,30.27141119,-97.75899127
0108032001,2021,0.98081,0.99628,0.98854,1,30.27287243,-97.76009744
0209190102,2021,0.99689,0.99652,0.99671,1,30.27857962,-97.68672699
0209190127,2021,0.99097,0.89539,0.94318,1,30.27867967,-97.68689013
0210180414,2021,0.99825,0.99628,0.99726,1,30.27843508,-97.687625
0210180501,2021,0.99955,0.99683,0.99819,1,30.27875978,-97.68920983
0210180505,2021,0.9969,0.89688,0.94689,1,30.27932731,-97.68936309
0210180509,2021,0.99691,0.99648,0.99669,1,30.27987059,-97.68947346
0210180510,2021,0.99691,0.99644,0.99667,1,30.28000493,-97.68949817
0210180511,2021,0.99691,0.99648,0.99669,1,30.28014075,-97.68952508
0210180514,2021,0.99993,0.20205,0.60099,1,30.28049899,-97.68754722
0210180526,2021,0.99099,0.99674,0.99386,1,30.27916837,-97.68739741
0210180532,2021,0.9969,0.99631,0.99661,1,30.27903092,-97.68815013
0210180534,2021,0.9969,0.99653,0.99672,1,30.27894522,-97.68855513
0210180535,2021,0.9969,0.9731,0.985,1,30.2789396,-97.6887079
0210180549,2021,0.99682,0.89218,0.9445,1,30.27946095,-97.68872719
0210180701,2021,0.99916,0.59378,0.79647,1,30.27828356,-97.68867576
0210180801,2021,0.99916,0.69841,0.84879,1,30.27919161,-97.68933341
0210180901,2021,0.99916,0.39946,0.69931,1,30.27973485,-97.68944769
0210181001,2021,0.99916,0.54355,0.77136,1,30.27959912,-97.68942073
0210181101,2021,0.99916,0.72652,0.86284,1,30.27946314,-97.68939385
0210181401,2021,0.99916,0.3003,0.64973,1,30.27905624,-97.68930545
0210181901,2021,0.99916,0.64312,0.82114,1,30.27892072,-97.68927771
0210182001,2021,0.99916,0.5146,0.75688,1,30.28028843,-97.68951722
0211180507,2021,0.99688,0.99643,0.99666,1,30.28042593,-97.68954157
0211180509,2021,0.99688,0.99655,0.99671,1,30.28069829,-97.68957066
0211180525,2021,0.9969,0.99649,0.99669,1,30.28087751,-97.689162
0211180526,2021,0.9969,0.99627,0.99658,1,30.28070454,-97.68920893
0211180527,2021,0.9969,0.89696,0.94693,1,30.28059642,-97.68907538
0211180528,2021,0.99689,0.99645,0.99667,1,30.28059481,-97.6888529
0211180529,2021,0.9969,0.9964,0.99665,1,30.28072078,-97.68867553
0211180530,2021,0.9969,0.99652,0.99671,1,30.28089747,-97.68868692
0211180531,2021,0.9969,0.99422,0.99556,1,30.28100972,-97.68879019
0211180537,2021,0.9969,0.99648,0.99669,1,30.28088726,-97.68830288
0211180538,2021,0.99689,0.99632,0.9966,1,30.2807671,-97.68819301
0211181301,2021,0.99916,0.20412,0.60164,1,30.28058857,-97.68954868
0211200520,2021,0.9999,0.0008,0.50035,1,30.27967965,-97.68485486
0212101225,2021,0.0,0.90282,0.45141,1,30.28260029,-97.71512281
0212101226,2021,0.0,0.70428,0.35214,1,30.28262706,-97.71536131
0212101227,2021,0.0,0.79656,0.39828,1,30.28258947,-97.71554943
0212101228,2021,0.0,0.995,0.4975,1,30.28258652,-97.715713
0212101229,2021,0.0,0.59909,0.29954,1,30.28246608,-97.71586336
0212101230,2021,0.0,0.75402,0.37701,1,30.28251037,-97.71606755
0212101232,2021,0.0,0.79187,0.39593,1,30.28233293,-97.71631709
0212101233,2021,0.0,0.89652,0.44826,1,30.28223792,-97.7162215
0212101301,2021,0.0,0.79658,0.39829,1,30.28211908,-97.71600235
0212101302,2021,0.0,0.88676,0.44338,1,30.28216751,-97.71581839
0212101303,2021,0.0,0.79721,0.3986,1,30.28211836,-97.71561153
0212101304,2021,0.0,0.89677,0.44838,1,30.2821502,-97.71542459
0212101305,2021,0.0,0.50579,0.25289,1,30.28219066,-97.71517721
0212101306,2021,0.0,0.69679,0.34839,1,30.28226811,-97.71499869
0212101307,2021,0.0,0.79711,0.39856,1,30.28181979,-97.71480009
0212101308,2021,0.0,0.80298,0.40149,1,30.2818679,-97.71507314
0212101309,2021,0.0,0.99617,0.49808,1,30.28179974,-97.71530334
0212101310,2021,0.0,0.97993,0.48996,1,30.28179404,-97.71553905
0212101311,2021,0.0,0.70237,0.35118,1,30.28164969,-97.71571535
0212101312,2021,0.0,0.79297,0.39649,1,30.28176679,-97.716141
0212101313,2021,0.0,0.79648,0.39824,1,30.2818982,-97.71614386
0212101314,2021,0.0,0.79654,0.39827,1,30.28203919,-97.71624381
0212101316,2021,0.0,0.49974,0.24987,1,30.28156189,-97.71625462
0212101317,2021,0.0,0.77082,0.38541,1,30.28165554,-97.71587122
0212101401,2021,0.0,0.89655,0.44828,1,30.28133065,-97.71583061
0212101402,2021,0.0,0.8679,0.43395,1,30.28137287,-97.7156627
0212101404,2021,0.0,0.89664,0.44832,1,30.28130295,-97.715238
0212101405,2021,0.0,0.89647,0.44823,1,30.28132989,-97.7150725
0212101407,2021,0.0,0.70161,0.3508,1,30.28151015,-97.71465318
0212101408,2021,0.0,0.69771,0.34885,1,30.28103932,-97.71450429
0212101410,2021,0.0,0.51743,0.25872,1,30.28101886,-97.7150379
0212101414,2021,0.0,0.79724,0.39862,1,30.28096496,-97.71567455
0212101415,2021,0.0,0.89669,0.44835,1,30.28083562,-97.7159667
0212101416,2021,0.0,0.69685,0.34842,1,30.28104638,-97.71602111
0212101417,2021,0.0,0.79584,0.39792,1,30.28129484,-97.71619692
0212101504,2021,0.0,0.8965,0.44825,1,30.28212497,-97.71687086
0212101505,2021,0.0,0.89668,0.44834,1,30.28198262,-97.71680668
0212101506,2021,0.0,0.79526,0.39763,1,30.28180604,-97.71676691
0212101507,2021,0.0,0.89666,0.44833,1,30.28165802,-97.71671384
0212101514,2021,0.0,0.59838,0.29919,1,30.28152565,-97.71669999
0212101515,2021,0.0,0.69701,0.3485,1,30.28141057,-97.71667476
0212101516,2021,0.0,0.80618,0.40309,1,30.28124589,-97.71662718
0212101517,2021,0.0,0.69754,0.34877,1,30.28107314,-97.71659967
0212101518,2021,0.0,0.67196,0.33598,1,30.28091907,-97.71656448
0212101519,2021,0.0,0.8961,0.44805,1,30.28074104,-97.71652434
0212101521,2021,0.0,0.3064,0.1532,1,30.28074,-97.71696447
0212101522,2021,0.0,0.89642,0.44821,1,30.28099741,-97.71705458
0212101523,2021,0.0,0.79817,0.39908,1,30.28115043,-97.71708962
0212101524,2021,0.0,0.69767,0.34883,1,30.28130671,-97.7171254
0212101525,2021,0.0,0.6969,0.34845,1,30.28147707,-97.71713312
0212101801,2021,0.0,0.62874,0.31437,1,30.28127127,-97.71543434
0212102001,2021,0.0,0.39918,0.19959,1,30.28096685,-97.71539412
0212102101,2021,0.0,0.39444,0.19722,1,30.28102494,-97.71523644
0218240101,2021,0.99645,0.74748,0.87196,1,30.29927178,-97.66661003
0218240104,2021,0.99996,0.49808,0.74902,1,30.29991364,-97.67156498
0219230403,2021,0.99941,0.9967,0.99805,1,30.30307332,-97.67218843
0219230404,2021,0.99941,0.99674,0.99807,1,30.30254929,-97.67267958
0219230405,2021,0.99692,0.99657,0.99674,1,30.30209002,-97.67289231
0219230408,2021,0.99692,0.59688,0.7969,1,30.30155526,-97.67342287
0219230409,2021,0.99097,0.49873,0.74485,1,30.30172494,-97.6738998
0221240918,2021,0.98994,0.59669,0.79332,1,30.30377839,-97.67285795
0221241401,2021,0.99936,0.59835,0.79886,1,30.30449025,-97.67122628
0242020461,2021,0.0,0.00093,0.00047,1,30.36915193,-97.74653132
0242020463,2021,0.0,0.17893,0.08946,1,30.36721845,-97.74414416
0243030103,2021,0.0,0.00185,0.00093,1,30.3695639,-97.74349575
0303170519,2021,0.99635,0.95634,0.97635,1,30.2404483,-97.69146324
0303170520,2021,0.99635,0.9969,0.99662,1,30.2402824,-97.69127862
0303170521,2021,0.99634,0.99681,0.99657,1,30.24018353,-97.69115536
0303170522,2021,0.99946,0.97505,0.98726,1,30.2399989,-97.69093833
0303170523,2021,0.99632,0.89915,0.94773,1,30.23986139,-97.69083877
0303170524,2021,0.99636,0.99687,0.99661,1,30.23973015,-97.69056986
0303170529,2021,0.99634,0.97084,0.98359,1,30.2393139,-97.69188941
0303170530,2021,0.99632,0.99684,0.99658,1,30.23944664,-97.69196506
0303170531,2021,0.99635,0.99685,0.9966,1,30.23954902,-97.69208791
0303170532,2021,0.99635,0.99684,0.9966,1,30.23964237,-97.69219976
0303170533,2021,0.99633,0.99671,0.99652,1,30.23973551,-97.69230919
0303170534,2021,0.99635,0.99686,0.9966,1,30.23983245,-97.69242248
0303170535,2021,0.99635,0.99667,0.99651,1,30.23993086,-97.69254039
0303170539,2021,0.99871,0.60539,0.80205,1,30.24023938,-97.69254631
0303170547,2021,0.99636,0.99668,0.99652,1,30.24039025,-97.6921157
0303170548,2021,0.99633,0.99681,0.99657,1,30.24030447,-97.6919768
0303170549,2021,0.99634,0.99681,0.99658,1,30.24030078,-97.69185012
0303170550,2021,0.99632,0.99692,0.99662,1,30.24018373,-97.69172988
0303170553,2021,0.99632,0.99649,0.99641,1,30.23936211,-97.69056347
0303170557,2021,0.99634,0.99636,0.99635,1,30.23906083,-97.69162423
0303170560,2021,0.9993,0.99685,0.99807,1,30.23970783,-97.69042479
0303170561,2021,0.99634,0.99671,0.99652,1,30.23957496,-97.69043095
0303170563,2021,0.99488,0.92839,0.96164,1,30.23975199,-97.69029762
0303170564,2021,0.98557,0.99692,0.99125,1,30.23963646,-97.69029082
0303170566,2021,0.99634,0.99681,0.99658,1,30.23947108,-97.69048548
0303170567,2021,0.99632,0.99679,0.99656,1,30.24008659,-97.69103209
0303170620,2021,0.99633,0.89712,0.94673,1,30.24076853,-97.69166651
0303170621,2021,0.99633,0.8977,0.94701,1,30.24064079,-97.69181347
0303170701,2021,0.99901,0.45534,0.72718,1,30.23920891,-97.69175683
0304160306,2021,0.99124,0.36163,0.67643,1,30.23927172,-97.69252624
0304200402,2021,0.99947,0.98044,0.98995,1,30.23866657,-97.69031721
0305180202,2021,0.99304,0.87227,0.93266,1,30.23770327,-97.68999937
0305180406,2021,0.99635,0.80174,0.89904,1,30.23811395,-97.6913372
0305180407,2021,0.9973,0.91026,0.95378,1,30.23823465,-97.69153136
0305180408,2021,0.99634,0.99683,0.99658,1,30.23836964,-97.69170452
0305180409,2021,0.99635,0.99689,0.99662,1,30.23851387,-97.69185532
0305180410,2021,0.99634,0.99676,0.99655,1,30.2386047,-97.69201231
0305180411,2021,0.99634,0.99682,0.99658,1,30.23871489,-97.69214423
0402030101,2021,0.99976,0.99686,0.99831,1,30.24323393,-97.76362343
0402030105,2021,0.99901,0.29954,0.64927,1,30.24283413,-97.76364873
0402030235,2021,0.99635,0.99621,0.99628,1,30.24359835,-97.76324119
0402030236,2021,0.99635,0.99535,0.99585,1,30.24366248,-97.76351863
0402040218,2021,0.99991,0.77922,0.88956,1,30.24388219,-97.7638938
0402040406,2021,0.99991,0.71687,0.85839,1,30.24287201,-97.76457459
0402040410,2021,0.99976,0.99687,0.99832,1,30.24337497,-97.76386671
0402040412,2021,0.9999,0.69783,0.84887,1,30.24295897,-97.76418369
0402040413,2021,0.99991,0.55372,0.77681,1,30.24316679,-97.76406204
0402040414,2021,0.99946,0.99105,0.99526,1,30.24273816,-97.76407647
0402040707,2021,0.99634,0.9963,0.99632,1,30.2435132,-97.76509844
0402040708,2021,0.99633,0.99684,0.99658,1,30.24370697,-97.76507731
0402040709,2021,0.99634,0.99685,0.9966,1,30.24382157,-97.76498092
0402040721,2021,0.99988,0.99688,0.99838,1,30.24386938,-97.76456112
0402040722,2021,0.99988,0.99689,0.99838,1,30.24360881,-97.76474669
0402040727,2021,0.99988,0.96719,0.98353,1,30.24338583,-97.76486969
0402040728,2021,0.99987,0.89725,0.94856,1,30.24321888,-97.76488935
0402040729,2021,0.99987,0.99685,0.99836,1,30.24304102,-97.76496472
0402550101,2021,0.0,0.89546,0.44773,1,30.24836346,-97.92098718
0402550201,2021,0.0,0.63177,0.31588,1,30.2483716,-97.92204948
0402550724,2021,0.0,0.77519,0.38759,1,30.24915171,-97.92381713
0404040717,2021,0.99992,0.4296,0.71476,1,30.24181384,-97.76326606
0404550107,2021,0.0,0.72376,0.36188,1,30.24593263,-97.92208408
0404550108,2021,0.0,0.59151,0.29576,1,30.24565388,-97.92243042
0404550113,2021,0.0,0.99533,0.49766,1,30.24656282,-97.9210606
0404550123,2021,0.0,0.73162,0.36581,1,30.24782057,-97.91984797
0404550125,2021,0.0,0.89637,0.44819,1,30.24533807,-97.92356728
0404550130,2021,0.0,0.89687,0.44844,1,30.24617512,-97.92425983
0404550131,2021,0.0,0.82837,0.41419,1,30.24787434,-97.92223344
0404550132,2021,0.0,0.89662,0.44831,1,30.24744399,-97.9224131
0404550134,2021,0.0,0.39907,0.19953,1,30.24785685,-97.921507
0404550301,2021,0.0,0.29312,0.14656,1,30.24759569,-97.92413012
0419130501,2021,0.98661,0.99623,0.99142,1,30.19551551,-97.79848453
0419130502,2021,0.98662,0.91274,0.94968,1,30.19472092,-97.79834833
0419130507,2021,0.98664,0.99607,0.99136,1,30.19483788,-97.79916992
0419130508,2021,0.98658,0.99636,0.99147,1,30.1951466,-97.79870542
0419130509,2021,0.98665,0.89635,0.9415,1,30.19471828,-97.79665779
0419130510,2021,0.9865,0.99609,0.99129,1,30.19424755,-97.79667405
0419130511,2021,0.98654,0.99622,0.99138,1,30.19391864,-97.79666555
0419130512,2021,0.98656,0.99612,0.99134,1,30.19359394,-97.7966349
0419130513,2021,0.98654,0.99635,0.99144,1,30.19484822,-97.79722144
0419130514,2021,0.98654,0.87479,0.93066,1,30.19470224,-97.79720235
0419130515,2021,0.98655,0.89595,0.94125,1,30.19457709,-97.7971782
0419130516,2021,0.98656,0.99567,0.99111,1,30.1938838,-97.79708053
0419130517,2021,0.96022,0.79934,0.87978,1,30.19333488,-97.79727903
0419150606,2021,0.98654,0.9572,0.97187,1,30.19522401,-97.7965483
0419150607,2021,0.98654,0.8967,0.94162,1,30.19528427,-97.79671564
0419150608,2021,0.98654,0.99422,0.99038,1,30.19540124,-97.79688242
0419150609,2021,0.98654,0.99617,0.99136,1,30.19545729,-97.79704221
0419150610,2021,0.98653,0.99604,0.99128,1,30.19553504,-97.79727626
0419151001,2021,0.98653,0.99588,0.9912,1,30.19580771,-97.79806916
0419151002,2021,0.98654,0.99578,0.99116,1,30.1959459,-97.79793488
0419151023,2021,0.98654,0.99468,0.99061,1,30.1959264,-97.79750077
0419151024,2021,0.98654,0.89672,0.94163,1,30.1958048,-97.79757896
0419151025,2021,0.98653,0.99632,0.99142,1,30.19560065,-97.79766455
0422130401,2021,0.98657,0.9962,0.99139,1,30.19290509,-97.7978698
0422130402,2021,0.98662,0.99567,0.99115,1,30.19318129,-97.79838833
0422130403,2021,0.9866,0.99618,0.99139,1,30.19375447,-97.79891529
0422130409,2021,0.98663,0.99615,0.99139,1,30.19441973,-97.79917639
0423150301,2021,0.96181,0.89282,0.92732,1,30.191918,-97.79728154
0423150805,2021,0.0,0.00455,0.00228,1,30.18509305,-97.80071197
0424000410,2021,0.0,0.54291,0.27145,1,30.18014678,-97.79476031
0424000411,2021,0.0,0.69689,0.34845,1,30.18000302,-97.79492745
0424000412,2021,0.0,0.89633,0.44816,1,30.17983299,-97.79492108
0424000413,2021,0.0,0.89183,0.44591,1,30.17967973,-97.79486628
0424000414,2021,0.0,0.7953,0.39765,1,30.17955445,-97.79460229
0424000415,2021,0.0,0.80853,0.40426,1,30.17967445,-97.79445098
0424000416,2021,0.0,0.60655,0.30328,1,30.17992607,-97.79442159
0424000417,2021,0.0,0.89609,0.44804,1,30.17996358,-97.79414672
0424000418,2021,0.0,0.89664,0.44832,1,30.17966293,-97.79415561
0424000419,2021,0.0,0.69711,0.34855,1,30.17946366,-97.79402204
0424000420,2021,0.0,0.79704,0.39852,1,30.17930121,-97.79423025
0424000422,2021,0.0,0.70357,0.35179,1,30.18006564,-97.79530577
0424000423,2021,0.0,0.89744,0.44872,1,30.18025359,-97.79512859
0424000734,2021,0.0,0.00105,0.00053,1,30.18023502,-97.79698333
0424000735,2021,0.0,0.65328,0.32664,1,30.17966192,-97.79615677
0424000736,2021,0.0,0.8706,0.4353,1,30.1797264,-97.79637957
0424130301,2021,0.0,0.69804,0.34902,1,30.18607376,-97.80018052
0424130375,2021,0.0,0.8956,0.4478,1,30.18634845,-97.79977172
0424130376,2021,0.0,0.83321,0.41661,1,30.18601359,-97.79981582
0424130377,2021,0.0,0.69767,0.34884,1,30.18607684,-97.79955776
0424130378,2021,0.0,0.89354,0.44677,1,30.18605536,-97.79928589
0424130601,2021,0.0,0.65188,0.32594,1,30.1860096,-97.80099635
0424130701,2021,0.0,0.70914,0.35457,1,30.18603067,-97.79903747
0424170601,2021,0.0,0.8964,0.4482,1,30.18564378,-97.79948482
0424170602,2021,0.0,0.89498,0.44749,1,30.18549518,-97.7995663
0424170603,2021,0.0,0.69716,0.34858,1,30.18536418,-97.79956368
0424170604,2021,0.0,0.89625,0.44813,1,30.18524112,-97.79957957
0424170605,2021,0.0,0.79734,0.39867,1,30.18510572,-97.79957703
0424170606,2021,0.0,0.996,0.498,1,30.18498791,-97.79957661
0424170607,2021,0.0,0.69772,0.34886,1,30.1848674,-97.79964089
0424170608,2021,0.0,0.88579,0.44289,1,30.18474102,-97.79960885
0424170609,2021,0.0,0.57648,0.28824,1,30.18461818,-97.79962473
0424170610,2021,0.0,0.81148,0.40574,1,30.18449488,-97.79966026
0424170611,2021,0.0,0.89656,0.44828,1,30.18437342,-97.79965666
0424170612,2021,0.0,0.89672,0.44836,1,30.18424799,-97.79969277
0424170621,2021,0.0,0.88722,0.44361,1,30.1843314,-97.80012084
0424170622,2021,0.0,0.89703,0.44851,1,30.18454816,-97.80004439
0424170623,2021,0.0,0.89632,0.44816,1,30.18463879,-97.80014199
0424170624,2021,0.0,0.89764,0.44882,1,30.18466869,-97.80034749
0424170625,2021,0.0,0.52684,0.26342,1,30.184607,-97.80056452
0424170626,2021,0.0,0.84408,0.42204,1,30.18449959,-97.80064322
0424170627,2021,0.0,0.79801,0.399,1,30.18435339,-97.80068282
0424170708,2021,0.0,0.8969,0.44845,1,30.1854705,-97.79912989
0424170810,2021,0.0,0.89504,0.44752,1,30.18446046,-97.79914421
0424170811,2021,0.0,0.99605,0.49802,1,30.18458115,-97.79912809
0424170812,2021,0.0,0.89507,0.44754,1,30.18470493,-97.79911159
0424170813,2021,0.0,0.89681,0.4484,1,30.18482768,-97.79909521
0424170814,2021,0.0,0.74568,0.37284,1,30.18494838,-97.79907928
0424170815,2021,0.0,0.5915,0.29575,1,30.18509201,-97.79909286
0424210301,2021,0.0,0.79667,0.39834,1,30.18950502,-97.82423294
0424210302,2021,0.0,0.9964,0.4982,1,30.18924781,-97.82464681
0424210303,2021,0.0,0.9915,0.49575,1,30.18893532,-97.8248595
0424210304,2021,0.0,0.99615,0.49808,1,30.18855108,-97.82504086
0424210325,2021,0.98664,0.99621,0.99142,1,30.18888156,-97.82545875
0424210326,2021,0.98685,0.8987,0.94278,1,30.1891095,-97.82543699
