parcel_id,year,lr_score,diff_score,ensemble_score,lr_cal,diff_cal,ens_cal,actual,lat,lon
0108010203,2021,0.99388,0.9952,0.99454,0.94255,0.999999,0.999978,1,30.271283,-97.757987
0108010301,2021,0.82863,0.99505,0.91184,0.703954,0.999999,0.991922,1,30.271694,-97.757763
0108010302,2021,0.99391,0.99613,0.99502,0.942697,0.999999,0.999982,1,30.271821,-97.7577
0108010303,2021,0.9939,0.99607,0.99498,0.942648,0.999999,0.999981,1,30.271945,-97.757637
0108010304,2021,0.99391,0.99614,0.99503,0.942697,0.999999,0.999982,1,30.272144,-97.757582
0108010305,2021,0.0,0.79935,0.39968,0.000142,0.973165,0.302041,1,30.272496,-97.757454
0108031205,2021,0.99956,0.00092,0.50024,0.985905,0.0,0.500494,1,30.271615,-97.759861
0108031312,2021,0.99394,0.99546,0.9947,0.942845,0.999999,0.999979,1,30.272751,-97.758322
0108031313,2021,0.99395,0.99617,0.99506,0.942894,0.999999,0.999982,1,30.272855,-97.758136
0108031314,2021,0.78289,0.99557,0.88923,0.669286,0.999999,0.986463,1,30.272827,-97.758008
0108031315,2021,0.99405,0.99601,0.99503,0.943388,0.999999,0.999982,1,30.272739,-97.757891
0108031316,2021,0.0,0.69675,0.34837,0.000142,0.896699,0.215959,1,30.272641,-97.758133
0108031317,2021,0.78118,0.99535,0.88826,0.668064,0.999999,0.986191,1,30.272491,-97.758155
0108031325,2021,0.82823,0.58492,0.70657,0.703632,0.709112,0.859291,1,30.272499,-97.759142
0108031334,2021,0.7813,0.99579,0.88855,0.66815,0.999999,0.986272,1,30.272984,-97.758858
0108031602,2021,0.99387,0.99609,0.99498,0.942501,0.999999,0.999981,1,30.271569,-97.759246
0108031603,2021,0.78684,0.9955,0.89117,0.672126,0.999999,0.986998,1,30.271807,-97.759177
0108031604,2021,0.99395,0.99612,0.99503,0.942894,0.999999,0.999982,1,30.271665,-97.758893
0108031606,2021,0.0,0.79668,0.39834,0.000142,0.972018,0.299621,1,30.271575,-97.758551
0108031607,2021,0.0,0.85092,0.42546,0.000142,0.989282,0.350118,1,30.271511,-97.758377
0108031608,2021,0.78057,0.99591,0.88824,0.66763,0.999999,0.986185,1,30.271279,-97.758583
0108031609,2021,0.78364,0.99563,0.88964,0.669823,0.999999,0.986577,1,30.271411,-97.758991
0108032001,2021,0.98081,0.89688,0.93884,0.896809,0.996386,0.996401,1,30.272872,-97.760097
0209190102,2021,0.99689,0.99644,0.99666,0.959744,1.0,0.999992,1,30.27858,-97.686727
0209190127,2021,0.99097,0.79565,0.89331,0.929711,0.971566,0.987573,1,30.27868,-97.68689
0210180414,2021,0.99825,0.99635,0.9973,0.97035,1.0,0.999995,1,30.278435,-97.687625
0210180501,2021,0.99955,0.79997,0.89976,0.985732,0.973426,0.989213,1,30.27876,-97.68921
0210180505,2021,0.9969,0.99644,0.99667,0.959813,1.0,0.999992,1,30.279327,-97.689363
0210180509,2021,0.99691,0.99651,0.99671,0.959881,1.0,0.999992,1,30.279871,-97.689473
0210180510,2021,0.99691,0.99601,0.99646,0.959881,0.999999,0.999991,1,30.280005,-97.689498
0210180511,2021,0.99691,0.99452,0.99572,0.959881,0.999999,0.999987,1,30.280141,-97.689525
0210180514,2021,0.99993,0.04264,0.52129,0.994823,0.000309,0.543751,1,30.280499,-97.687547
0210180526,2021,0.99099,0.68982,0.84041,0.929792,0.888589,0.968342,1,30.279168,-97.687397
0210180532,2021,0.9969,0.99648,0.99669,0.959813,1.0,0.999992,1,30.279031,-97.68815
0210180534,2021,0.9969,0.99645,0.99667,0.959813,1.0,0.999992,1,30.278945,-97.688555
0210180535,2021,0.9969,0.99644,0.99667,0.959813,1.0,0.999992,1,30.27894,-97.688708
0210180549,2021,0.99682,0.99652,0.99667,0.959267,1.0,0.999992,1,30.279461,-97.688727
0210180701,2021,0.99916,0.58856,0.79386,0.980006,0.71709,0.941379,1,30.278284,-97.688676
0210180801,2021,0.99916,0.51148,0.75532,0.980006,0.529793,0.910592,1,30.279192,-97.689333
0210180901,2021,0.99916,0.4994,0.74928,0.980006,0.498441,0.905008,1,30.279735,-97.689448
0210181001,2021,0.99916,0.30285,0.65101,0.980006,0.102846,0.783088,1,30.279599,-97.689421
0210181101,2021,0.99916,0.39834,0.69875,0.980006,0.255152,0.849712,1,30.279463,-97.689394
0210181401,2021,0.99916,0.59832,0.79874,0.980006,0.737916,0.944706,1,30.279056,-97.689305
0210181901,2021,0.99916,0.59373,0.79644,0.980006,0.728227,0.943153,1,30.278921,-97.689278
0210182001,2021,0.99916,0.30033,0.64975,0.980006,0.100013,0.781143,1,30.280288,-97.689517
0211180507,2021,0.99688,0.99643,0.99666,0.959676,1.0,0.999992,1,30.280426,-97.689542
