seed,arch_id,latent_dim,method,pr_auc
42,0,8,ERM,0.901682255214391
42,0,8,V-REx,0.9152179219292633
42,1,16,ERM,0.9023959667258061
42,1,16,V-REx,0.9108899942402939
42,2,4,ERM,0.9017299388017384
42,2,4,V-REx,0.9123718942173118
101,0,8,ERM,0.8949864483692276
101,0,8,V-REx,0.9113653762989053
101,1,16,ERM,0.9040148968673591
101,1,16,V-REx,0.9144677463909624
101,2,4,ERM,0.8996743617330167
101,2,4,V-REx,0.9131231806942497
2024,0,8,ERM,0.9047251116463337
2024,0,8,V-REx,0.9151738359571999
2024,1,16,ERM,0.8983618851650301
2024,1,16,V-REx,0.9124889196320571
2024,2,4,ERM,0.8995515997219643
2024,2,4,V-REx,0.9093341789979071
777,0,8,ERM,0.9053531560696958
777,0,8,V-REx,0.9157612698796713
777,1,16,ERM,0.8954350106577896
777,1,16,V-REx,0.9137525680634593
777,2,4,ERM,0.9006650459051663
777,2,4,V-REx,0.9154105282116458
1234,0,8,ERM,0.9019653325991066
1234,0,8,V-REx,0.9145493072566833
1234,1,16,ERM,0.8999342152769486
1234,1,16,V-REx,0.9133010583344274
1234,2,4,ERM,0.9016639488639902
1234,2,4,V-REx,0.9192944402260217
