pid,year,lr,diff,diff_calibrated,ens_calibrated,actual
0108010203,2021,0.99388,0.9952,0.408602,0.701241,1.0
0108010301,2021,0.82863,0.99505,0.464874,0.646752,1.0
0108010302,2021,0.99391,0.99613,0.576923,0.785417,1.0
0108010303,2021,0.9939,0.99607,0.563636,0.778768,1.0
0108010304,2021,0.99391,0.99614,0.563636,0.778773,1.0
0108010305,2021,0.0,0.79935,0.393258,0.196629,1.0
0108031205,2021,0.99956,0.00092,0.000816,0.500188,1.0
0108031312,2021,0.99394,0.99546,0.408602,0.701271,1.0
0108031313,2021,0.99395,0.99617,0.576923,0.785437,1.0
0108031314,2021,0.78289,0.99557,0.470588,0.626739,1.0
0108031315,2021,0.99405,0.99601,0.576923,0.785487,1.0
0108031316,2021,0.0,0.69675,0.2,0.1,1.0
0108031317,2021,0.78118,0.99535,0.408602,0.594891,1.0
0108031325,2021,0.82823,0.58492,0.055556,0.441893,1.0
0108031334,2021,0.7813,0.99579,0.408602,0.594951,1.0
0108031602,2021,0.99387,0.99609,0.563636,0.778753,1.0
0108031603,2021,0.78684,0.9955,0.470588,0.628714,1.0
0108031604,2021,0.99395,0.99612,0.563636,0.778793,1.0
0108031606,2021,0.0,0.79668,0.435484,0.217742,1.0
0108031607,2021,0.0,0.85092,0.435484,0.217742,1.0
0108031608,2021,0.78057,0.99591,0.563636,0.672103,1.0
0108031609,2021,0.78364,0.99563,0.408602,0.596121,1.0
0108032001,2021,0.98081,0.89688,0.435484,0.708147,1.0
0209190102,2021,0.99689,0.99644,0.576923,0.786907,1.0
0209190127,2021,0.99097,0.79565,0.375,0.682985,1.0
0210180414,2021,0.99825,0.99635,0.576923,0.787587,1.0
0210180501,2021,0.99955,0.79997,0.435484,0.717517,1.0
0210180505,2021,0.9969,0.99644,0.563636,0.780268,1.0
0210180509,2021,0.99691,0.99651,0.563636,0.780273,1.0
0210180510,2021,0.99691,0.99601,0.576923,0.786917,1.0
0210180511,2021,0.99691,0.99452,0.408602,0.702756,1.0
0210180514,2021,0.99993,0.04264,0.000816,0.500373,1.0
0210180526,2021,0.99099,0.68982,0.142857,0.566924,1.0
0210180532,2021,0.9969,0.99648,0.576923,0.786912,1.0
0210180534,2021,0.9969,0.99645,0.576923,0.786912,1.0
0210180535,2021,0.9969,0.99644,0.576923,0.786912,1.0
0210180549,2021,0.99682,0.99652,0.563636,0.780228,1.0
0210180701,2021,0.99916,0.58856,0.055556,0.527358,1.0
0210180801,2021,0.99916,0.51148,0.018182,0.508671,1.0
0210180901,2021,0.99916,0.4994,0.011204,0.505182,1.0
0210181001,2021,0.99916,0.30285,0.001577,0.500369,1.0
0210181101,2021,0.99916,0.39834,0.001438,0.500299,1.0
0210181401,2021,0.99916,0.59832,0.142857,0.571009,1.0
0210181901,2021,0.99916,0.59373,0.042254,0.520707,1.0
0210182001,2021,0.99916,0.30033,0.000499,0.499829,1.0
0211180507,2021,0.99688,0.99643,0.576923,0.786902,1.0
0211180509,2021,0.99688,0.99467,0.435484,0.716182,1.0
0211180525,2021,0.9969,0.99651,0.576923,0.786912,1.0
0211180526,2021,0.9969,0.89968,0.435484,0.716192,1.0
0211180527,2021,0.9969,0.99647,0.563636,0.780268,1.0
0211180528,2021,0.99689,0.91883,0.435484,0.716187,1.0
0211180529,2021,0.9969,0.99642,0.563636,0.780268,1.0
0211180530,2021,0.9969,0.99649,0.563636,0.780268,1.0
0211180531,2021,0.9969,0.99645,0.563636,0.780268,1.0
0211180537,2021,0.9969,0.99654,0.563636,0.780268,1.0
0211180538,2021,0.99689,0.94954,0.408602,0.702746,1.0
0211181301,2021,0.99916,0.39929,0.001577,0.500369,1.0
0211200520,2021,0.9999,0.00088,0.000816,0.500358,1.0
0212101225,2021,0.0,0.89671,0.435484,0.217742,1.0
0212101226,2021,0.0,0.69777,0.2,0.1,1.0
0212101227,2021,0.0,0.70228,0.24,0.12,1.0
0212101228,2021,0.0,0.79661,0.393258,0.196629,1.0
0212101229,2021,0.0,0.83115,0.435484,0.217742,1.0
0212101230,2021,0.0,0.89625,0.435484,0.217742,1.0
0212101232,2021,0.0,0.73666,0.24,0.12,1.0
0212101233,2021,0.0,0.55724,0.018182,0.009091,1.0
0212101301,2021,0.0,0.79761,0.393258,0.196629,1.0
0212101302,2021,0.0,0.89664,0.435484,0.217742,1.0
0212101303,2021,0.0,0.89648,0.435484,0.217742,1.0
0212101304,2021,0.0,0.89639,0.435484,0.217742,1.0
0212101305,2021,0.0,0.79717,0.435484,0.217742,1.0
0212101306,2021,0.0,0.89683,0.408602,0.204301,1.0
0212101307,2021,0.0,0.79233,0.375,0.1875,1.0
0212101308,2021,0.0,0.66487,0.142857,0.071429,1.0
0212101309,2021,0.0,0.69928,0.2,0.1,1.0
0212101310,2021,0.0,0.99623,0.576923,0.288462,1.0
0212101311,2021,0.0,0.79868,0.435484,0.217742,1.0
0212101312,2021,0.0,0.78763,0.375,0.1875,1.0
0212101313,2021,0.0,0.89585,0.435484,0.217742,1.0
0212101314,2021,0.0,0.68809,0.173077,0.086538,1.0
0212101316,2021,0.0,0.8965,0.408602,0.204301,1.0
0212101317,2021,0.0,0.69743,0.2,0.1,1.0
0212101401,2021,0.0,0.80651,0.393258,0.196629,1.0
0212101402,2021,0.0,0.9236,0.435484,0.217742,1.0
0212101404,2021,0.0,0.6973,0.2,0.1,1.0
0212101405,2021,0.0,0.6977,0.222222,0.111111,1.0
0212101407,2021,0.0,0.89672,0.408602,0.204301,1.0
0212101408,2021,0.0,0.79552,0.393258,0.196629,1.0
0212101410,2021,0.0,0.89474,0.435484,0.217742,1.0
0212101414,2021,0.0,0.9955,0.408602,0.204301,1.0
0212101415,2021,0.0,0.79686,0.435484,0.217742,1.0
0212101416,2021,0.0,0.79417,0.393258,0.196629,1.0
0212101417,2021,0.0,0.70847,0.210526,0.105263,1.0
0212101504,2021,0.0,0.79731,0.435484,0.217742,1.0
0212101505,2021,0.0,0.89663,0.408602,0.204301,1.0
0212101506,2021,0.0,0.89645,0.408602,0.204301,1.0
0212101507,2021,0.0,0.79196,0.375,0.1875,1.0
0212101514,2021,0.0,0.89204,0.393258,0.196629,1.0
0212101515,2021,0.0,0.79668,0.435484,0.217742,1.0
0212101516,2021,0.0,0.89603,0.408602,0.204301,1.0
0212101517,2021,0.0,0.79283,0.375,0.1875,1.0
0212101518,2021,0.0,0.51751,0.018182,0.009091,1.0
0212101519,2021,0.0,0.70308,0.210526,0.105263,1.0
0212101521,2021,0.0,0.89655,0.408602,0.204301,1.0
0212101522,2021,0.0,0.79589,0.375,0.1875,1.0
0212101523,2021,0.0,0.99606,0.563636,0.281818,1.0
0212101524,2021,0.0,0.59827,0.098746,0.049373,1.0
0212101525,2021,0.0,0.69655,0.173077,0.086538,1.0
0212101801,2021,0.0,0.59954,0.137931,0.068966,1.0
0212102001,2021,0.0,0.48231,0.001488,0.000744,1.0
0212102101,2021,0.0,0.50779,0.050847,0.025424,1.0
0218240101,2021,0.99645,0.79413,0.393258,0.694854,1.0
0218240104,2021,0.99996,0.32296,0.001438,0.500699,1.0
0219230403,2021,0.99941,0.99672,0.625,0.812205,1.0
0219230404,2021,0.99941,0.99673,0.625,0.812205,1.0
0219230405,2021,0.99692,0.79757,0.435484,0.716202,1.0
0219230408,2021,0.99692,0.69262,0.142857,0.569889,1.0
0219230409,2021,0.99097,0.49841,0.001488,0.496229,1.0
0221240918,2021,0.98994,0.49697,0.001488,0.495714,1.0
0221241401,2021,0.99936,0.579,0.04,0.51968,1.0
0242020461,2021,0.0,0.00088,0.000499,0.000249,1.0
0242020463,2021,0.0,0.1021,0.000499,0.000249,1.0
0243030103,2021,0.0,0.01213,0.000499,0.000249,1.0
0303170519,2021,0.99635,0.99687,0.75,0.873175,1.0
0303170520,2021,0.99635,0.89819,0.435484,0.715917,1.0
0303170521,2021,0.99634,0.99681,0.615385,0.805862,1.0
0303170522,2021,0.99946,0.98217,0.408602,0.704031,1.0
0303170523,2021,0.99632,0.99688,0.75,0.87316,1.0
0303170524,2021,0.99636,0.99626,0.563636,0.779998,1.0
0303170529,2021,0.99634,0.99683,0.625,0.81067,1.0
0303170530,2021,0.99632,0.99682,0.615385,0.805852,1.0
0303170531,2021,0.99635,0.89865,0.435484,0.715917,1.0
0303170532,2021,0.99635,0.99681,0.615385,0.805867,1.0
0303170533,2021,0.99633,0.99682,0.625,0.810665,1.0
0303170534,2021,0.99635,0.9967,0.563636,0.779993,1.0
0303170535,2021,0.99635,0.99687,0.625,0.810675,1.0
0303170539,2021,0.99871,0.99547,0.408602,0.703656,1.0
0303170547,2021,0.99636,0.99677,0.615385,0.805872,1.0
0303170548,2021,0.99633,0.99633,0.576923,0.786627,1.0
0303170549,2021,0.99634,0.99668,0.563636,0.779988,1.0
0303170550,2021,0.99632,0.90654,0.408602,0.702461,1.0
0303170553,2021,0.99632,0.79761,0.393258,0.694789,1.0
0303170557,2021,0.99634,0.99686,0.625,0.81067,1.0
0303170560,2021,0.9993,0.99674,0.615385,0.807342,1.0
0303170561,2021,0.99634,0.89806,0.408602,0.702471,1.0
0303170563,2021,0.99488,0.99652,0.563636,0.779258,1.0
0303170564,2021,0.98557,0.99685,0.625,0.805285,1.0
0303170566,2021,0.99634,0.99686,0.625,0.81067,1.0
0303170567,2021,0.99632,0.99685,0.625,0.81066,1.0
0303170620,2021,0.99633,0.99686,0.75,0.873165,1.0
0303170621,2021,0.99633,0.99598,0.563636,0.779983,1.0
0303170701,2021,0.99901,0.3396,0.001577,0.500294,1.0
0304160306,2021,0.99124,0.5487,0.018182,0.504711,1.0
0304200402,2021,0.99947,0.997,0.625,0.812235,1.0
0305180202,2021,0.99304,0.86555,0.435484,0.714262,1.0
0305180406,2021,0.99635,0.92226,0.408602,0.702476,1.0
0305180407,2021,0.9973,0.99649,0.563636,0.780468,1.0
0305180408,2021,0.99634,0.99659,0.576923,0.786632,1.0
0305180409,2021,0.99635,0.99684,0.625,0.810675,1.0
0305180410,2021,0.99634,0.99414,0.408602,0.702471,1.0
0305180411,2021,0.99634,0.99688,0.625,0.81067,1.0
0402030101,2021,0.99976,0.99688,0.625,0.81238,1.0
0402030105,2021,0.99901,0.19929,0.000499,0.499754,1.0
0402030235,2021,0.99635,0.99672,0.625,0.810675,1.0
0402030236,2021,0.99635,0.99685,0.666667,0.831508,1.0
0402040218,2021,0.99991,0.56789,0.055556,0.527733,1.0
0402040406,2021,0.99991,0.60278,0.137931,0.568921,1.0
0402040410,2021,0.99976,0.99688,0.625,0.81238,1.0
0402040412,2021,0.9999,0.59517,0.055556,0.527728,1.0
0402040413,2021,0.99991,0.58401,0.04,0.519955,1.0
0402040414,2021,0.99946,0.89726,0.408602,0.704031,1.0
0402040707,2021,0.99634,0.99684,0.615385,0.805862,1.0
0402040708,2021,0.99633,0.99682,0.615385,0.805857,1.0
0402040709,2021,0.99634,0.89731,0.435484,0.715912,1.0
0402040721,2021,0.99988,0.99672,0.615385,0.807632,1.0
0402040722,2021,0.99988,0.99692,0.625,0.81244,1.0
0402040727,2021,0.99988,0.9968,0.615385,0.807632,1.0
0402040728,2021,0.99987,0.99676,0.625,0.812435,1.0
0402040729,2021,0.99987,0.9968,0.625,0.812435,1.0
0402550101,2021,0.0,0.79218,0.375,0.1875,1.0
0402550201,2021,0.0,0.79705,0.393258,0.196629,1.0
0402550724,2021,0.0,0.79505,0.393258,0.196629,1.0
0404040717,2021,0.99992,0.10662,0.000816,0.500368,1.0
0404550107,2021,0.0,0.59908,0.142857,0.071429,1.0
0404550108,2021,0.0,0.79751,0.393258,0.196629,1.0
0404550113,2021,0.0,0.7972,0.435484,0.217742,1.0
0404550123,2021,0.0,0.99613,0.576923,0.288462,1.0
0404550125,2021,0.0,0.78981,0.375,0.1875,1.0
0404550130,2021,0.0,0.99594,0.563636,0.281818,1.0
0404550131,2021,0.0,0.80013,0.435484,0.217742,1.0
0404550132,2021,0.0,0.89673,0.435484,0.217742,1.0
0404550134,2021,0.0,0.51691,0.018182,0.009091,1.0
0404550301,2021,0.0,0.19426,0.000499,0.000249,1.0
0419130501,2021,0.98661,0.83578,0.393258,0.689934,1.0
0419130502,2021,0.98662,0.9954,0.470588,0.728604,1.0
0419130507,2021,0.98664,0.99592,0.576923,0.781782,1.0
0419130508,2021,0.98658,0.99612,0.563636,0.775108,1.0
0419130509,2021,0.98665,0.99555,0.470588,0.728619,1.0
0419130510,2021,0.9865,0.99621,0.576923,0.781712,1.0
0419130511,2021,0.98654,0.99589,0.551282,0.768911,1.0
0419130512,2021,0.98656,0.99633,0.563636,0.775098,1.0
0419130513,2021,0.98654,0.89357,0.435484,0.711012,1.0
0419130514,2021,0.98654,0.79621,0.435484,0.711012,1.0
0419130515,2021,0.98655,0.77367,0.24,0.613275,1.0
0419130516,2021,0.98656,0.89652,0.435484,0.711022,1.0
0419130517,2021,0.96022,0.89411,0.435484,0.697852,1.0
0419150606,2021,0.98654,0.99609,0.576923,0.781732,1.0
0419150607,2021,0.98654,0.93843,0.435484,0.711012,1.0
0419150608,2021,0.98654,0.9959,0.564103,0.775321,1.0
0419150609,2021,0.98654,0.99623,0.563636,0.775088,1.0
0419150610,2021,0.98653,0.89647,0.408602,0.697566,1.0
0419151001,2021,0.98653,0.77859,0.24,0.613265,1.0
0419151002,2021,0.98654,0.89667,0.408602,0.697571,1.0
0419151023,2021,0.98654,0.996,0.563636,0.775088,1.0
0419151024,2021,0.98654,0.99605,0.576923,0.781732,1.0
0419151025,2021,0.98653,0.99587,0.525641,0.756086,1.0
0422130401,2021,0.98657,0.99587,0.525641,0.756106,1.0
0422130402,2021,0.98662,0.98604,0.435484,0.711052,1.0
0422130403,2021,0.9866,0.99603,0.576923,0.781762,1.0
0422130409,2021,0.98663,0.99622,0.563636,0.775133,1.0
0423150301,2021,0.96181,0.84777,0.435484,0.698647,1.0
0423150805,2021,0.0,0.10532,0.000816,0.000408,1.0
0424000410,2021,0.0,0.7974,0.435484,0.217742,1.0
0424000411,2021,0.0,0.70471,0.210526,0.105263,1.0
0424000412,2021,0.0,0.79723,0.435484,0.217742,1.0
0424000413,2021,0.0,0.89416,0.408602,0.204301,1.0
0424000414,2021,0.0,0.59813,0.090909,0.045455,1.0
0424000415,2021,0.0,0.89642,0.435484,0.217742,1.0
0424000416,2021,0.0,0.80046,0.393258,0.196629,1.0
0424000417,2021,0.0,0.89676,0.408602,0.204301,1.0
0424000418,2021,0.0,0.8762,0.393258,0.196629,1.0
0424000419,2021,0.0,0.79778,0.435484,0.217742,1.0
0424000420,2021,0.0,0.50058,0.011204,0.005602,1.0
0424000422,2021,0.0,0.8425,0.393258,0.196629,1.0
0424000423,2021,0.0,0.61147,0.137931,0.068966,1.0
0424000734,2021,0.0,0.00089,0.000499,0.000249,1.0
0424000735,2021,0.0,0.69488,0.173077,0.086538,1.0
0424000736,2021,0.0,0.95557,0.435484,0.217742,1.0
0424130301,2021,0.0,0.69956,0.24,0.12,1.0
0424130375,2021,0.0,0.79097,0.375,0.1875,1.0
0424130376,2021,0.0,0.59718,0.042254,0.021127,1.0
0424130377,2021,0.0,0.89284,0.393258,0.196629,1.0
0424130378,2021,0.0,0.92251,0.435484,0.217742,1.0
0424130601,2021,0.0,0.60225,0.142857,0.071429,1.0
0424130701,2021,0.0,0.83262,0.393258,0.196629,1.0
0424170601,2021,0.0,0.59859,0.142857,0.071429,1.0
0424170602,2021,0.0,0.86344,0.393258,0.196629,1.0
0424170603,2021,0.0,0.59803,0.055556,0.027778,1.0
0424170604,2021,0.0,0.63627,0.142857,0.071429,1.0
0424170605,2021,0.0,0.62951,0.173077,0.086538,1.0
0424170606,2021,0.0,0.8966,0.435484,0.217742,1.0
0424170607,2021,0.0,0.79659,0.393258,0.196629,1.0
0424170608,2021,0.0,0.65826,0.173077,0.086538,1.0
0424170609,2021,0.0,0.89243,0.435484,0.217742,1.0
0424170610,2021,0.0,0.69787,0.2,0.1,1.0
0424170611,2021,0.0,0.68981,0.173077,0.086538,1.0
0424170612,2021,0.0,0.63362,0.173077,0.086538,1.0
0424170621,2021,0.0,0.8231,0.393258,0.196629,1.0
0424170622,2021,0.0,0.79839,0.393258,0.196629,1.0
0424170623,2021,0.0,0.79705,0.393258,0.196629,1.0
0424170624,2021,0.0,0.63873,0.142857,0.071429,1.0
0424170625,2021,0.0,0.7976,0.393258,0.196629,1.0
0424170626,2021,0.0,0.68897,0.142857,0.071429,1.0
0424170627,2021,0.0,0.99603,0.576923,0.288462,1.0
0424170708,2021,0.0,0.99635,0.576923,0.288462,1.0
0424170810,2021,0.0,0.79746,0.393258,0.196629,1.0
0424170811,2021,0.0,0.61148,0.137931,0.068966,1.0
0424170812,2021,0.0,0.71368,0.24,0.12,1.0
0424170813,2021,0.0,0.89809,0.435484,0.217742,1.0
0424170814,2021,0.0,0.69966,0.210526,0.105263,1.0
0424170815,2021,0.0,0.92987,0.408602,0.204301,1.0
0424210301,2021,0.0,0.99634,0.576923,0.288462,1.0
0424210302,2021,0.0,0.89819,0.408602,0.204301,1.0
0424210303,2021,0.0,0.99614,0.563636,0.281818,1.0
0424210304,2021,0.0,0.99608,0.563636,0.281818,1.0
0424210325,2021,0.98664,0.99389,0.435484,0.711062,1.0
0424210326,2021,0.98685,0.89702,0.435484,0.711167,1.0
0424210327,2021,0.98669,0.99616,0.563636,0.775163,1.0
0424210328,2021,0.98656,0.99615,0.576923,0.781742,1.0
0424210329,2021,0.98662,0.99609,0.563636,0.775128,1.0
0424210426,2021,0.0,0.99512,0.408602,0.204301,1.0
0424210427,2021,0.0,0.89658,0.435484,0.217742,1.0
0424211743,2021,0.98653,0.99581,0.470588,0.728559,1.0
0424211745,2021,0.98667,0.89656,0.408602,0.697636,1.0
0424211746,2021,0.98665,0.99599,0.576923,0.781787,1.0
0424212001,2021,0.98653,0.99609,0.563636,0.775083,1.0
0425130606,2021,0.0,0.89651,0.435484,0.217742,1.0
0425130626,2021,0.0,0.79767,0.393258,0.196629,1.0
0425130724,2021,0.0,0.79616,0.393258,0.196629,1.0
0425130725,2021,0.0,0.70081,0.24,0.12,1.0
0425130726,2021,0.0,0.79675,0.435484,0.217742,1.0
0425130727,2021,0.0,0.73415,0.24,0.12,1.0
0425130728,2021,0.0,0.86713,0.393258,0.196629,1.0
0425130729,2021,0.0,0.79703,0.435484,0.217742,1.0
0425130730,2021,0.0,0.96453,0.435484,0.217742,1.0
0425130801,2021,0.0,0.69766,0.222222,0.111111,1.0
0425130802,2021,0.0,0.99595,0.576923,0.288462,1.0
0425130803,2021,0.0,0.89635,0.408602,0.204301,1.0
0425130804,2021,0.0,0.66962,0.142857,0.071429,1.0
0425130805,2021,0.0,0.49881,0.011204,0.005602,1.0
0425130806,2021,0.0,0.89469,0.435484,0.217742,1.0
0425130807,2021,0.0,0.69649,0.173077,0.086538,1.0
0427170506,2021,0.0,0.89588,0.408602,0.204301,1.0
0427170507,2021,0.0,0.89671,0.408602,0.204301,1.0
0427170508,2021,0.0,0.89716,0.435484,0.217742,1.0
0427170509,2021,0.0,0.79495,0.375,0.1875,1.0
0427170510,2021,0.0,0.89892,0.408602,0.204301,1.0
0427170511,2021,0.0,0.89657,0.408602,0.204301,1.0
0427170512,2021,0.0,0.89678,0.408602,0.204301,1.0
0427170513,2021,0.0,0.79612,0.393258,0.196629,1.0
0427170514,2021,0.0,0.69706,0.2,0.1,1.0
0427170515,2021,0.0,0.79705,0.435484,0.217742,1.0
0427170516,2021,0.0,0.81934,0.435484,0.217742,1.0
0427170517,2021,0.0,0.99626,0.563636,0.281818,1.0
0428110102,2021,0.0,0.79694,0.435484,0.217742,1.0
0428110103,2021,0.0,0.00094,0.000499,0.000249,1.0
0428110122,2021,0.0,0.00078,0.0,0.0,1.0
0430150210,2021,0.96175,0.89748,0.435484,0.698617,1.0
0430150211,2021,0.96831,0.85133,0.393258,0.680784,1.0
0430150212,2021,0.9999,0.17772,0.000499,0.500199,1.0
0430150301,2021,0.99802,0.99691,0.625,0.81151,1.0
0430150401,2021,0.98658,0.73613,0.222222,0.604401,1.0
0430150402,2021,0.9981,0.4871,0.001488,0.499794,1.0
0430150404,2021,0.98651,0.99623,0.576923,0.781717,1.0
0430150701,2021,0.99633,0.21997,0.000499,0.498414,1.0
0235180317,2021,0.01409,0.12329,0.000499,0.007294,0.0
