pid,year,pcat,lr,diff,adaptive_ens,actual
0108010203,2021,F1,0.99388,0.9952,0.9952,1.0
0108010301,2021,F1,0.82863,0.99505,0.99505,1.0
0108010302,2021,F1,0.99391,0.99613,0.99613,1.0
0108010303,2021,F1,0.9939,0.99607,0.99607,1.0
0108010304,2021,F1,0.99391,0.99614,0.99614,1.0
0108010305,2021,F1,0.0,0.79935,0.79935,1.0
0108031205,2021,B,0.99956,0.00092,0.476273,1.0
0108031312,2021,F1,0.99394,0.99546,0.99546,1.0
0108031313,2021,F1,0.99395,0.99617,0.99617,1.0
0108031314,2021,F1,0.78289,0.99557,0.99557,1.0
0108031315,2021,F1,0.99405,0.99601,0.99601,1.0
0108031316,2021,F1,0.0,0.69675,0.69675,1.0
0108031317,2021,F1,0.78118,0.99535,0.99535,1.0
0108031325,2021,F1,0.82823,0.58492,0.58492,1.0
0108031334,2021,F1,0.7813,0.99579,0.99579,1.0
0108031602,2021,F1,0.99387,0.99609,0.99609,1.0
0108031603,2021,F1,0.78684,0.9955,0.9955,1.0
0108031604,2021,F1,0.99395,0.99612,0.99612,1.0
0108031606,2021,F1,0.0,0.79668,0.79668,1.0
0108031607,2021,F1,0.0,0.85092,0.85092,1.0
0108031608,2021,F1,0.78057,0.99591,0.99591,1.0
0108031609,2021,F1,0.78364,0.99563,0.99563,1.0
0108032001,2021,,0.98081,0.89688,0.967381,1.0
0209190102,2021,A,0.99689,0.99644,0.996873,1.0
0209190127,2021,F1,0.99097,0.79565,0.79565,1.0
0210180414,2021,C1,0.99825,0.99635,0.997325,1.0
0210180501,2021,C1,0.99955,0.79997,0.902355,1.0
0210180505,2021,A,0.9969,0.99644,0.996883,1.0
0210180509,2021,A,0.99691,0.99651,0.996895,1.0
0210180510,2021,A,0.99691,0.99601,0.996877,1.0
0210180511,2021,A,0.99691,0.99452,0.996822,1.0
0210180514,2021,XV,0.99993,0.04264,0.06753,1.0
0210180526,2021,F1,0.99099,0.68982,0.68982,1.0
0210180532,2021,A,0.9969,0.99648,0.996884,1.0
0210180534,2021,A,0.9969,0.99645,0.996883,1.0
0210180535,2021,A,0.9969,0.99644,0.996883,1.0
0210180549,2021,C1,0.99682,0.99652,0.996674,1.0
0210180701,2021,,0.99916,0.58856,0.933464,1.0
0210180801,2021,,0.99916,0.51148,0.921131,1.0
0210180901,2021,,0.99916,0.4994,0.919198,1.0
0210181001,2021,,0.99916,0.30285,0.88775,1.0
0210181101,2021,,0.99916,0.39834,0.903029,1.0
