iter	Logloss
0	0.6713743062
1	0.6497476643
2	0.6239309133
3	0.5991028234
4	0.5853247237
5	0.5703071651
6	0.5515295281
7	0.5329332335
8	0.5203913622
9	0.5072056565
10	0.4940375949
11	0.4819367739
12	0.469254389
13	0.457047394
14	0.4480451562
15	0.4386771826
16	0.4277115785
17	0.4233639592
18	0.4185070107
19	0.4100422427
20	0.4028931339
21	0.395136022
22	0.3876912926
23	0.3826775878
24	0.3758722356
25	0.3720352593
26	0.3674832515
27	0.3632412826
28	0.3558272587
29	0.3485294948
30	0.3406341111
31	0.3364724537
32	0.333434045
33	0.3296125495
34	0.3239748412
35	0.3207099557
36	0.3179282856
37	0.3146499875
38	0.308951903
39	0.3041616498
40	0.2975363366
41	0.2960486731
42	0.2944688788
43	0.2934023552
44	0.2917184947
45	0.2877455182
46	0.2848093573
47	0.2811488206
48	0.2777943461
49	0.2747210932
50	0.2737604202
51	0.2730047696
52	0.2712445589
53	0.2694794202
54	0.267222115
55	0.2656556928
56	0.2647024192
57	0.2639942132
58	0.2627557472
59	0.2612681021
60	0.2602553304
61	0.2591660294
62	0.2577572855
63	0.2570022398
64	0.2556581521
65	0.2545318456
66	0.2518430407
67	0.2511765147
68	0.2501132619
69	0.2488860283
70	0.2485264413
71	0.2469503446
72	0.2460819052
73	0.2457439391
74	0.2438288103
75	0.2436512205
76	0.2426588224
77	0.2412528186
78	0.2404447396
79	0.2398224715
80	0.2380531495
81	0.2368341558
82	0.2364869277
83	0.2359153941
84	0.2356112861
85	0.234827577
86	0.2346125064
87	0.2339990212
88	0.2324945372
89	0.2303704026
90	0.2288135037
91	0.2277285713
92	0.2276085676
93	0.2266160863
94	0.2257968518
95	0.2249551271
96	0.2246922547
97	0.2244567435
98	0.2243050126
99	0.2221259167
100	0.2213387777
101	0.2211193303
102	0.2199926037
103	0.2197734485
104	0.2184633729
105	0.2176509526
106	0.2162707765
107	0.2150881745
108	0.2148580357
109	0.2145595157
110	0.2142493622
111	0.214049914
112	0.2125197698
113	0.2123515428
114	0.2108635345
115	0.210304301
116	0.2098850628
117	0.2094430905
118	0.2086126692
119	0.2083707362
120	0.2078659488
121	0.2073543704
122	0.2069064662
123	0.2064248434
124	0.2056770283
125	0.2045480273
126	0.2038969933
127	0.203765826
128	0.2032573181
129	0.2028945289
130	0.2025696946
131	0.2007827422
132	0.2000812079
133	0.1985903981
134	0.1980650879
135	0.1973109208
136	0.1952717431
137	0.194935897
138	0.1945066045
139	0.1939783181
140	0.1936119816
141	0.1886537698
142	0.1857977668
143	0.1847789297
144	0.1845689167
145	0.1844933642
146	0.1832715612
147	0.1823131481
148	0.1820535646
149	0.181964011
