iter	Passed	Remaining
0	4	626
1	7	581
2	11	574
3	15	558
4	18	536
5	21	522
6	25	513
7	28	502
8	31	500
9	35	495
10	39	494
11	42	494
12	48	506
13	51	497
14	55	497
15	58	488
16	62	488
17	66	488
18	70	488
19	74	486
20	78	483
21	82	481
22	86	480
23	90	475
24	94	471
25	98	467
26	102	464
27	105	461
28	110	459
29	114	456
30	117	450
31	120	444
32	124	442
33	129	440
34	133	437
35	136	433
36	140	427
37	143	423
38	146	417
39	149	412
40	153	407
41	156	402
42	160	398
43	163	394
44	167	389
45	171	386
46	175	383
47	178	378
48	181	374
49	184	369
50	187	364
51	191	361
52	195	358
53	199	354
54	202	350
55	206	346
56	209	342
57	212	337
58	216	334
59	219	329
60	224	326
61	227	322
62	230	317
63	233	313
64	236	309
65	239	305
66	243	301
67	246	297
68	250	293
69	254	290
70	257	286
71	261	282
72	264	279
73	268	275
74	272	272
75	275	267
76	279	264
77	282	260
78	285	256
79	288	252
80	292	249
81	296	245
82	299	241
83	303	238
84	308	235
85	311	232
86	314	227
87	318	224
88	321	220
89	324	216
90	328	213
91	332	209
92	336	205
93	341	203
94	347	201
95	351	197
96	357	195
97	362	192
98	365	188
99	368	184
100	372	180
101	374	176
102	377	172
103	381	168
104	384	164
105	387	161
106	390	157
107	393	153
108	396	149
109	400	145
110	404	142
111	407	138
112	410	134
113	414	130
114	418	127
115	421	123
116	425	119
117	429	116
118	432	112
119	436	109
120	439	105
121	443	101
122	447	98
123	450	94
124	454	90
125	457	87
126	461	83
127	464	79
128	468	76
129	471	72
130	475	69
131	479	65
132	481	61
133	485	57
134	488	54
135	492	50
136	496	47
137	499	43
138	503	39
139	506	36
140	509	32
141	513	28
142	516	25
143	520	21
144	523	18
145	527	14
146	531	10
147	535	7
148	538	3
149	542	0
