iter	Passed	Remaining
0	6	1346
1	12	1266
2	18	1182
3	24	1220
4	32	1266
5	39	1273
6	44	1235
7	49	1194
8	56	1191
9	60	1154
10	65	1122
11	70	1102
12	76	1099
13	81	1081
14	86	1062
15	91	1048
16	96	1038
17	101	1022
18	105	1009
19	110	996
20	115	982
21	119	968
22	125	963
23	131	966
24	136	958
25	142	951
26	147	945
27	152	935
28	156	923
29	160	910
30	165	902
31	170	893
32	175	887
33	179	877
34	184	868
35	188	860
36	193	851
37	197	841
38	202	837
39	207	829
40	211	820
41	216	815
42	221	806
43	225	798
44	229	790
45	234	785
46	238	777
47	243	771
48	248	766
49	254	762
50	259	757
51	263	750
52	268	745
53	273	740
54	279	735
55	285	733
56	289	727
57	294	720
58	306	733
59	311	725
60	316	720
61	320	713
62	324	706
63	328	698
64	333	692
65	338	688
66	343	681
67	347	675
68	353	670
69	358	665
70	363	659
71	367	653
72	371	646
73	375	639
74	380	634
75	385	628
76	389	622
77	393	616
78	398	610
79	403	604
80	408	600
81	413	594
82	418	589
83	422	583
84	427	578
85	432	573
86	436	567
87	440	561
88	445	556
89	451	551
90	455	545
91	459	539
92	465	535
93	470	530
94	474	524
95	479	519
96	483	513
97	487	507
98	492	502
99	496	496
100	500	490
101	504	484
102	509	479
103	514	474
104	518	469
105	523	463
106	527	458
107	532	453
108	537	448
109	542	443
110	546	438
111	551	432
112	555	427
113	560	422
114	564	417
115	568	411
116	573	406
117	578	401
118	582	396
119	587	391
120	591	386
121	596	381
122	601	376
123	606	371
124	610	366
125	615	361
126	619	356
127	624	351
128	629	346
129	634	341
130	639	336
131	644	332
132	649	327
133	654	322
134	659	317
135	664	312
136	670	308
137	675	303
138	679	298
139	684	293
140	689	288
141	695	284
142	700	279
143	705	274
144	710	269
145	714	264
146	718	258
147	722	253
148	727	248
149	731	243
150	735	238
151	740	233
152	745	229
153	750	224
154	755	219
155	759	214
156	763	209
157	768	204
158	774	199
159	779	194
160	783	189
161	788	185
162	793	180
163	797	175
164	802	170
165	807	165
166	811	160
167	815	155
168	820	150
169	824	145
170	828	140
171	832	135
172	837	130
173	842	125
174	846	120
175	851	116
176	855	111
177	860	106
178	864	101
179	868	96
180	872	91
181	875	86
182	880	81
183	885	76
184	889	72
185	893	67
186	898	62
187	902	57
188	906	52
189	910	47
190	914	43
191	918	38
192	923	33
193	927	28
194	931	23
195	935	19
196	939	14
197	943	9
198	948	4
199	953	0
