position,field_id,field_name,data_type,description,leakage_risk,leakage_justification
0,AJR001,record_type,text,Record type identifier (always 'AJR'),N/A,"Metadata field, not a variable"
1,AJR002,tax_year,numeric,SDPVS tax year for which data is submitted,SAFE,"Panel identifier, not a predictor"
2,AJR003,appraisal_district_id,text,"Appraisal district identification number (e.g., 227 = Travis)",SAFE,Static administrative identifier
3,AJR004,county_id,text,County identification number (FIPS-like),SAFE,Static geographic identifier
4,AJR005,taxing_unit_id,text,Taxing unit identification number,SAFE,Static administrative identifier
5,AJR006,taxing_unit_name,text,Name of taxing unit,SAFE,Static administrative name
6,AJR007,account_number,text,Property account number in the CAD system,SAFE,"Property identifier, links to TCAD ID"
7,AJR008,account_number_formatted,text,Formatted version of account number,SAFE,Property identifier
8,AJR009,property_type_code,text,Property type classification code,SAFE,"Determined by property characteristics, not protests"
9,AJR010,situs_street_number,text,Property street number (situs address),SAFE,Static location identifier
10,AJR011,situs_street_prefix,text,Street direction prefix (N/S/E/W),SAFE,Static location identifier
11,AJR012,situs_street_name,text,Property street name,SAFE,Static location identifier
12,AJR013,situs_street_suffix,text,Street type suffix (St/Ave/Blvd),SAFE,Static location identifier
13,AJR014,situs_city_state_zip,text,"City, state, and ZIP code of property",SAFE,"Static location, may change very rarely"
14,AJR015,special_use_flag,text,Flag for special use designation (Y/N),SAFE,"Determined by land use, not protests"
15,AJR016,legal_description,text,Legal description of the property,SAFE,"Recorded at platting, rarely changes"
16,AJR017,owner_name,text,Property owner name,CAUTION,May change due to sales; post-protest sales could leak
17,AJR018,owner_id,text,Owner identification code,CAUTION,Changes with ownership transfers
18,AJR019,owner_address_line1,text,Owner mailing address line 1,CAUTION,Changes with ownership transfers
19,AJR020,owner_address_line2,text,Owner mailing address line 2,CAUTION,Changes with ownership transfers
20,AJR021,owner_city,text,Owner mailing city,CAUTION,"Owner demographics, may change"
21,AJR022,owner_state,text,Owner mailing state,CAUTION,"Owner demographics, investor vs local"
22,AJR023,year_built,numeric,Year the improvement was built,SAFE,"Physical characteristic, pre-determined"
23,AJR024,homesite_flag,text,Homesite designation flag (Y/N),SAFE,Reflects homestead status at assessment time
24,AJR025,improvement_sq_ft,text,Improvement square footage or descriptor,SAFE,"Physical characteristic, rarely changes"
25,AJR026,deed_acreage,numeric,Deeded acreage of the property,SAFE,"Physical characteristic, fixed at platting"
26,AJR027,most_recent_sale_date,text,Date of most recent property sale (YYYY or MMDDYYYY),CAUTION,Sales may be triggered by protests or vice versa; use lagged
27,AJR028,second_most_recent_sale_date,text,Date of second most recent sale,CAUTION,"Historical transaction, generally safe if pre-protest"
28,AJR029,land_acres,numeric,Acreage for land valuation,SAFE,Physical characteristic
29,AJR030,land_market_value,numeric,Market value of land only,SAFE,"Assessed Jan 1 of tax year, before protest decisions"
30,AJR031,property_category_code,text,"Category code (A=SFR, B=MFR, C=Vacant, D1=Ag, E=Industrial, F=Commercial, G=Oil/Gas, J=Utility, L=Personal Prop, M=Mobile Home, O=Other, S=Special)",SAFE,"Reflects property use, rarely changes"
31,AJR032,subcategory_code,text,Detailed subcategory code,SAFE,Reflects property characteristics
32,AJR033,improvement_market_value,numeric,Market value of improvements,SAFE,"Assessed Jan 1 of tax year, before protests"
33,AJR034,total_market_value,numeric,Total market value (land + improvements),SAFE,"Assessed Jan 1 of tax year, before protest filing"
34,AJR035,appraised_value,numeric,Appraised value after cap/limitation adjustments,SAFE,Set before protest period
35,AJR036,assessed_value,numeric,Assessed value for tax base,SAFE,Set before protest period
36,AJR037,exemption_amount_hs,numeric,Homestead exemption amount,SAFE,Exemption applied before protests
37,AJR038,exemption_amount_ov65,numeric,Over-65 exemption amount,SAFE,"Age-based exemption, predetermined"
38,AJR039,exemption_flag_hs,text,Homestead exemption flag (Y/N),SAFE,"Indicates homestead, pre-determined"
39,AJR040,exemption_flag_ov65,text,Over-65 exemption flag (Y/N),SAFE,"Age-based, pre-determined"
40,AJR041,exemption_flag_dp,text,Disabled person exemption flag (Y/N),SAFE,"Disability-based, pre-determined"
41,AJR042,exemption_flag_dv,text,Disabled veteran exemption flag (Y/N),SAFE,"Veteran status, pre-determined"
42,AJR043,exemption_amount_dv,numeric,Disabled veteran exemption amount,SAFE,Pre-determined exemption
43,AJR044,exemption_amount_dp,numeric,Disabled person exemption amount,SAFE,Pre-determined exemption
44,AJR045,exemption_amount_ex366,numeric,Section 11.13(f) exemption amount,SAFE,"Statutory exemption, pre-determined"
45,AJR046,taxable_value,numeric,Taxable value after all exemptions,SAFE,"Derived from assessed value minus exemptions, before protests"
46,AJR047,productivity_value,numeric,Agricultural productivity value (1-d-1 or 1-d),SAFE,"Ag valuation, pre-determined"
47,AJR048,ag_market_value,numeric,Ag land market value if not under ag use,SAFE,"Valuation, pre-determined"
48,AJR049,exemption_amount_pc,numeric,Pollution control exemption,SAFE,"Industrial exemption, pre-determined"
49,AJR050,exemption_amount_fr,numeric,Freeport exemption amount,SAFE,Business inventory exemption
50,AJR051,exemption_amount_ht,numeric,Historic/cultural exemption amount,SAFE,"Historic designation, pre-determined"
