parcel_id_10,ears_account_number,source
0100030105,100008,LUI_property_id
0100030109,100012,LUI_property_id
0100030112,100015,LUI_property_id
0100030115,100018,LUI_property_id
0100030201,100020,LUI_property_id
0100030203,100022,LUI_property_id
0100030204,100023,LUI_property_id
0100030205,100024,LUI_property_id
0100030206,100025,LUI_property_id
0100030207,100026,LUI_property_id
0100030208,100027,LUI_property_id
0100030209,100028,LUI_property_id
0100030210,100029,LUI_property_id
0100030211,514254,LUI_property_id
0100030306,100030,LUI_property_id
0100030402,100033,LUI_property_id
0100030405,100036,LUI_property_id
0100030703,100037,LUI_property_id
0100030704,100038,LUI_property_id
0100030705,100039,LUI_property_id
0100030707,100040,LUI_property_id
0100030708,100041,LUI_property_id
0100030709,100042,LUI_property_id
0100030710,100043,LUI_property_id
0100030712,100044,LUI_property_id
0100030713,100045,LUI_property_id
0100030716,100046,LUI_property_id
0100030717,100047,LUI_property_id
0100030718,100048,LUI_property_id
0100030719,100049,LUI_property_id
0100030720,100050,LUI_property_id
0100030722,100051,LUI_property_id
0100030723,100052,LUI_property_id
0100030724,100053,LUI_property_id
0100030725,100054,LUI_property_id
0100030726,724585,LUI_property_id
0100030804,100056,LUI_property_id
0100030805,100057,LUI_property_id
0100030806,100058,LUI_property_id
0100030807,100059,LUI_property_id
0100030808,100060,LUI_property_id
0100030809,100061,LUI_property_id
0100030810,100062,LUI_property_id
0100030811,100063,LUI_property_id
0100030812,100064,LUI_property_id
0100030813,100065,LUI_property_id
0100030814,100066,LUI_property_id
0100030815,100067,LUI_property_id
0100030816,100068,LUI_property_id
0100030817,100069,LUI_property_id
0100030818,100070,LUI_property_id
0100030819,100071,LUI_property_id
0100030820,100072,LUI_property_id
0100030821,100073,LUI_property_id
0100030822,100074,LUI_property_id
0100031004,100075,LUI_property_id
0100031005,100076,LUI_property_id
0100031006,100077,LUI_property_id
0100031007,100078,LUI_property_id
0100031012,100079,LUI_property_id
0100031013,100080,LUI_property_id
0100031014,100081,LUI_property_id
0100031015,100082,LUI_property_id
0100031016,100083,LUI_property_id
0100031017,100084,LUI_property_id
0100031019,100086,LUI_property_id
0100031027,100087,LUI_property_id
0100031028,100088,LUI_property_id
0100031029,100089,LUI_property_id
0100031031,100091,LUI_property_id
0100031033,100093,LUI_property_id
0100031034,724587,LUI_property_id
0100031102,100094,LUI_property_id
0100031103,100095,LUI_property_id
0100031104,100096,LUI_property_id
0100031105,100097,LUI_property_id
0100031202,100098,LUI_property_id
0100031203,100099,LUI_property_id
0100031204,100100,LUI_property_id
0100031205,100101,LUI_property_id
0100031206,100102,LUI_property_id
0100031209,100104,LUI_property_id
0100031210,100105,LUI_property_id
0100031211,100106,LUI_property_id
0100031214,100107,LUI_property_id
0100031215,100108,LUI_property_id
0100031216,100109,LUI_property_id
0100031217,100110,LUI_property_id
0100031218,100111,LUI_property_id
0100031219,100112,LUI_property_id
0100031220,100113,LUI_property_id
0100031221,100114,LUI_property_id
0100031222,100115,LUI_property_id
0100031223,100116,LUI_property_id
0100031224,100117,LUI_property_id
0100031226,701854,LUI_property_id
0100031306,100118,LUI_property_id
0100031307,100119,LUI_property_id
0100031308,100120,LUI_property_id
0100031309,100121,LUI_property_id
0100031310,100122,LUI_property_id
0100031311,100123,LUI_property_id
0100031312,100124,LUI_property_id
0100031313,100125,LUI_property_id
0100031314,100126,LUI_property_id
0100031315,100127,LUI_property_id
0100031316,100128,LUI_property_id
0100031317,100129,LUI_property_id
0100031318,100130,LUI_property_id
0100031320,100131,LUI_property_id
0100031321,100132,LUI_property_id
0100031322,100133,LUI_property_id
0100031323,100134,LUI_property_id
0100031324,100135,LUI_property_id
0100031325,100136,LUI_property_id
0100031326,100137,LUI_property_id
0100031401,100138,LUI_property_id
0100031501,100139,LUI_property_id
0100031502,100140,LUI_property_id
0100031503,100141,LUI_property_id
0100031504,100142,LUI_property_id
0100031505,100143,LUI_property_id
0100031506,100144,LUI_property_id
0100031507,100145,LUI_property_id
