parcel_id_10,latitude,longitude
0100030105,30.25450571,-97.76211599
0100030109,30.25428600,-97.76169183
0100030112,30.25197462,-97.76364085
0100030115,30.25256277,-97.76297404
0100030201,30.25501301,-97.76176408
0100030203,30.25523855,-97.76162014
0100030204,30.25548488,-97.76147428
0100030205,30.25573381,-97.76131706
0100030206,30.25551380,-97.76095066
0100030207,30.25532356,-97.76112029
0100030208,30.25520302,-97.76119648
0100030209,30.25494493,-97.76128991
0100030210,30.25477535,-97.76140225
0100030211,30.25505880,-97.76119950
0100030306,30.25604570,-97.76075670
0100030402,30.25483040,-97.76083694
0100030405,30.25531343,-97.76053640
0100030703,30.25174642,-97.76172173
0100030704,30.25173875,-97.76154512
0100030705,30.25162320,-97.76147240
0100030707,30.25149385,-97.76116700
0100030708,30.25145447,-97.76100861
0100030709,30.25141620,-97.76085329
0100030710,30.25135513,-97.76071537
0100030712,30.25085742,-97.76079131
0100030713,30.25099352,-97.76093283
0100030716,30.25119910,-97.76134510
0100030717,30.25126722,-97.76148184
0100030718,30.25138541,-97.76160866
0100030719,30.25141163,-97.76172039
0100030720,30.25144607,-97.76186843
0100030722,30.25125493,-97.76053850
0100030723,30.25110856,-97.76063019
0100030724,30.25113053,-97.76120773
0100030725,30.25106214,-97.76107067
0100030726,30.25151274,-97.76133755
0100030804,30.25250100,-97.76108080
0100030805,30.25243662,-97.76094109
0100030806,30.25236908,-97.76080193
0100030807,30.25230684,-97.76067375
0100030808,30.25224086,-97.76056003
0100030809,30.25216821,-97.76038820
0100030810,30.25210094,-97.76024919
0100030811,30.25203378,-97.76011082
0100030812,30.25192234,-97.76003661
0100030813,30.25151970,-97.76023884
0100030814,30.25169093,-97.76032275
0100030815,30.25175721,-97.76046176
0100030816,30.25182332,-97.76060043
0100030817,30.25188947,-97.76073916
0100030818,30.25195575,-97.76087818
0100030819,30.25201662,-97.76100583
0100030820,30.25207995,-97.76113868
0100030821,30.25215403,-97.76129405
0100030822,30.25222068,-97.76143385
0100031004,30.25331205,-97.76041504
0100031005,30.25320354,-97.76055465
0100031006,30.25310074,-97.76054225
0100031007,30.25464391,-97.75958215
0100031012,30.25429629,-97.75978119
0100031013,30.25418260,-97.75991852
0100031014,30.25406224,-97.75999505
0100031015,30.25394209,-97.76007190
0100031016,30.25382168,-97.76014854
0100031017,30.25369478,-97.76016425
0100031019,30.25351449,-97.76033228
0100031027,30.25334362,-97.76095192
0100031028,30.25350894,-97.76081944
0100031029,30.25282389,-97.76061854
0100031031,30.25294379,-97.76084158
0100031033,30.25309420,-97.76116459
0100031034,30.25328299,-97.76103782
0100031102,30.25566163,-97.75943717
0100031103,30.25534851,-97.75913209
0100031104,30.25538457,-97.75967809
0100031105,30.25551573,-97.75953713
0100031202,30.25322503,-97.75976068
0100031203,30.25334791,-97.75971326
0100031204,30.25342816,-97.75958706
0100031205,30.25357191,-97.75956948
0100031206,30.25367574,-97.75947491
0100031209,30.25331063,-97.75933324
0100031210,30.25313575,-97.75936313
0100031211,30.25300085,-97.75940188
0100031214,30.25286092,-97.75951135
0100031215,30.25266757,-97.75963231
0100031216,30.25296821,-97.76000304
