geoid_tract,vintage,total_population,median_age,race_white,race_black,race_asian,race_hispanic,median_household_income,poverty_count,median_home_value,owner_occupied_units,renter_occupied_units,median_gross_rent,total_housing_units
48453001718,2009,5328,36.9,4663,11,551,278,68006,705,323000,1393,1405,1059,2937
48453001719,2009,3563,46.1,3369,12,113,319,148611,18,450300,1458,44,2001,1608
48453001722,2009,3948,30.6,3193,53,413,437,43931,336,302300,325,2274,858,2809
48453001728,2009,6935,34.0,5680,217,75,2377,63758,1001,159000,1959,831,1191,3028
48453001729,2009,4539,31.9,3614,61,105,1583,55080,315,147500,1275,764,1136,2159
48453001732,2009,24234,33.7,18896,651,1676,5551,103906,837,270400,7284,540,1790,8214
48453001733,2009,3405,43.0,3242,18,49,341,112429,93,289900,1072,82,1131,1182
48453001737,2009,9934,33.8,7773,318,877,1542,106069,299,247900,3114,655,1037,3833
48453001738,2009,6649,39.3,6125,194,80,837,90367,183,214200,2222,328,888,2588
48453001739,2009,8016,32.5,5945,850,149,2223,66389,595,154900,2418,1070,1007,3769
48453001740,2009,3973,34.5,3120,159,242,863,87399,317,228400,1039,486,898,1561
48453001741,2009,3603,44.0,3039,0,0,678,68427,501,290700,1243,252,942,1800
48453001742,2009,4606,34.4,3250,6,67,1726,74625,692,208900,1454,235,964,1864
48453001743,2009,10612,35.2,9494,140,730,710,117909,344,347300,3024,378,1825,3513
48453001744,2009,8880,29.1,6842,451,858,1254,51083,994,141600,906,4300,907,5364
48453001745,2009,2263,38.4,1873,136,102,360,82976,180,240700,615,281,920,945
48453001746,2009,3831,34.7,3231,95,75,1254,67282,186,170100,1001,618,776,1619
48453001747,2009,5228,28.7,3921,172,147,1937,52229,1010,170200,993,1048,995,2167
48453001748,2009,4431,32.6,3768,107,103,1453,67321,118,208600,1268,512,1057,1876
48453001749,2009,5958,28.3,4607,114,804,790,51924,812,185000,828,2171,962,3202
48453001750,2009,4882,28.5,3681,55,204,1493,53071,443,165200,666,1796,887,2716
48453001751,2009,1948,49.8,1890,24,22,71,105417,45,351300,865,38,1671,934
48453001752,2009,3585,27.4,2255,159,989,389,32083,808,139500,156,2130,765,2610
