case_id,geoid_tract,geoid_bg,source
.SH,48453000302,484530003020,geocoder
C10-V-82-033(RCT),48453001200,484530012000,geocoder
C12M-02-0001,48453035000,484530350000,geocoder
C12M-04-0002,48453035000,484530350000,geocoder
C12M-07-0003,48453001918,484530019180,geocoder
C12M-2008-0001,48453034000,484530340000,geocoder
C12M-2009-0002,48453001910,484530019100,geocoder
C12M-2010-0001,48453032900,484530329000,geocoder
C12M-2010-0003,48453002432,484530024320,geocoder
C12M-2010-0004,48453002432,484530024320,geocoder
C12M-2010-0005,48453002432,484530024320,geocoder
C12M-2010-0006,48453002432,484530024320,geocoder
C12M-2010-0007,48453002432,484530024320,geocoder
C12M-2011-0007,48453002411,484530024110,geocoder
C12M-2011-0008,48453002449,484530024490,geocoder
C12M-2011-0011,48453036500,484530365000,geocoder
C12M-2012-0002,48453031600,484530316000,geocoder
C12M-2013-0001,48453002446,484530024460,geocoder
C12M-2013-0002,48453034000,484530340000,geocoder
C12M-2013-0102,48453001913,484530019130,geocoder
C12M-2014-0001,48491020411,484910204110,geocoder
C12M-2014-0002,48209010923,482090109230,geocoder
C12M-2014-0003,48209010923,482090109230,geocoder
C12M-2016-0002,48453044200,484530442000,geocoder
C12M-2016-0005,48491020411,484910204110,geocoder
C12M-2016-0006,48453002449,484530024490,geocoder
C12M-2017-0001,48453032800,484530328000,geocoder
C12M-2018-0005,48453002216,484530022160,geocoder
C12M-2018-0145,48453034000,484530340000,geocoder
C12M-2020-0137,48453001916,484530019160,geocoder
C12M-2021-0176,48453002432,484530024320,geocoder
C12M-2022-0001,48453001913,484530019130,geocoder
C12M-2023-0157,48453002449,484530024490,geocoder
C12M-2024-0002,48453002432,484530024320,geocoder
C12M-2024-0003,48453033300,484530333000,geocoder
C12M-2024-0015,48209010923,482090109230,geocoder
C14-00-2001,48453001920,484530019200,geocoder
C14-00-2003,48453001920,484530019200,geocoder
C14-00-2007,48453001103,484530011030,geocoder
C14-00-2011.1,48453000803,484530008030,geocoder
C14-00-2011.2,48453000803,484530008030,geocoder
C14-00-2011.3,48453000803,484530008030,geocoder
C14-00-2011.4,48453000803,484530008030,geocoder
C14-00-2011.5,48453000803,484530008030,geocoder
C14-00-2011.6,48453000803,484530008030,geocoder
C14-00-2011.7,48453000803,484530008030,geocoder
C14-00-2014,48453002111,484530021110,geocoder
C14-00-2015,48453001503,484530015030,geocoder
C14-00-2016,48453000902,484530009020,geocoder
C14-00-2017,48453002113,484530021130,geocoder
C14-00-2018,48453002422,484530024220,geocoder
C14-00-2020,48453041100,484530411000,geocoder
C14-00-2022,48453041900,484530419000,geocoder
C14-00-2023,48453041200,484530412000,geocoder
C14-00-2024,48453001000,484530010000,geocoder
C14-00-2026,48453002111,484530021110,geocoder
C14-00-2028,48453002007,484530020070,geocoder
C14-00-2030,48453034600,484530346000,geocoder
C14-00-2039,48453034600,484530346000,geocoder
C14-00-2041,48453002448,484530024480,geocoder
C14-00-2043,48453032800,484530328000,geocoder
C14-00-2044,48453002326,484530023260,geocoder
C14-00-2045,48453042100,484530421000,geocoder
C14-00-2047,48453002327,484530023270,geocoder
C14-00-2047(RCT),48453002327,484530023270,geocoder
C14-00-2048,48453001103,484530011030,geocoder
C14-00-2050,48453001913,484530019130,geocoder
C14-00-2053,48453002004,484530020040,geocoder
C14-00-2055,48453035800,484530358000,geocoder
C14-00-2057,48453032000,484530320000,geocoder
C14-00-2059,48453000607,484530006070,geocoder
C14-00-2060,48453002310,484530023100,geocoder
C14-00-2061,48453002310,484530023100,geocoder
C14-00-2062(RCA),48453000901,484530009010,geocoder
