case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C12M-02-0001,1,1195680.0,1195680,0.0,0,684167.0,684167,5616255.0,5616255,2012.0,,99.64,99.64,subject,,
C12M-04-0002,1,1195680.0,1195680,0.0,0,684167.0,684167,5616255.0,5616255,2012.0,,99.64,99.64,subject,,
C12M-07-0003,1,2141018.0,2141018,0.0,0,1658107.0,1658107,2838058.0,2838058,2010.0,,130.53,130.53,subject,,
C12M-2008-0001,1,0.0,0,0.0,0,1640574.0,1640574,842798.0,842798,2010.0,,52620.48,52620.48,subject,,
C12M-2009-0002,1,680425.0,680425,0.0,0,111294.0,111294,2061910.0,2061910,1995.0,,0.0,0.0,subject,,
C12M-2010-0001,1,181820.0,181820,0.0,0,1962131.0,1962131,181820.0,181820,,,2.0,2.0,subject,,
C12M-2010-0003,1,166325.0,166325,0.0,0,1651269.0,1651269,315601.0,315601,,,11.88,11.88,subject,,
C12M-2010-0004,1,900.0,900,0.0,0,1651269.0,1651269,900.0,900,,,0.0,0.0,subject,,
C12M-2010-0005,1,900.0,900,0.0,0,1651269.0,1651269,900.0,900,,,0.0,0.0,subject,,
C12M-2010-0006,1,482380.0,482380,0.0,0,1651269.0,1651269,1004760.0,1004760,,,24.119,24.119,subject,,
C12M-2010-0007,1,1567406.0,1567406,0.0,0,1651269.0,1651269,0.0,0,0.0,,165.865,165.865,subject,,
C12M-2011-0007,1,28872741.0,28872741,0.0,0,2040018.0,2040018,28872741.0,28872741,,,332332.0,332332.0,subject,,
C12M-2011-0008,1,0.0,0,2984392.0,2984392,1870350.0,1870350,2887698.0,2887698,,,108900.0,108900.0,subject,,
C12M-2011-0011,1,564538.0,564538,0.0,0,1526415.0,1526415,564538.0,564538,,,70567.2,70567.2,subject,,
C12M-2013-0001,1,0.0,0,55909085.0,55909085,1859124.0,1859124,53252412.0,53252412,,,575937.25,575937.25,subject,,
C12M-2013-0002,1,0.0,0,0.0,0,1640574.0,1640574,842798.0,842798,2010.0,,52620.48,52620.48,subject,,
C12M-2013-0102,1,1463000.0,1463000,0.0,0,1558821.0,1558821,1983223.0,1983223,1972.0,,0.0,0.0,subject,,
C12M-2016-0002,1,776936.0,776936,0.0,0,1613377.0,1613377,2222222.0,2222222,2019.0,,59764.32,59764.32,subject,,
C12M-2018-0145,1,1916095.0,1916095,0.0,0,392785.0,392785,1916095.0,1916095,,,510958.8,510958.8,subject,,
