standardized_tcad_id,lui_land_use,lui_general_land_use,lui_shape_area,latitude,longitude,council_district,nearby_GEOID,zoning_case_GEOID
0100030105,300,300,23512.07421875,,,,,
0100030109,220,200,102588.556640625,,,,,
0100030112,300,300,120188.986328125,,,,,
0100030115,300,300,101159.84765625,,,,,
0100030201,300,300,11117.60546875,,,,,
0100030203,400,400,8489.828125,,,,,
0100030204,900,900,14294.3125,,,,,
0100030205,300,300,11625.466796875,,,,,
0100030206,900,900,15611.291015625,,,,,
0100030207,100,100,6201.01953125,,,,,
0100030208,100,100,6201.396484375,,,,,
0100030209,520,500,9301.716796875,,,,,
0100030210,520,500,6069.552734375,,,,,
0100030211,520,500,6199.361328125,,,,,
0100030306,220,200,72277.275390625,,,,,
0100030402,400,400,23119.611328125,,,,,
0100030405,900,900,9610.921875,,,,,
0100030703,100,100,6217.603515625,,,,,
0100030704,100,100,6350.42578125,,,,,
0100030705,100,100,6407.46484375,,,,,
0100030707,100,100,6554.998046875,,,,,
0100030708,100,100,6273.02734375,,,,,
0100030709,100,100,6273.89453125,,,,,
0100030710,100,100,6412.30078125,,,,,
0100030712,100,100,12055.630859375,,,,,
0100030713,100,100,6045.923828125,,,,,
0100030716,100,100,6036.572265625,,,,,
0100030717,100,100,5972.4453125,,,,,
0100030718,100,100,6075.25,,,,,
0100030719,100,100,4831.228515625,,,,,
0100030720,100,100,7505.525390625,,,,,
0100030722,100,100,8104.609375,,,,,
0100030723,100,100,4452.4609375,,,,,
0100030724,100,100,6039.685546875,,,,,
0100030725,100,100,6034.662109375,,,,,
0100030726,100,100,5998.623046875,,,,,
0100030804,100,100,6102.63671875,,,,,
0100030805,100,100,5972.96484375,,,,,
0100030806,100,100,6050.47265625,,,,,
0100030807,100,100,5151.904296875,,,,,
0100030808,100,100,6745.6328125,,,,,
0100030809,100,100,5965.18359375,,,,,
0100030810,100,100,6042.556640625,,,,,
0100030811,100,100,5949.267578125,,,,,
0100030812,100,100,5996.37109375,,,,,
0100030813,100,100,6119.5703125,,,,,
0100030814,100,100,6232.65625,,,,,
0100030815,100,100,6195.0390625,,,,,
0100030816,100,100,6207.208984375,,,,,
0100030817,100,100,6236.3203125,,,,,
0100030818,100,100,6219.59765625,,,,,
0100030819,100,100,4966.884765625,,,,,
0100030820,100,100,7432.974609375,,,,,
0100030821,100,100,6317.052734375,,,,,
0100030822,100,100,6337.072265625,,,,,
0100031004,900,900,9150.037109375,,,,,
0100031005,900,900,3144.490234375,,,,,
0100031006,900,900,6008.390625,,,,,
0100031007,710,700,31401.3828125,,,,,
0100031012,100,100,6284.298828125,,,,,
0100031013,100,100,6283.1953125,,,,,
0100031014,100,100,6271.96484375,,,,,
0100031015,100,100,6303.802734375,,,,,
0100031016,100,100,6272.314453125,,,,,
0100031017,100,100,6299.1015625,,,,,
0100031019,900,900,12527.251953125,,,,,
0100031027,900,900,6559.06640625,,,,,
0100031028,710,700,9592.3671875,,,,,
0100031029,100,100,8017.986328125,,,,,
0100031031,100,100,13777.181640625,,,,,
0100031033,100,100,12463.15625,,,,,
0100031034,900,900,2853.083984375,,,,,
0100031102,710,700,6214.498046875,,,,,
0100031103,710,700,22704.31640625,,,,,
0100031104,710,700,6312.443359375,,,,,
0100031105,710,700,9397.01171875,,,,,
0100031202,100,100,6877.837890625,,,,,
0100031203,100,100,6288.583984375,,,,,
0100031204,100,100,7321.125,,,,,
0100031205,100,100,4999.044921875,,,,,
0100031206,100,100,6718.953125,,,,,
0100031209,100,100,5095.98828125,,,,,
0100031210,100,100,7780.91015625,,,,,
0100031211,100,100,6667.390625,,,,,
0100031214,100,100,10380.533203125,,,,,
0100031215,100,100,11102.37109375,,,,,
0100031216,100,100,7661.357421875,,,,,
0100031217,100,100,7559.84375,,,,,
0100031218,100,100,6946.662109375,,,,,
0100031219,100,100,6446.794921875,,,,,
0100031220,100,100,7045.87109375,,,,,
0100031221,100,100,6275.818359375,,,,,
0100031222,100,100,6685.267578125,,,,,
0100031223,740,700,3897.06640625,,,,,
0100031224,100,100,5824.734375,,,,,
0100031226,150,100,6846.27734375,,,,,
0100031306,100,100,6200.380859375,,,,,
0100031307,100,100,6230.23828125,,,,,
0100031308,100,100,6246.3515625,,,,,
0100031309,100,100,6226.21484375,,,,,
0100031310,100,100,6255.80859375,,,,,
0100031311,100,100,12522.4296875,,,,,
0100031312,100,100,6272.73046875,,,,,
0100031313,100,100,6294.990234375,,,,,
0100031314,150,100,9368.361328125,,,,,
0100031315,100,100,6515.3359375,,,,,
0100031316,100,100,6401.74609375,,,,,
0100031317,100,100,6464.169921875,,,,,
0100031318,100,100,6431.728515625,,,,,
0100031320,100,100,6495.73828125,,,,,
0100031321,100,100,6448.767578125,,,,,
0100031322,100,100,6471.267578125,,,,,
0100031323,100,100,6456.01171875,,,,,
0100031324,150,100,6490.9375,,,,,
0100031325,100,100,6491.86328125,,,,,
0100031326,100,100,6169.9765625,,,,,
0100031401,640,600,131040.9765625,,,,,
0100031501,100,100,7069.830078125,,,,,
0100031502,100,100,5967.69921875,,,,,
0100031503,100,100,5806.734375,,,,,
0100031504,100,100,6121.75390625,,,,,
0100031505,100,100,5869.306640625,,,,,
0100031506,100,100,5867.232421875,,,,,
0100031507,100,100,6034.4609375,,,,,
0100031508,100,100,4653.056640625,,,,,
0100031509,100,100,5146.65234375,,,,,
0100031510,100,100,5534.375,,,,,
0100031511,100,100,5687.50390625,,,,,
0100031512,100,100,6152.986328125,,,,,
0100031513,100,100,5943.09765625,,,,,
0100031514,100,100,5919.185546875,,,,,
0100031515,100,100,5890.3359375,,,,,
0100031516,100,100,6159.033203125,,,,,
0100031517,100,100,6077.73828125,,,,,
0100031518,100,100,6128.609375,,,,,
0100031519,100,100,7313.25,,,,,
0100031601,100,100,6073.146484375,,,,,
0100031603,100,100,6101.3046875,,,,,
0100031604,100,100,6102.884765625,,,,,
0100031605,100,100,6343.537109375,,,,,
0100031608,100,100,4187.060546875,,,,,
0100031609,100,100,3737.232421875,,,,,
0100031610,100,100,3758.765625,,,,,
0100031611,100,100,5862.318359375,,,,,
0100031612,100,100,5845.18359375,,,,,
0100031613,100,100,5874.54296875,,,,,
0100031614,100,100,5897.681640625,,,,,
0100031615,100,100,5932.400390625,,,,,
0100031616,100,100,5839.0546875,,,,,
0100031617,100,100,5843.4921875,,,,,
0100031618,100,100,5282.5859375,,,,,
0100031619,100,100,4422.1953125,,,,,
0100031620,100,100,5973.66796875,,,,,
0100031621,100,100,4372.423828125,,,,,
0100031622,100,100,3702.779296875,,,,,
0100031623,100,100,5818.458984375,,,,,
0100031701,100,100,2803.8671875,,,,,
0100031702,100,100,3038.845703125,,,,,
0100031703,100,100,5820.123046875,,,,,
0100031704,100,100,5832.494140625,,,,,
0100031705,100,100,5868.326171875,,,,,
0100031706,100,100,5847.76171875,,,,,
0100031707,100,100,5858.640625,,,,,
0100031708,100,100,5877.251953125,,,,,
0100031709,100,100,5835.609375,,,,,
0100031710,100,100,5900.65234375,,,,,
0100031711,100,100,11566.30078125,,,,,
0100031712,100,100,5754.548828125,,,,,
0100031713,100,100,5799.173828125,,,,,
0100031714,100,100,5812.087890625,,,,,
0100031715,100,100,2527.3125,,,,,
0100031716,100,100,5842.0625,,,,,
0100031717,100,100,5729.9453125,,,,,
0100031718,100,100,3400.44140625,,,,,
0100031719,100,100,5848.076171875,,,,,
0100031803,100,100,5858.78125,,,,,
0100031805,100,100,8906.955078125,,,,,
0100031806,100,100,5708.12890625,,,,,
0100031807,100,100,6152.734375,,,,,
0100031808,100,100,5766.447265625,,,,,
0100031809,100,100,5768.31640625,,,,,
0100031810,100,100,5830.341796875,,,,,
