case_number,tcad_id,protested
C14-2007-0131,0209061701,0
C14-2007-0131,0209060206,0
C14-2007-0131,0209061501,0
C14-2007-0131,0209060609,0
C14-2007-0131,0209060511,0
C14-2007-0131,0209060505,0
C14-2007-0131,0209060501,0
C14-2007-0131,0209060510,0
C14-2007-0131,0209060610,0
C14-2007-0131,0209060601,0
C14-2007-0131,0209060611,0
C14-2007-0144,0208000512,0
C14-2007-0144,0107000224,0
C14-2007-0144,0107000322,0
C14-2007-0144,0107000303,0
C14-2007-0144,0107000223,0
C14-2007-0144,0107000221,0
C14-2007-0144,0107000222,0
C14-2007-0144,0208000511,0
C14-2007-0259,0202140801,0
C14-2007-0259,0202140804,0
C14-2007-0259,0202140706,0
C14-2007-0259,0202141102,0
C14-2007-0259,0202140705,0
C14-2007-0259,0202140803,0
C14-2007-0259,0202141104,0
C14-2007-0259,0202140805,0
C14-2007-0259,0202141103,0
C14-2007-0259,0202140806,0
C14-2007-0259,0202141101,0
C14-2007-0259,0202140808,0
C14-2007-0259,0202140704,0
C14-2008-0025,0428250449,0
C14-2008-0025,0428250451,0
C14-2008-0025,0428250450,0
C14-2008-0025,0428250807,0
C14-2008-0025,0428250806,0
C14-2008-0025,0428250452,0
C14-2008-0031,0214120724,0
C14-2008-0031,0214120720,0
C14-2008-0031,0214120725,0
C14-2008-0031,0214120717,0
C14-2008-0031,0214120728,0
C14-2008-0031,0214120723,0
C14-2008-0031,0214120312,0
C14-2008-0031,0214120718,0
C14-2008-0031,0214120731,0
C14-2008-0031,0212120623,0
C14-2008-0031,0214120311,0
C14-2008-0031,0214130114,0
C14-2008-0031,0214120722,0
C14-2008-0031,0214120727,0
C14-2008-0031,0214120716,0
C14-2008-0031,0214120338,0
C14-2008-0031,0214120719,0
C14-2008-0031,0212121801,0
C14-2008-0031,0214120721,0
C14-2008-0052,0431271005,0
C14-2008-0052,0430190409,0
C14-2008-0052,0430190121,0
C14-2008-0052,0430190107,0
C14-2008-0052,0430190105,0
C14-2008-0052,0430190124,0
C14-2008-0060,0401090808,0
C14-2008-0060,0401090172,0
C14-2008-0060,0401091501,0
C14-2008-0060,0401090118,0
C14-2008-0060,0401090116,0
C14-2008-0060,0401090117,0
C14-2008-0060,0401090173,0
C14-2008-0060,0401090807,0
C14-2008-0066,0414280934,0
C14-2008-0066,0414280935,0
C14-2008-0066,0414300117,0
C14-2008-0066,0414300401,0
C14-2008-0066,0414300106,0
C14-2008-0088,0232030804,0
C14-2008-0088,0234031101,0
C14-2008-0088,0232030508,0
C14-2008-0088,0232030503,0
C14-2008-0088,0232040102,0
C14-2008-0088,0234031109,0
C14-2008-0088,0232030509,0
C14-2008-0088,0232030206,0
C14-2008-0088,0232030205,0
C14-2008-0088,0232040105,0
C14-2008-0088,0232030901,0
C14-2008-0088,0232030215,0
C14-2008-0088,0232030504,0
C14-2008-0088,0232030513,0
C14-2008-0088,0234031104,0
C14-2008-0088,0232030806,0
C14-2008-0088,0232030507,0
C14-2008-0088,0232030209,0
C14-2008-0088,0232030207,0
C14-2008-0088,0232030211,0
C14-2008-0088,0234031107,0
C14-2008-0088,0232030812,0
C14-2008-0088,0232030506,0
C14-2008-0088,0232030501,0
C14-2008-0088,0232030203,0
C14-2008-0088,0234031108,0
C14-2008-0088,0232030204,0
C14-2008-0088,0232030505,0
C14-2008-0088,0234031103,0
C14-2008-0088,0234031110,0
C14-2008-0088,0232030210,0
C14-2008-0088,0234031111,0
C14-2008-0088,0232030218,0
C14-2008-0088,0234031102,0
C14-2008-0088,0232030502,0
C14-2008-0088,0232030208,0
C14-2008-0088,0232030217,0
C14-2008-0088,0232030214,0
C14-2008-0088,0232030212,0
C14-2008-0088,0232030807,0
C14-2008-0088,0232030213,0
C14-2008-0088,0234031105,0
C14-2008-0088,0232030216,0
C14-2008-0112,0406100239,0
C14-2008-0112,0406091001,0
C14-2008-0112,0406100228,0
C14-2008-0112,0406100224,0
C14-2008-0112,0406090143,0
C14-2008-0112,0406090145,0
C14-2008-0112,0406090129,0
C14-2008-0112,0406090127,0
C14-2008-0112,0406090126,0
C14-2008-0112,0406090125,0
C14-2008-0112,0406090141,0
C14-2008-0112,0406090131,0
C14-2008-0112,0406090101,0
C14-2008-0113,0202100403,0
C14-2008-0113,0202100609,0
C14-2008-0113,0202100402,0
C14-2008-0113,0202100505,0
C14-2008-0113,0202100514,0
C14-2008-0113,0202100404,0
C14-2008-0113,0202100506,0
C14-2008-0113,0202100503,0
C14-2008-0113,0202100516,0
C14-2008-0113,0202100513,0
C14-2008-0113,0202100401,0
C14-2008-0113,0202100405,0
C14-2008-0113,0202100515,0
C14-2008-0113,0202100511,0
C14-2008-0113,0202100602,0
C14-2008-0113,0202100612,0
C14-2008-0113,0202100406,0
C14-2008-0113,0202100501,0
C14-2008-0113,0202100510,0
C14-2008-0113,0202100512,0
C14-2008-0113,0202100601,0
C14-2008-0113,0202100507,0
C14-2008-0115,0410280807,0
C14-2008-0115,0410280817,0
C14-2008-0115,0410280821,0
C14-2008-0115,0410280805,0
C14-2008-0115,0410280806,0
C14-2008-0115,0410280804,0
C14-2008-0115,0410280818,0
C14-2008-0115,0410280816,0
C14-2008-0115,0410280808,0
C14-2008-0115,0410280809,0
C14-2008-0131,0248180115,0
C14-2008-0131,0248180113,0
C14-2008-0131,0248180204,0
C14-2008-0131,0248180116,0
C14-2008-0131,0248180203,0
C14-2008-0151,0164010944,0
C14-2008-0151,0164010902,0
C14-2008-0151,0164010943,0
C14-2008-0151,0164030303,0
C14-2008-0151,0164010945,0
C14-2008-0151,0164010903,0
C14-2008-0151,0164030302,0
C14-2008-0151,0164011203,0
C14-2008-0151,0164011202,0
C14-2008-0151,0164011219,0
C14-2008-0151,0164011220,0
C14-2008-0151,0164011221,0
C14-2008-0151,0164010901,0
C14-2008-0156,0208061717,0
C14-2008-0156,0205070515,0
C14-2008-0156,0205070501,0
C14-2008-0156,0205071501,0
C14-2008-0156,0206051208,0
C14-2008-0156,0206051207,0
C14-2008-0156,0208061810,0
C14-2008-0156,0205070512,0
C14-2008-0156,0205070514,0
C14-2008-0156,0208061811,0
C14-2008-0156,0208061809,0
C14-2008-0156,0205070517,0
C14-2008-0156,0205070505,0
C14-2008-0162,0303050727,0
C14-2008-0162,0303050361,0
C14-2008-0162,0303050349,0
C14-2008-0162,0303051301,0
C14-2008-0162,0303051501,0
C14-2008-0162,0303051006,0
C14-2008-0162,0303050709,0
C14-2008-0162,0303050708,0
C14-2008-0162,0304060201,0
C14-2008-0162,0303051701,0
C14-2008-0166,0209061701,0
C14-2008-0166,0209060206,0
C14-2008-0166,0209061501,0
C14-2008-0166,0209060609,0
C14-2008-0166,0209060511,0
C14-2008-0166,0209060505,0
