case_number,year,total_parcels,signers,signer_pct
C14-2007-0131,2007.0,18,14,41.62348877374784
C14-2007-0144,2007.0,11,8,12.044913235794487
C14-2007-0259,2007.0,14,3,11.429582448690727
C14-2008-0025,2008.0,11,11,43.03261329944939
C14-2008-0031,2008.0,20,1,46.38209697472027
C14-2008-0052,2008.0,8,4,22.755943716642406
C14-2008-0057,2008.0,26,26,100.0
C14-2008-0060,2008.0,9,1,12.247557003257329
C14-2008-0066,2008.0,10,14,39.067206814168486
C14-2008-0088,2008.0,44,1,57.92855792855792
C14-2008-0099,2008.0,13,13,100.0
C14-2008-0112,2008.0,17,6,22.008862629246675
C14-2008-0113,2008.0,28,8,24.205607476635507
C14-2008-0115,2008.0,16,16,44.02266288951841
C14-2008-0131,2008.0,7,38,29.238160603980777
C14-2008-0151,2008.0,17,4,22.994652406417114
C14-2008-0154,2008.0,1,1,100.0
C14-2008-0156,2008.0,16,17,22.956145100162427
C14-2008-0162,2008.0,13,7,44.00422609614368
C14-2008-0166,2008.0,18,13,41.62348877374784
C14-2008-0171,2008.0,15,4,14.118139924591535
C14-2008-0175,2008.0,15,1,5.964503927844051
C14-2008-0184,2008.0,14,10,24.00311526479751
C14-2008-0223,2008.0,17,5,34.29158110882957
C14-2008-0247,2008.0,22,6,13.59075706901794
C14-2009-0028,2009.0,18,12,13.41127922971114
C14-2009-0031,2009.0,11,4,18.075375045737285
C14-2009-0032,2009.0,14,10,42.800593765462644
C14-2009-0059,2009.0,1,1,100.0
C14-2009-0077,2009.0,19,1,36.32281553398058
C14-2009-0102,2009.0,1,1,100.0
C14-2009-0106.001,2009.0,13,13,100.0
C14-2009-0168,2009.0,4,1,90.9090909090909
C14-2010-0017,2010.0,13,13,100.0
C14-2010-0025,2010.0,16,7,0.0
C14-2010-0034,2010.0,13,13,100.0
C14-2010-0039,2010.0,7,7,100.0
C14-2010-0045,2010.0,13,22,0.0
C14-2010-0048,2010.0,1,1,100.0
C14-2010-0049,2010.0,9,4,0.0
C14-2010-0051,2010.0,13,54,0.0
C14-2010-0052,2010.0,25,25,100.0
C14-2010-0077,2010.0,17,9,11.011996308828053
C14-2010-0079,2010.0,32,1,3.1
C14-2010-0084,2010.0,16,2,0.0
C14-2010-0101,2010.0,9,4,44.4
C14-2010-0113,2010.0,15,6,0.0
C14-2010-0122,2010.0,10,3,29.823651452282157
C14-2010-0143,2010.0,20,4,0.0
C14-2010-0191,2010.0,11,11,100.0
C14-2010-0199,2010.0,6,4,25.200692586179755
C14-2010-0204,2010.0,31,2,6.5
C14-2010-0206,2010.0,11,3,18.844143867199506
C14-2011-0032,2011.0,105,33,31.4
C14-2011-0054,2011.0,9,6,66.7
C14-2011-0058,2011.0,17,5,29.4
C14-2011-0133,2011.0,28,2,7.1
C14-2011-0134,2011.0,27,3,11.1
C14-2011-0141,2011.0,49,7,14.3
C14-2012-0020,2012.0,20,0,0.0
C14-2012-0052,2012.0,39,14,35.9
C14-2012-0067,2012.0,10,3,30.0
C14-2012-0083,2012.0,28,1,3.6
C14-2012-0097,2012.0,18,7,38.9
C14-2012-0100,2012.0,11,0,0.0
C14-2012-0109,2012.0,45,27,60.0
C14-2012-0116,2012.0,16,5,31.2
C14-2012-0130,2012.0,19,2,10.5
C14-2012-0140,2012.0,72,30,41.7
