case_number,year,total_parcels,signers,signer_pct
C14-2007-0131,2007,14,14,100.0
C14-2007-0144,2007,8,8,100.0
C14-2007-0259,2007,3,3,100.0
C14-2008-0025,2008,11,11,100.0
C14-2008-0031,2008,1,1,100.0
C14-2008-0052,2008,4,4,100.0
C14-2008-0057,2008,26,26,100.0
C14-2008-0060,2008,1,1,100.0
C14-2008-0066,2008,14,14,100.0
C14-2008-0088,2008,1,1,100.0
C14-2008-0099,2008,13,13,100.0
C14-2008-0112,2008,6,6,100.0
C14-2008-0113,2008,8,8,100.0
C14-2008-0115,2008,16,16,100.0
C14-2008-0131,2008,38,38,100.0
C14-2008-0151,2008,4,4,100.0
C14-2008-0154,2008,1,1,100.0
C14-2008-0156,2008,17,17,100.0
C14-2008-0162,2008,7,7,100.0
C14-2008-0166,2008,13,13,100.0
C14-2008-0171,2008,4,4,100.0
C14-2008-0175,2008,1,1,100.0
C14-2008-0184,2008,10,10,100.0
C14-2008-0223,2008,5,5,100.0
C14-2008-0247,2008,6,6,100.0
C14-2009-0028,2009,12,12,100.0
C14-2009-0031,2009,4,4,100.0
C14-2009-0032,2009,10,10,100.0
C14-2009-0059,2009,1,1,100.0
C14-2009-0077,2009,1,1,100.0
C14-2009-0102,2009,1,1,100.0
C14-2009-0106.001,2009,13,13,100.0
C14-2009-0168,2009,1,1,100.0
C14-2010-0017,2010,13,13,100.0
C14-2010-0025,2010,7,7,100.0
C14-2010-0034,2010,13,13,100.0
C14-2010-0039,2010,7,7,100.0
C14-2010-0045,2010,22,22,100.0
C14-2010-0048,2010,1,1,100.0
C14-2010-0049,2010,4,4,100.0
C14-2010-0051,2010,54,54,100.0
C14-2010-0052,2010,25,25,100.0
C14-2010-0077,2010,9,9,100.0
C14-2010-0079,2010,32,1,3.1
C14-2010-0084,2010,2,2,100.0
C14-2010-0101,2010,9,4,44.4
C14-2010-0113,2010,6,6,100.0
C14-2010-0122,2010,3,3,100.0
C14-2010-0143,2010,4,4,100.0
C14-2010-0191,2010,11,11,100.0
C14-2010-0199,2010,4,4,100.0
C14-2010-0204,2010,31,2,6.5
C14-2010-0206,2010,3,3,100.0
C14-2011-0032,2011,105,33,31.4
C14-2011-0054,2011,9,6,66.7
C14-2011-0058,2011,17,5,29.4
C14-2011-0133,2011,28,2,7.1
C14-2011-0134,2011,27,3,11.1
C14-2011-0141,2011,49,7,14.3
C14-2012-0020,2012,20,0,0.0
C14-2012-0052,2012,39,14,35.9
C14-2012-0067,2012,10,3,30.0
C14-2012-0083,2012,28,1,3.6
C14-2012-0097,2012,18,7,38.9
C14-2012-0100,2012,11,0,0.0
C14-2012-0109,2012,45,27,60.0
C14-2012-0116,2012,16,5,31.2
C14-2012-0130,2012,19,2,10.5
C14-2012-0140,2012,72,30,41.7
C14-2013-0022,2013,20,13,65.0
C14-2013-0031,2013,21,8,38.1
C14-2013-0034,2013,12,4,33.3
C14-2013-0040,2013,44,25,56.8
C14-2013-0053,2013,57,18,31.6
C14-2013-0060,2013,33,13,39.4
C14-2013-0087,2013,11,2,18.2
C14-2013-0095,2013,12,6,50.0
C14-2013-0096,2013,10,8,80.0
C14-2013-0097,2013,12,7,58.3
C14-2013-0098,2013,11,10,90.9
C14-2013-0104,2013,22,9,40.9
C14-2013-0107,2013,49,3,6.1
C14-2013-0126,2013,118,0,0.0
C14-2013-0158,2013,24,4,16.7
C14-2014-0015,2014,30,5,16.7
C14-2014-0031,2014,22,10,45.5
C14-2014-0036,2014,26,12,46.2
C14-2014-0047,2014,12,5,41.7
C14-2014-0070,2014,15,1,6.7
C14-2014-0123,2014,42,0,0.0
C14-2014-0127,2014,45,7,15.6
C14-2014-0159,2014,13,2,15.4
C14-2014-0178,2014,12,2,16.7
C14-2014-0193,2014,14,3,21.4
C14-2014-0194,2014,17,5,29.4
C14-2015-0001,2015,14,2,14.3
C14-2015-0003,2015,36,19,52.8
C14-2015-0019,2015,33,5,15.2
C14-2015-0025,2015,18,5,27.8
C14-2015-0043,2015,11,2,18.2
C14-2015-0047,2015,26,8,30.8
C14-2015-0050,2015,19,0,0.0
C14-2015-0086,2015,27,9,33.3
C14-2015-0093,2015,18,2,11.1
C14-2015-0094,2015,18,2,11.1
C14-2015-0104,2015,19,0,0.0
C14-2015-0105,2015,12,1,8.3
C14-2015-0106,2015,9,1,11.1
C14-2015-0119,2015,40,16,40.0
C14-2015-0160,2015,16,7,43.8
C14-2016-0023,2016,22,17,77.3
C14-2016-0025,2016,85,43,50.6
C14-2016-0039,2016,17,0,0.0
C14-2016-0063,2016,32,20,62.5
C14-2016-0064,2016,17,1,5.9
C14-2016-0077,2016,38,11,28.9
C14-2016-0079,2016,27,0,0.0
C14-2016-0096,2016,11,5,45.5
C14-2016-0125,2016,38,1,2.6
C14-2017-0052,2017,12,3,25.0
C14-2017-0074,2017,14,1,7.1
C14-2017-0092,2017,96,30,31.2
C14-2017-0094,2017,7,0,0.0
C14-2017-0098,2017,15,2,13.3
C14-2017-0123,2017,9,4,44.4
C14-2018-0002,2018,18,10,55.6
C14-2018-0077,2018,96,16,16.7
C14-2018-0093,2018,50,20,40.0
C14-2018-0096,2018,62,20,32.3
C14-2018-0100,2018,138,36,26.1
C14-2018-0124,2018,44,22,50.0
C14-2018-0140,2018,42,22,52.4
C14-2018-0141,2018,32,14,43.8
C14-2018-0149,2018,40,0,0.0
C14-2018-0150,2018,28,10,35.7
C14-2019-0007,2019,36,5,13.9
C14-2019-0011,2019,6,1,16.7
C14-2019-0026,2019,20,7,35.0
C14-2019-0027,2019,2,2,100.0
C14-2019-0049,2019,11,1,9.1
C14-2019-0053,2019,18,4,22.2
C14-2019-0054,2019,19,7,36.8
C14-2019-0078,2019,31,15,48.4
C14-2019-0090,2019,10,0,0.0
C14-2019-0098,2019,27,4,14.8
C14-2019-0103,2019,11,0,0.0
C14-2019-0164,2019,19,1,5.3
C14-2020-0022,2020,134,0,0.0
C14-2020-0023,2020,44,6,13.6
C14-2020-0029,2020,50,14,28.0
C14-2020-0030,2020,36,12,33.3
C14-2020-0031,2020,54,0,0.0
C14-2020-0038,2020,42,12,28.6
C14-2020-0039,2020,64,24,37.5
C14-2020-0044,2020,94,16,17.0
C14-2020-0048,2020,32,0,0.0
C14-2020-0067,2020,22,12,54.5
C14-2020-0075,2020,36,16,44.4
C14-2020-0081,2020,16,4,25.0
C14-2020-0089,2020,92,0,0.0
C14-2020-0102,2020,26,16,61.5
C14-2020-0112,2020,26,6,23.1
C14-2020-0121,2020,56,14,25.0
C14-2020-0143,2020,86,0,0.0
C14-2020-0146,2020,12,2,16.7
C14-2020-0147,2020,82,20,24.4
C14-2020-0151,2020,204,0,0.0
C14-2021-0007,2021,38,25,65.8
C14-2021-0008,2021,16,7,43.8
C14-2021-0009,2021,9,3,33.3
C14-2021-0015,2021,46,0,0.0
C14-2021-0017,2021,7,1,14.3
C14-2021-0023,2021,9,0,0.0
C14-2021-0033,2021,480,24,5.0
C14-2021-0037,2021,811,62,7.6
C14-2021-0039,2021,26,9,34.6
C14-2021-0050,2021,15,0,0.0
C14-2021-0055,2021,15,2,13.3
C14-2021-0056,2021,16,0,0.0
C14-2021-0081,2021,23,0,0.0
C14-2021-0082,2021,4,0,0.0
C14-2021-0100,2021,3,0,0.0
