year,meeting_title,meeting_url
2005,Find your district,https://www.austintexas.gov/council/district-map
2005,Corporations,https://www.austintexas.gov/council/council-corporations
2005,Intergovernmental Entities,https://www.austintexas.gov/council/intergovernmental-entities
2005,Associated Entities,https://www.austintexas.gov/council/associated-entities
2005,Unknown Session,https://www.austintexas.gov/council/council-meetings
2005,"December 15, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051215-reg
2005,"December 1, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20051201-ahfc
2005,"December 1, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051201-reg
2005,"November 17, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20051117-ahfc
2005,"November 17, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051117-reg
2005,"November 3, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20051103-ahfc
2005,"November 3, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051103-reg
2005,"October 27, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051027-reg
2005,"October 20, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20051020-ahfc
2005,"October 20, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051020-reg
2005,"October 6, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20051006-reg
2005,"September 29, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050929-ahfc
2005,"September 29, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050929-reg
2005,"September 14, 2005Austin City Council Budget Meeting",https://www.austintexas.gov/council/2005/20050914-reg
2005,"September 13, 2005Austin City Council Budget Meeting",https://www.austintexas.gov/council/2005/20050913-reg
2005,"September 12, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050912-ahfc
2005,"September 12, 2005Austin City Council Budget Meeting",https://www.austintexas.gov/council/2005/20050912-reg
2005,"September 1, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050901-reg
2005,"August 25, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050825-reg
