CASE_NUMBER,EDIMS_URL,STAFF_RECOMMENDATION
C14-97-0107,https://services.austintexas.gov/edims/document.cfm?idx=1264966792025990776,Approval
C14-2024-0059,https://services.austintexas.gov/edims/document.cfm?idx=-3562755168385058063,Disapproval
C14-95-0054,https://services.austintexas.gov/edims/document.cfm?idx=3617494193543235853,Approval
C14-97-0106,https://services.austintexas.gov/edims/document.cfm?idx=-3946759082917469276,Approval
C14-2013-0059,https://services.austintexas.gov/edims/document.cfm?idx=399959169578450583,Approval
C14-00-2263,https://services.austintexas.gov/edims/document.cfm?idx=1272960193050599183,Approval
C14-94-0024,https://services.austintexas.gov/edims/document.cfm?idx=412560435098421626,Approval
C14-98-0213,https://services.austintexas.gov/edims/document.cfm?idx=4379685621162607381,Approval
C14-91-0052,https://services.austintexas.gov/edims/document.cfm?idx=4163032454001843692,Approval
C14-88-0003,https://services.austintexas.gov/edims/document.cfm?idx=7197388587152735196,Approval
C14-90-0080,https://services.austintexas.gov/edims/document.cfm?idx=3220236207424592202,Approval
C14-88-0148,https://services.austintexas.gov/edims/document.cfm?idx=4271068332856542029,Disapproval
C14-97-0079,https://services.austintexas.gov/edims/document.cfm?idx=2753716589808272563,Approval
C14-88-0015,https://services.austintexas.gov/edims/document.cfm?idx=6761249507209916320,Approval
C14-98-0053,https://services.austintexas.gov/edims/document.cfm?idx=-5385843267530160941,Approval
C14-91-0064,https://services.austintexas.gov/edims/document.cfm?idx=-434108348855669014,Approval
C14-98-0094,https://services.austintexas.gov/edims/document.cfm?idx=4872963738450742300,Approval
C14-04-0191,https://services.austintexas.gov/edims/document.cfm?idx=-550057549169309351,Approval
C14-92-0084,https://services.austintexas.gov/edims/document.cfm?idx=-8356386334437851314,Approval
C14-93-0036,https://services.austintexas.gov/edims/document.cfm?idx=4663164670311711249,Approval
C14-90-0027,https://services.austintexas.gov/edims/document.cfm?idx=-7018597449609906408,Approval
C14-88-0084,https://services.austintexas.gov/edims/document.cfm?idx=-6321186817538566376,Approval
C14-99-0113,https://services.austintexas.gov/edims/document.cfm?idx=6467622408533091407,Approval
C14-99-0040,https://services.austintexas.gov/edims/document.cfm?idx=3527251032180479682,Approval
C14-90-0084,https://services.austintexas.gov/edims/document.cfm?idx=4611406644835097215,Approval
C14-92-0077,https://services.austintexas.gov/edims/document.cfm?idx=-2065712568978283144,Approval
C14-00-2121,https://services.austintexas.gov/edims/document.cfm?idx=-7314445157930291989,Approval
C14-92-0048,https://services.austintexas.gov/edims/document.cfm?idx=-870049263897807831,Approval
C14-03-0095,https://services.austintexas.gov/edims/document.cfm?idx=6687949737547937228,Approval
C14-2025-0020,https://services.austintexas.gov/edims/document.cfm?idx=-5848404493758042311,Approval
C14-2025-0104,https://services.austintexas.gov/edims/document.cfm?idx=-501765398558829852,Approval
C14-02-0039,https://services.austintexas.gov/edims/document.cfm?idx=-4042841241820199522,Approval
C14-88-0125,https://services.austintexas.gov/edims/document.cfm?idx=-7346730860728109652,Approval
C14-06-0074,https://services.austintexas.gov/edims/document.cfm?idx=-2821108392160597883,Disapproval
C14-89-0001,https://services.austintexas.gov/edims/document.cfm?idx=-6087900021740526096,Disapproval
C14-2020-0074,https://services.austintexas.gov/edims/document.cfm?idx=-1172727611047032128,Approval
C14-2022-0014,https://services.austintexas.gov/edims/document.cfm?idx=4525143360469053704,Approval
C14-92-0044,https://services.austintexas.gov/edims/document.cfm?idx=-960891574854549867,Approval
C14-92-0030,https://services.austintexas.gov/edims/document.cfm?idx=3911501852964552721,Approval
C14-87-141,https://services.austintexas.gov/edims/document.cfm?idx=6529070690314138269,Approval
C14-98-0065,https://services.austintexas.gov/edims/document.cfm?idx=-9079319319761166420,Approval
C14-95-0120,https://services.austintexas.gov/edims/document.cfm?idx=-355453595119795710,Approval
C14-2024-0147,https://services.austintexas.gov/edims/document.cfm?idx=50775097304471543,Approval
C14-02-0086,https://services.austintexas.gov/edims/document.cfm?idx=3166805039664236580,Disapproval
C14-03-0182,https://services.austintexas.gov/edims/document.cfm?idx=4401604894339646835,Approval
C14-2018-0047.SH,https://services.austintexas.gov/edims/document.cfm?idx=-6408012759482812760,Approval
C14-82-121(RCA),https://services.austintexas.gov/edims/document.cfm?idx=-5003734066831785515,Approval
C14-89-0012,https://services.austintexas.gov/edims/document.cfm?idx=4277102264909694469,Approval
C14-2019-0130,https://services.austintexas.gov/edims/document.cfm?idx=78743099335410709,Approval
C14-96-0140,https://services.austintexas.gov/edims/document.cfm?idx=-2257478068645347146,Approval
C14-03-0126,https://services.austintexas.gov/edims/document.cfm?idx=6110357535116533890,Disapproval
C14-99-0124,https://services.austintexas.gov/edims/document.cfm?idx=-2188310480739283806,Approval
C14-96-0063,https://services.austintexas.gov/edims/document.cfm?idx=-517957856900822879,Disapproval
C14-2024-0176,https://services.austintexas.gov/edims/document.cfm?idx=-7431313454143221478,Disapproval
C14-2023-0047,https://services.austintexas.gov/edims/document.cfm?idx=4084400341066180085,Approval
C14-86-103,https://services.austintexas.gov/edims/document.cfm?idx=-2081726768856725252,Disapproval
C14-05-0022,https://services.austintexas.gov/edims/document.cfm?idx=-1466740501132654933,Approval
C14-93-0015,https://services.austintexas.gov/edims/document.cfm?idx=-2682907477076333572,Approval
C14-98-0211,https://services.austintexas.gov/edims/document.cfm?idx=1226943357923235776,Approval
C14-96-0004,https://services.austintexas.gov/edims/document.cfm?idx=5059994538762709584,Approval
C14-98-0095,https://services.austintexas.gov/edims/document.cfm?idx=6887350930055477857,Approval
C14-99-0026,https://services.austintexas.gov/edims/document.cfm?idx=-6163664061002124431,Approval
C14-97-0050,https://services.austintexas.gov/edims/document.cfm?idx=-5543339121857838758,Approval
C14-98-0040,https://services.austintexas.gov/edims/document.cfm?idx=-8936823645709157379,Approval
C14-91-0040,https://services.austintexas.gov/edims/document.cfm?idx=913294575860304960,Approval
C14-88-0053,https://services.austintexas.gov/edims/document.cfm?idx=5979130657802044997,Approval
C14-2020-0094,https://services.austintexas.gov/edims/document.cfm?idx=3465849311729349201,Approval
C14-98-0246,https://services.austintexas.gov/edims/document.cfm?idx=8117400817598104274,Approval
C14-91-0028,https://services.austintexas.gov/edims/document.cfm?idx=-1031534661038536322,Approval
C14-2013-0079,https://services.austintexas.gov/edims/document.cfm?idx=1464664519406920438,Disapproval
C14-98-0056,https://services.austintexas.gov/edims/document.cfm?idx=8700063492467315272,Approval
C14-83-330,https://services.austintexas.gov/edims/document.cfm?idx=8110565458152632408,Approval
C14-04-0159,https://services.austintexas.gov/edims/document.cfm?idx=-2518864396288321118,Approval
C14-06-0075,https://services.austintexas.gov/edims/document.cfm?idx=-6360654510951917472,Approval
C14-90-0051,https://services.austintexas.gov/edims/document.cfm?idx=10615186850121167,Approval
C14-98-0131,https://services.austintexas.gov/edims/document.cfm?idx=8998849084903944031,Approval
C14-00-2043,https://services.austintexas.gov/edims/document.cfm?idx=-6048372345865230229,Approval
C14-93-0062,https://services.austintexas.gov/edims/document.cfm?idx=-2937753657004036724,Approval
C14-92-0126,https://services.austintexas.gov/edims/document.cfm?idx=3446192324972493984,Approval
C14-91-0080,https://services.austintexas.gov/edims/document.cfm?idx=6010794554034938719,Approval
C14-99-0028,https://services.austintexas.gov/edims/document.cfm?idx=733937623145626376,Approval
C14-97-0048,https://services.austintexas.gov/edims/document.cfm?idx=5396941079916391168,Approval
C14-87-115,https://services.austintexas.gov/edims/document.cfm?idx=-8028003016398213336,Approval
C14-98-0105,https://services.austintexas.gov/edims/document.cfm?idx=-3381153661316295844,Approval
C14-97-0118,https://services.austintexas.gov/edims/document.cfm?idx=-4825026980641865393,Approval
C14-06-0163,https://services.austintexas.gov/edims/document.cfm?idx=2060312099997126727,Approval
C14-06-0118,https://services.austintexas.gov/edims/document.cfm?idx=6428450043243313352,Approval
C14-92-0067,https://services.austintexas.gov/edims/document.cfm?idx=1125932880326218245,Approval
C14-98-0017,https://services.austintexas.gov/edims/document.cfm?idx=3360527944738547138,Disapproval
C14-88-0144,https://services.austintexas.gov/edims/document.cfm?idx=-1483483898308593387,Approval
C14-05-0123,https://services.austintexas.gov/edims/document.cfm?idx=7259616614643108540,Approval
C14-94-0086,https://services.austintexas.gov/edims/document.cfm?idx=3511878317598838169,Approval
C14-03-0081,https://services.austintexas.gov/edims/document.cfm?idx=-6169928260671299287,Approval
C14-98-0195,https://services.austintexas.gov/edims/document.cfm?idx=-5574741244262525097,Approval
C14-01-0043,https://services.austintexas.gov/edims/document.cfm?idx=-6223104327123031623,Approval
C14-87-102,https://services.austintexas.gov/edims/document.cfm?idx=9162757734554457172,Approval
C14-2022-0088,https://services.austintexas.gov/edims/document.cfm?idx=-8856502088503721227,Approval
C14-71-213,https://services.austintexas.gov/edims/document.cfm?idx=8439783964849546149,Approval
C14-91-0075,https://services.austintexas.gov/edims/document.cfm?idx=6601301180511179440,Approval
C14-99-0121,https://services.austintexas.gov/edims/document.cfm?idx=-5881066379625252097,Approval
C14-88-0094,https://services.austintexas.gov/edims/document.cfm?idx=7389634627334469041,Approval
C14-99-2116,https://services.austintexas.gov/edims/document.cfm?idx=1839235787867430579,Approval
C14-2021-0074,https://services.austintexas.gov/edims/document.cfm?idx=-182587382120116996,Approval
C14-93-0076,https://services.austintexas.gov/edims/document.cfm?idx=1278983248421928407,Approval
C14-98-0090,https://services.austintexas.gov/edims/document.cfm?idx=-420632832782300381,Disapproval
C14-92-0112,https://services.austintexas.gov/edims/document.cfm?idx=-6384945742062323049,Approval
C14-96-0044,https://services.austintexas.gov/edims/document.cfm?idx=3554006107756443986,Approval
C14-85-055(RCA),https://services.austintexas.gov/edims/document.cfm?idx=-1006723821104962715,Approval
C14-04-0192,https://services.austintexas.gov/edims/document.cfm?idx=-7480078731387124368,Approval
C14-05-0112.01,https://services.austintexas.gov/edims/document.cfm?idx=-581068655695464103,Approval
C14-92-0015,https://services.austintexas.gov/edims/document.cfm?idx=-9141170920359356098,Approval
C14-2008-0151,https://services.austintexas.gov/edims/document.cfm?idx=-5397471935764013863,Approval
C14-87-129,https://services.austintexas.gov/edims/document.cfm?idx=8662628437591178598,Disapproval
C14-03-0044,https://services.austintexas.gov/edims/document.cfm?idx=-5546898182478454775,Approval
C14-99-0030,https://services.austintexas.gov/edims/document.cfm?idx=-8282742347837753488,Approval
C14-04-0011,https://services.austintexas.gov/edims/document.cfm?idx=3599917516337486299,Approval
C14-88-0111,https://services.austintexas.gov/edims/document.cfm?idx=7081451266786789306,Approval
C14-2026-0007,https://services.austintexas.gov/edims/document.cfm?idx=-2336594099797101345,Approval
C14-2020-0017,https://services.austintexas.gov/edims/document.cfm?idx=8469562864292097311,Disapproval
C14-88-0057,https://services.austintexas.gov/edims/document.cfm?idx=5692513270194959096,Approval
C14-94-0059,https://services.austintexas.gov/edims/document.cfm?idx=-5610977946020547463,Approval
C14-98-0043,https://services.austintexas.gov/edims/document.cfm?idx=-4972014975388472274,Disapproval
C14-2019-0141,https://services.austintexas.gov/edims/document.cfm?idx=5709539415019400729,Approval
C14-05-0147,https://services.austintexas.gov/edims/document.cfm?idx=1841078604629459381,Approval
C14-92-0124,https://services.austintexas.gov/edims/document.cfm?idx=4366711720618094617,Approval
C14-95-0144,https://services.austintexas.gov/edims/document.cfm?idx=7317009032873305954,Approval
C14-87-176,https://services.austintexas.gov/edims/document.cfm?idx=3289881746402213360,Approval
C14-90-0062,https://services.austintexas.gov/edims/document.cfm?idx=-2126759568650996229,Approval
C14-2015-0033,https://services.austintexas.gov/edims/document.cfm?idx=4171938083151668210,Approval
C14-97-0149,https://services.austintexas.gov/edims/document.cfm?idx=-5815456603975068918,Approval
C14-96-0090,https://services.austintexas.gov/edims/document.cfm?idx=-3841617754269155131,Approval
C14-04-0033,https://services.austintexas.gov/edims/document.cfm?idx=2887722343110716943,Approval
C14-97-0105,https://services.austintexas.gov/edims/document.cfm?idx=-3438086669183454737,Approval
C14-96-0126,https://services.austintexas.gov/edims/document.cfm?idx=3262236314899905963,Approval
C14-96-0003,https://services.austintexas.gov/edims/document.cfm?idx=-2619252535353915069,Disapproval
C14-95-0195,https://services.austintexas.gov/edims/document.cfm?idx=-4945674413792263831,Approval
C14-96-0027,https://services.austintexas.gov/edims/document.cfm?idx=804299151697713522,Approval
C14-95-0106,https://services.austintexas.gov/edims/document.cfm?idx=-8174741876862667653,Approval
C14-95-0109,https://services.austintexas.gov/edims/document.cfm?idx=-7264584840383972391,Approval
C14-95-0026,https://services.austintexas.gov/edims/document.cfm?idx=4173016512412981875,Disapproval
C14-97-0017,https://services.austintexas.gov/edims/document.cfm?idx=66079544644801747,Disapproval
C14-04-0012,https://services.austintexas.gov/edims/document.cfm?idx=1566789727163787536,Approval
C14-98-0126,https://services.austintexas.gov/edims/document.cfm?idx=-1644300647775918185,Approval
C14-00-2204,https://services.austintexas.gov/edims/document.cfm?idx=-379232219692636478,Approval
C14-06-0101,https://services.austintexas.gov/edims/document.cfm?idx=-8329273594752308121,Approval
C14-95-0200,https://services.austintexas.gov/edims/document.cfm?idx=2705567442098689798,Approval
C14-03-0004,https://services.austintexas.gov/edims/document.cfm?idx=-2684384499964317931,Approval
C14-98-0030,https://services.austintexas.gov/edims/document.cfm?idx=-4708858227895236953,Approval
C14-97-0064,https://services.austintexas.gov/edims/document.cfm?idx=7922353705490589339,Approval
C14-99-0020,https://services.austintexas.gov/edims/document.cfm?idx=2673860898857616247,Approval
C14-97-0058,https://services.austintexas.gov/edims/document.cfm?idx=-7592812210217234180,Disapproval
C14-94-0113,https://services.austintexas.gov/edims/document.cfm?idx=-2876234291267604632,Approval
C14-98-0242,https://services.austintexas.gov/edims/document.cfm?idx=1746934352942184137,Approval
C14-99-2052,https://services.austintexas.gov/edims/document.cfm?idx=2995388332310298587,Approval
C14-97-0088,https://services.austintexas.gov/edims/document.cfm?idx=-6179757008935006416,Disapproval
C14-03-0010,https://services.austintexas.gov/edims/document.cfm?idx=-3353089364431065686,Approval
C14-97-0005,https://services.austintexas.gov/edims/document.cfm?idx=5877703291568674856,Approval
C14-04-0097,https://services.austintexas.gov/edims/document.cfm?idx=-5378860723609340140,Approval
C14-99-0065,https://services.austintexas.gov/edims/document.cfm?idx=-5119276786083663798,Approval
C14-04-0074,https://services.austintexas.gov/edims/document.cfm?idx=-5078465272766919175,Approval
C14-96-0097,https://services.austintexas.gov/edims/document.cfm?idx=324758196575193099,Approval
C14-06-0089,https://services.austintexas.gov/edims/document.cfm?idx=8365784373484992556,Approval
C14-06-0216,https://services.austintexas.gov/edims/document.cfm?idx=4448872500885716477,Approval
C14-2023-0154,https://services.austintexas.gov/edims/document.cfm?idx=-1838338714469020175,Approval
C14-97-0134,https://services.austintexas.gov/edims/document.cfm?idx=-1812594181210424026,Approval
C14-99-0024,https://services.austintexas.gov/edims/document.cfm?idx=665433275538359849,Approval
C14-2025-0078,https://services.austintexas.gov/edims/document.cfm?idx=-5773719313908810641,Approval
C14-88-0026,https://services.austintexas.gov/edims/document.cfm?idx=7373225659453390831,Approval
C14-2021-0002.SH,https://services.austintexas.gov/edims/document.cfm?idx=2267684449369642292,Approval
C14-04-0005,https://services.austintexas.gov/edims/document.cfm?idx=-2207372502938341831,Approval
C14-2010-0133,https://services.austintexas.gov/edims/document.cfm?idx=7585533082352413537,Approval
C14-00-2011.1,https://services.austintexas.gov/edims/document.cfm?idx=606050498815330794,Approval
C14-2008-0069,https://services.austintexas.gov/edims/document.cfm?idx=-1261776040283348788,Approval
C14-02-0033,https://services.austintexas.gov/edims/document.cfm?idx=-1565978970790145212,Approval
C14-2015-0146,https://services.austintexas.gov/edims/document.cfm?idx=-8959100804442277307,Approval
C14-2022-0067,https://services.austintexas.gov/edims/document.cfm?idx=-1324002210995717327,Approval
C14-04-0149.07,https://services.austintexas.gov/edims/document.cfm?idx=1801134451552065345,Approval
C14-2025-0082,https://services.austintexas.gov/edims/document.cfm?idx=4905515084530540440,Approval
C14-2008-0236,https://services.austintexas.gov/edims/document.cfm?idx=-188709003515048200,Disapproval
C14-2010-0057,https://services.austintexas.gov/edims/document.cfm?idx=5015476695723379449,Approval
C14-02-0176,https://services.austintexas.gov/edims/document.cfm?idx=-7425839077265943171,Approval
