CASE_NUMBER,h0_filing,h1_notice,h2_pre_commission,h3_pre_council,council_date
C14-2024-0059,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2008-0151,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-96-0003,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2023-0154,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2022-0067,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2019-0103,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2019-0054,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2021-0017,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2010-0101,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2020-0089,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2008-0156,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2021-0033,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2008-0247,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2020-0044,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2020-0146,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2019-0053,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2013-0034,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2014-0178,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2021-0136,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2022-0077,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2009-0031,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2014-0194,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2021-0119,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2016-0079,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2014-0031.SH,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2020-0031.SH,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2018-0077,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2008-0057.SH,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2010-0199,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2016-0077,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2021-0015,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-99-0069,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2008-0184,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2020-0112,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2008-0223,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2017-0074,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2020-0039,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2016-0023.SH,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2023-0004,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2012-0097,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2012-0020,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2017-0092,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2021-0137,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2018-0140,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2015-0119,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2007-0131,2007-04-03,2007-06-17,2007-07-02,2007-07-29,2007-08-01
C14-2022-0056,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2009-0028,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2015-0160,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2022-0150,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2008-0171,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2009-0168,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2016-0064,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2010-0084,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2012-0109,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2021-0008.SH,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2020-0121,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2019-0011,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2016-0025,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2011-0133,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14-2008-0162,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2013-0022,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2015-0047,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2015-0086,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2020-0102,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2020-0067,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2008-0175,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2017-0123,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2021-0123,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2021-0193,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2024-0071,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2007-0259,2007-04-03,2007-06-17,2007-07-02,2007-07-29,2007-08-01
C14-2021-0082,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2015-0001,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2013-0158,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2024-0019.SH,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2020-0022,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2023-0126,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2008-0052,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2023-0034,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2022-0004,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2013-0031,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2012-0067,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2018-0141,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2021-0050,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2022-0033,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2013-0098,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14H-2018-0013,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2020-0029,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2020-0147,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2021-0150,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2021-0055,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2021-0037,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14H-2010-0006,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14H-2015-0006,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2008-0113,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2013-0097,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
