CASE_NUMBER,neighbor_tcad_id
C14-2007-0144,0107000302
C14-2007-0144,0107000303
C14-2007-0144,0107000409
C14-2007-0144,0107000410
C14-2007-0144,0107000411
C14-2007-0144,0208000508
C14-2007-0144,0208001001
C14-2007-0144,0208001002
C14-2007-0144,0208001003
C14-2008-0052,0430190106
C14-2008-0052,0430190108
C14-2008-0052,0430190109
C14-2008-0052,0430190115
C14-2008-0057.SH,0220200111
C14-2008-0057.SH,0220200112
C14-2008-0057.SH,0220200118
C14-2008-0057.SH,0220200137
C14-2008-0057.SH,0220200138
C14-2008-0057.SH,0220210103
C14-2008-0057.SH,0220210104
C14-2008-0057.SH,0220210105
C14-2008-0057.SH,0220210106
C14-2008-0057.SH,0220210201
C14-2008-0057.SH,0220210202
C14-2008-0057.SH,0220210203
C14-2008-0057.SH,0220210205
C14-2008-0057.SH,0220210206
C14-2008-0057.SH,0220211448
C14-2008-0057.SH,0221220112
C14-2008-0057.SH,0222210108
C14-2008-0057.SH,0222210109
C14-2008-0057.SH,0222210110
C14-2008-0057.SH,0222210111
C14-2008-0057.SH,0222210112
C14-2008-0057.SH,0222210113
C14-2008-0057.SH,0222210114
C14-2008-0057.SH,0222210115
C14-2008-0057.SH,0222210119
C14-2008-0066,0414300107
C14-2008-0066,0414300402
C14-2008-0066,0414300403
C14-2008-0066,0414300404
C14-2008-0066,0416300127
C14-2008-0066,0416300128
C14-2008-0066,0416300133
C14-2008-0066,0416300134
C14-2008-0066,0416300135
C14-2008-0066,0416300136
C14-2008-0066,0416300137
C14-2008-0066,0416301102
C14-2008-0066,0416301105
C14-2008-0066,0416301234
C14-2008-0112,0406090102
C14-2008-0112,0406090130
C14-2008-0112,0406090136
C14-2008-0112,0406100226
C14-2008-0112,0406100227
C14-2008-0113,0202100502
C14-2008-0113,0202100504
C14-2008-0113,0202100603
C14-2008-0113,0202100610
C14-2008-0113,0202100611
C14-2008-0113,0202100613
C14-2008-0113,0202100614
C14-2008-0113,0203090807
C14-2008-0115,0410280819
C14-2008-0115,0410280820
C14-2008-0115,0410280822
C14-2008-0115,0410280908
C14-2008-0115,0410280909
C14-2008-0115,0410280910
C14-2008-0115,0410280911
C14-2008-0115,0410280912
C14-2008-0115,0410280913
C14-2008-0115,0410280914
C14-2008-0115,0410280915
C14-2008-0115,0410280942
C14-2008-0115,0412280201
C14-2008-0115,0412280261
C14-2008-0115,0412280614
C14-2008-0115,0412280706
C14-2008-0131,0248180117
C14-2008-0131,0250160201
C14-2008-0131,0250181401
C14-2008-0131,0250181402
C14-2008-0131,0250181403
C14-2008-0131,0250181507
C14-2008-0131,0250181802
C14-2008-0131,0250181811
C14-2008-0131,0250181812
C14-2008-0131,0250182201
C14-2008-0131,0252161928
C14-2008-0131,0252161929
C14-2008-0131,0252161930
C14-2008-0131,0252161936
C14-2008-0131,0252161937
C14-2008-0131,0252161938
C14-2008-0131,0252161939
C14-2008-0131,0252161940
C14-2008-0131,0252161941
C14-2008-0131,0252161942
C14-2008-0131,0252162001
