CASE_NUMBER,CASE_NAME,CASE_TYPE,WORK_TYPE,SUB_TYPE,DETAILED_STATUS,DESCRIPTION_OF_WORK,TCAD_ID,LOCATION,filing_date,notice_date,petition_deadline,planning_commission_date,council_date,withdrawal_date,zoning_from,zoning_to,requested_units,requested_far,requested_height
C14-97-0107,HEB AUSTIN STORE NO. 1,Zoning,Zoning,Zoning/Rezoning,Closed,,0203110803,"(30.25955655, -97.71137458)",,,,,,,,,,,
,1400 CORSAC WAY,Zoning,Zoning,Zoning/Rezoning,Pending,The applicant is requesting to rezone approximately 0.1022 acres from SF-4A-CO to SF-3-HOME-2.,0258181217,"(30.40513046, -97.68818663)",,,,,,,,,,,
C14-2024-0059,1809 W 35th Street Rezoning,Zoning,Zoning,Zoning/Rezoning,Closed,The applicant is requesting to rezone approximately 0.27 acres from LO-MU-CO-NP to LO-MU-DB90-CO-NP.,0120010903,"(30.3080929, -97.75384407)",,,,,,,,,,,
C14H-01-0006,OAKWOOD CEMETERY ANNEX,Zoning,Zoning,Historical,Closed,,0209071001,"(30.27623448, -97.7243003)",,,,,,,,,,,
C14-95-0054,TROPICAL HEAT CAFE **EXPIRED**,Zoning,Zoning,Zoning/Rezoning,Expired,,0247230812,"(30.37685798, -97.67336157)",,,,,,,,,,,
C14-97-0106,THOMAS ZONING CHANGE,Zoning,Zoning,Zoning/Rezoning,Closed,,0316080205,"(30.20905804, -97.72298286)",,,,,,,,,,,
C17-06-0023,101 WEST 11TH STREET,Zoning,Zoning,Capital View Corridor Height,Approved,,,"(30.27263369, -97.7412232)",,,,,,,,,,,
C14H-03-0003,PHILQUIST - WOOD HOUSE,Zoning,Zoning,Historical,Closed,,0218060303,"(30.30261403, -97.72948589)",,,,,,,,,,,
C14-2013-0059,Cedars Montessori School,Zoning,Zoning,Zoning/Rezoning,Closed,"The applicant is proposing to rezone property from RR-NP to LO-NP.

SEE ALSO C14-2013-0058",0404550111,"(30.2438692, -97.92371199)",,,,,,,,,,,
C14-00-2263,SDN CARWASH @SCENIC BROOK,Zoning,Zoning,Zoning/Rezoning,Closed,,0406380417,"(30.23719245, -97.87798917)",,,,,,,,,,,
C14-94-0024,"ARACLEAN SERVICES, INC. (BLDG II-REZONING)",Zoning,Zoning,Zoning/Rezoning,Closed,,0323110405,"(30.18839856, -97.69214831)",,,,,,,,,,,
C14-98-0213,MONARCH OFFICE CONDO'S,Zoning,Zoning,Zoning/Rezoning,Closed,,0428210533,"(30.17611517, -97.82340201)",,,,,,,,,,,
NPA-2025-0018.02,Airport Koening Multifamily,Neighborhood Planning,Zoning,Amended Neighborhood Plan,In Review,The applicant is requesting an NPA.,0227110201,"(30.32419999, -97.71603795)",,,,,,,,,,,
C14-91-0052,"FORD PLACE #1, LOTS 5 & 6, BLOCK G **WITHDRAWN**",Zoning,Zoning,Zoning/Rezoning,Withdrawn,,0408120707,"(30.2273319, -97.78626011)",,,,,,,,,,,
C14-88-0003,RATHBERGER FAMILY PARTNERSHIP,Zoning,Zoning,Zoning/Rezoning,Closed,,0418120917,"(30.20236444, -97.78818492)",,,,,,,,,,,
C14-90-0080,EL RANCHO PARKING LOT,Zoning,Zoning,Zoning/Rezoning,Closed,,0404070162,"(30.24410197, -97.77722061)",,,,,,,,,,,
C14-88-0148,ZIZ SALON - WITHDRAWN,Zoning,Zoning,Zoning/Rezoning,Withdrawn,,0210000703,"(30.27871198, -97.75197683)",,,,,,,,,,,
C14H-04-0023,DEL CURTO - NOWOTNY HOUSE,Zoning,Zoning,Historical,Closed,,0216040315,"(30.29637337, -97.7366651)",,,,,,,,,,,
