CASE_NUMBER,renter_share,median_household_income
C14-01-0038,0.5794465063381586,70632.48198198198
C14-2007-0131,0.5794465063381586,70632.48198198198
C14-2007-0144,0.704837993786063,46042.0
C14-2007-0259,0.5794465063381586,70632.48198198198
C14-2008-0016,0.5794465063381586,70632.48198198198
C14-2008-0025,0.5794465063381586,70632.48198198198
C14-2008-0031,0.5794465063381586,70632.48198198198
C14-2008-0052,0.704837993786063,46042.0
C14-2008-0057.SH,0.7037729261504707,34729.0
C14-2008-0060,0.5794465063381586,70632.48198198198
C14-2008-0066,0.7035732259687972,34729.0
C14-2008-0088,0.5794465063381586,70632.48198198198
C14-2008-0099,0.5794465063381586,70632.48198198198
C14-2008-0112,0.5794465063381586,70632.48198198198
C14-2008-0113,0.5794465063381586,70632.48198198198
C14-2008-0115,0.5588558855885588,31199.0
C14-2008-0131,0.5794465063381586,70632.48198198198
C14-2008-0151,0.5794465063381586,70632.48198198198
C14-2008-0154,0.5794465063381586,70632.48198198198
C14-2008-0156,0.5794465063381586,70632.48198198198
C14-2008-0162,0.5794465063381586,70632.48198198198
C14-2008-0166,0.5133333333333334,41750.0
C14-2008-0171,0.5794465063381586,70632.48198198198
C14-2008-0175,0.5133333333333333,41750.0
C14-2008-0184,0.5118977272727273,41750.0
C14-2008-0223,0.6060606060606061,54227.0
C14-2008-0247,0.6117327578455175,54227.0
C14-2009-0028,0.5936969260531587,41064.0
C14-2009-0031,0.5993506493506493,41064.0
C14-2009-0032,0.5794465063381586,70632.48198198198
C14-2009-0059,0.5794465063381586,70632.48198198198
C14-2009-0077,0.5993506493506493,41064.0
C14-2009-0099,0.5794465063381586,70632.48198198198
C14-2009-0102,0.5794465063381586,70632.48198198198
C14-2009-0106,0.5794465063381586,70632.48198198198
C14-2009-0168,0.5993506493506493,41064.0
C14-2010-0017,0.5794465063381586,70632.48198198198
C14-2010-0025,0.5794465063381586,70632.48198198198
C14-2010-0034,0.5794465063381586,70632.48198198198
C14-2010-0039,0.5794465063381586,70632.48198198198
C14-2010-0045,0.5794465063381586,70632.48198198198
C14-2010-0048,0.5794465063381586,70632.48198198198
C14-2010-0049,0.5794465063381586,70632.48198198198
C14-2010-0051,0.5794465063381586,70632.48198198198
C14-2010-0052,0.5794465063381586,70632.48198198198
C14-2010-0077,0.5607992758274265,40846.0
C14-2010-0079,0.5794465063381586,70632.48198198198
C14-2010-0084,0.5794465063381586,70632.48198198198
C14-2010-0101,0.5794465063381586,70632.48198198198
C14-2010-0113,0.5794465063381586,70632.48198198198
C14-2010-0122,0.5794465063381586,70632.48198198198
C14-2010-0143,0.5794465063381586,70632.48198198198
C14-2010-0191.SH,0.5794465063381586,70632.48198198198
C14-2010-0199,0.5794465063381586,70632.48198198198
C14-2010-0204,0.5794465063381586,70632.48198198198
C14-2010-0206,0.5846303501945525,59615.0
C14-2011-0032,0.5794465063381586,70632.48198198198
C14-2011-0054,0.7195666029318037,34657.0
C14-2011-0058,0.7600767754318618,60667.0
C14-2011-0133,0.5794465063381586,70632.48198198198
C14-2011-0134,0.5794465063381586,70632.48198198198
C14-2011-0141,0.5794465063381586,70632.48198198198
C14-2012-0020,0.5794465063381586,70632.48198198198
C14-2012-0052,0.6594930655188904,44375.0
C14-2012-0067,0.5794465063381586,70632.48198198198
C14-2012-0083,0.5794465063381586,70632.48198198198
C14-2012-0097,0.6594930655188904,44375.0
C14-2012-0100,0.6538706541720132,44375.0
C14-2012-0109,0.6257585974376264,56016.0
C14-2012-0116,0.5794465063381586,70632.48198198198
C14-2012-0130,0.5794465063381586,70632.48198198198
C14-2012-0140,0.5794465063381586,70632.48198198198
C14-2013-0022,0.5794465063381586,70632.48198198198
C14-2013-0031,0.5794465063381586,70632.48198198198
C14-2013-0034,0.5794465063381586,70632.48198198198
C14-2013-0040,0.5794465063381586,70632.48198198198
C14-2013-0053,0.5794465063381586,70632.48198198198
C14-2013-0060,0.5794465063381586,70632.48198198198
C14-2013-0087,0.5794465063381586,70632.48198198198
C14-2013-0095,0.5794465063381586,70632.48198198198
C14-2013-0096,0.5794465063381586,70632.48198198198
C14-2013-0097,0.5794465063381586,70632.48198198198
C14-2013-0098,0.5794465063381586,70632.48198198198
C14-2013-0104,0.5794465063381586,70632.48198198198
C14-2013-0107,0.5794465063381586,70632.48198198198
C14-2013-0126,0.5425987624940505,64740.0
C14-2013-0158,0.5794465063381586,70632.48198198198
C14-2014-0015,0.5794465063381586,70632.48198198198
C14-2014-0031.SH,0.5794465063381586,70632.48198198198
C14-2014-0036,0.5794465063381586,70632.48198198198
C14-2014-0047,0.5794465063381586,70632.48198198198
C14-2014-0070,0.7464403066812706,46193.0
C14-2014-0120,0.5794465063381586,70632.48198198198
C14-2014-0123,0.5794465063381586,70632.48198198198
C14-2014-0127,0.5794465063381586,70632.48198198198
C14-2014-0159,0.5794465063381586,70632.48198198198
C14-2014-0178,0.5794465063381586,70632.48198198198
C14-2014-0193,0.5794465063381586,70632.48198198198
C14-2014-0194,0.7464403066812706,46193.0
C14-2015-0001,0.7331303906646373,71354.0
C14-2015-0003,0.5794465063381586,70632.48198198198
C14-2015-0019,0.7281424582376907,71354.0
C14-2015-0025,0.5794465063381586,70632.48198198198
C14-2015-0043,0.6148500236183279,41705.0
C14-2015-0047,0.4474885844748858,34602.0
C14-2015-0050,0.5794465063381586,70632.48198198198
C14-2015-0074,0.5794465063381586,70632.48198198198
C14-2015-0086,0.5292894900483873,72126.0
C14-2015-0093,0.5759791002461504,38792.0
C14-2015-0094,0.5759791002461504,38792.0
C14-2015-0104,0.5794465063381586,70632.48198198198
C14-2015-0105,0.7434135166093929,51154.0
C14-2015-0106,0.7453896023372129,51154.0
C14-2015-0119,0.5794465063381586,70632.48198198198
C14-2015-0160,0.5794465063381586,70632.48198198198
C14-2016-0023.SH,0.7402015677491601,61458.0
C14-2016-0025,0.5794465063381586,70632.48198198198
C14-2016-0039,0.45838668373879643,33947.0
C14-2016-0063.SH,0.5794465063381586,70632.48198198198
C14-2016-0064,0.5794465063381586,70632.48198198198
C14-2016-0077,0.5510031791202481,43586.0
C14-2016-0079,0.5794465063381586,70632.48198198198
C14-2016-0096,0.5794465063381586,70632.48198198198
C14-2016-0125,0.5794465063381586,70632.48198198198
C14-2017-0052,0.5794465063381586,70632.48198198198
C14-2017-0074,0.5794465063381586,70632.48198198198
C14-2017-0092,0.6475409836065573,38711.0
C14-2017-0094,0.5794465063381586,70632.48198198198
C14-2017-0098,0.5794465063381586,70632.48198198198
C14-2017-0123,0.6850422033567525,38711.0
C14-2018-0002,0.626933575978162,40000.0
C14-2018-0077,0.626933575978162,40000.0
C14-2018-0093,0.5794465063381586,70632.48198198198
C14-2018-0096,0.5794465063381586,70632.48198198198
C14-2018-0100.SH,0.5794465063381586,70632.48198198198
C14-2018-0121,0.5794465063381586,70632.48198198198
C14-2018-0124,0.5794465063381586,70632.48198198198
C14-2018-0140,0.6721778791334094,59276.0
C14-2018-0141,0.6721778791334094,59276.0
C14-2018-0149,0.5794465063381586,70632.48198198198
C14-2018-0150,0.5794465063381586,70632.48198198198
C14-2019-0007,0.6407505153050412,121934.0
C14-2019-0011,0.5794465063381586,70632.48198198198
C14-2019-0026,0.5794465063381586,70632.48198198198
C14-2019-0027,0.5794465063381586,70632.48198198198
C14-2019-0049,0.5794465063381586,70632.48198198198
C14-2019-0053,0.8942945599292349,43899.0
C14-2019-0054,0.7676195147120928,43899.0
C14-2019-0078,0.45762210826607275,69654.0
C14-2019-0090,0.5785509934508265,45183.0
C14-2019-0098,0.5794465063381586,70632.48198198198
C14-2019-0103,0.6287566293459046,45183.0
C14-2019-0164,0.5794465063381586,70632.48198198198
C14-2020-0022,0.5320813582589003,63750.0
C14-2020-0023,0.45109321058688145,63750.0
C14-2020-0029,0.5874696239095933,62667.0
C14-2020-0030,0.5749457205639503,47902.0
C14-2020-0031.SH,0.7136441567635998,47902.0
C14-2020-0038,0.47940130567398664,63750.0
C14-2020-0039,0.5794465063381586,70632.48198198198
C14-2020-0044,0.6900276155346396,47902.0
C14-2020-0048,0.5664697193500738,47902.0
C14-2020-0067,0.5664697193500738,47902.0
C14-2020-0075,0.5794465063381586,70632.48198198198
C14-2020-0081,0.5014342538473783,92149.0
C14-2020-0089,0.5617764760999159,76009.0
C14-2020-0102,0.45109321058688145,63750.0
C14-2020-0112,0.5794465063381586,70632.48198198198
C14-2020-0121,0.40281377424751574,63750.0
C14-2020-0143,0.5794465063381586,70632.48198198198
C14-2020-0146,0.5794465063381586,70632.48198198198
C14-2020-0147,0.5794465063381586,70632.48198198198
C14-2020-0151,0.44549266136455723,72959.0
C14-2021-0007,0.5256372692645767,75752.0
C14-2021-0008.SH,0.5794465063381586,70632.48198198198
C14-2021-0009,0.5794465063381586,70632.48198198198
C14-2021-0015,0.5794465063381586,70632.48198198198
C14-2021-0017,0.5700333220912068,75752.0
C14-2021-0023.SH,0.5794465063381586,70632.48198198198
C14-2021-0033,0.5794465063381586,70632.48198198198
C14-2021-0037,0.5794465063381586,70632.48198198198
C14-2021-0039,0.5906504006819331,74094.0
C14-2021-0050,0.5794465063381586,70632.48198198198
C14-2021-0055,0.5794465063381586,70632.48198198198
C14-2021-0056,0.8334580838323353,49755.0
C14-2021-0081,0.6522791832134873,59971.0
C14-2021-0082,0.5610508094369153,75752.0
C14-2021-0100,0.6800179010964422,123232.0
C14-2021-0117,0.6384796303283975,123232.0
C14-2021-0119,0.5448168854686176,86759.0
C14-2021-0123,0.5794465063381586,70632.48198198198
C14-2021-0125,0.5794465063381586,70632.48198198198
C14-2021-0127,0.3094096145325653,86759.0
C14-2021-0128,0.5794465063381586,70632.48198198198
C14-2021-0130,0.5794465063381586,70632.48198198198
C14-2021-0136,0.37702702702702706,86759.0
C14-2021-0137,0.345327229855972,71831.0
C14-2021-0139,0.5794465063381586,70632.48198198198
C14-2021-0141,0.316557338456376,66278.5
C14-2021-0150,0.13215547703180208,61481.0
C14-2021-0161,0.30657763397207827,93459.0
C14-2021-0183,0.6617685927662877,52537.0
C14-2021-0193,0.5794465063381586,70632.48198198198
C14-2022-0004,0.5794465063381586,70632.48198198198
C14-2022-0008.SH,0.5794465063381586,70632.48198198198
C14-2022-0010,0.572979688483039,69375.0
C14-2022-0018.SH,0.31677012276198435,194500.0
C14-2022-0033,0.8260338491563274,50078.0
C14-2022-0047,0.6609179513820319,113208.5
C14-2022-0056,0.6300438596491228,146000.0
C14-2022-0067,0.5760429116110373,67530.5
C14-2022-0076,0.5443037974683544,68115.0
C14-2022-0077,0.5794465063381586,70632.48198198198
C14-2022-0084,0.5665707566975142,115375.0
C14-2022-0095,0.5794465063381586,70632.48198198198
C14-2022-0114,0.5794465063381586,70632.48198198198
C14-2022-0133,0.604053292832492,146000.0
C14-2022-0150,0.5672764570173349,81647.0
C14-2023-0004,0.6305543644151808,82675.0
C14-2023-0006,0.575907238781006,82675.0
C14-2023-0007.SH,0.5045390063616169,67721.0
C14-2023-0014,0.707478296546691,58735.0
C14-2023-0032,0.5794465063381586,70632.48198198198
C14-2023-0034,0.5794465063381586,70632.48198198198
C14-2023-0035,0.5461896014115385,67721.0
C14-2023-0077,0.5932988280593519,67721.0
C14-2023-0083,0.24864864864864866,127072.0
C14-2023-0114,0.24864864864864866,127072.0
C14-2023-0119,0.5794465063381586,70632.48198198198
C14-2023-0126,0.649749721970122,97863.0
C14-2023-0141.SH,0.43411129382627855,108077.0
C14-2023-0153,0.5794465063381586,70632.48198198198
C14-2023-0154,0.3857840477482366,104850.0
C14-2024-0019.SH,0.38492887789623764,142905.0
C14-2024-0051,0.33169363555670095,243365.0
C14-2024-0059,0.5794465063381586,70632.48198198198
C14-2024-0070,0.5794465063381586,70632.48198198198
C14-2024-0071,0.5794465063381586,70632.48198198198
C14-2024-0080,0.38632564955095505,243365.0
C14-2024-0104,0.5794465063381586,70632.48198198198
C14-2024-0109,0.5837006341298187,142905.0
C14-2024-0122,0.3843446941606451,116518.0
C14-96-0003,0.5794465063381586,70632.48198198198
C14-99-0069,0.5794465063381586,70632.48198198198
C14H-2010-0006,0.7236810211005928,48357.0
C14H-2010-0019,0.7048354949463268,32406.0
C14H-2014-0014,0.7131861504770796,68271.0
C14H-2015-0006,0.5794465063381586,70632.48198198198
C14H-2018-0013,0.7797455724619606,81709.0
C14H-2018-0084,0.7797455724619606,81709.0
C14H-2019-0077,0.5794465063381586,70632.48198198198
C14H-2021-0164,0.46220677671589927,80734.0
