CASE_NUMBER,council_regime_2022,post_home_policy
C14-97-0107,0,0
,0,0
C14-2024-0059,1,1
C14H-01-0006,0,0
C14-95-0054,0,0
C14-97-0106,0,0
C17-06-0023,0,0
C14H-03-0003,0,0
C14-2013-0059,0,0
C14-00-2263,1,1
C14-94-0024,0,0
C14-98-0213,0,0
NPA-2025-0018.02,1,1
C14-91-0052,0,0
C14-88-0003,0,0
C14-90-0080,0,0
C14-88-0148,0,0
C14H-04-0023,0,0
C14-97-0079,0,0
NPA-2023-0015.03,1,0
C14-88-0015,0,0
C14-98-0053,0,0
C14-91-0064,0,0
C14-98-0094,0,0
C14-04-0191,0,0
C814-96-0002,0,0
C14-92-0084,0,0
C14-93-0036,0,0
C14H-06-0028,0,0
C14-90-0027,0,0
C14-88-0084,0,0
C14-99-0113,0,0
C14-99-0040,0,0
C14-90-0084,0,0
C14-92-0077,0,0
C14-00-2121,1,1
C14-92-0048,0,0
C17-06-0021,0,0
C14-03-0095,0,0
C14-2025-0020,1,1
NPA-2021-0018.01,0,0
NPA-2021-0016.04,0,0
C14-2025-0104,1,1
,0,0
C14-02-0039,0,0
C14-88-0125,0,0
NPA-2024-0019.02,1,1
C14-06-0074,0,0
C14-89-0001,0,0
C14-2020-0074,0,0
C14-2022-0014,0,0
C14-92-0044,0,0
C14-92-0030,0,0
C14-87-141,0,0
,0,0
C14-98-0065,0,0
C14-95-0120,0,0
,0,0
C17-2012-0005,0,0
C14-2024-0147,1,1
C14-02-0086,0,0
NPA-2021-0005.01,0,0
C14-03-0182,0,0
C14H-2009-0043,0,0
C14-2018-0047.SH,0,0
C14-82-121(RCA),0,0
C14-89-0012,0,0
C14-2019-0130,0,0
C14-96-0140,0,0
C14-03-0126,0,0
C14-99-0124,0,0
C14-96-0063,0,0
C14-2024-0176,1,1
C14-2023-0047,1,0
,0,0
C14-86-103,0,0
C14H-2021-0144,0,0
C14H-2007-0025,0,0
C14-05-0022,0,0
C14-93-0015,0,0
C14-98-0211,0,0
C14-96-0004,0,0
C14-98-0095,0,0
C14-99-0026,0,0
C14-97-0050,0,0
C14-98-0040,0,0
C14-91-0040,0,0
C14-88-0053,0,0
,0,0
,0,0
C14-2020-0094,0,0
C14-98-0246,0,0
C14-91-0028,0,0
C14-2013-0079,0,0
,0,0
C14-98-0056,0,0
C14-83-330,0,0
C14-04-0159,0,0
C14-06-0075,0,0
