CASE_NUMBER,gross_site_area_acres,council_district,acreage,frontage,corner_lot_flag
C14-2024-0059,0.0,10.0,0.0,0.0,0
C14-2008-0151,0.0,10.0,0.0,0.0,1
C14-96-0003,0.0,0.0,0.0,0.0,0
C14-2023-0154,0.0,6.0,0.0,0.0,0
C14-2022-0067,0.0,2.0,0.0,0.0,1
C14-2019-0103,0.0,1.0,0.0,0.0,1
C14-2019-0103,0.0,1.0,0.0,0.0,1
C14-2019-0103,0.0,1.0,0.0,0.0,1
C14-2019-0054,0.0,5.0,0.0,0.0,0
C14-2019-0054,0.0,5.0,0.0,0.0,0
C14-2019-0054,0.0,5.0,0.0,0.0,1
C14-2021-0017,0.0,1.0,0.0,0.0,0
C14-2010-0101,0.418,9.0,0.418,20.9,0
C14-2010-0101,0.418,9.0,0.418,20.9,1
C14-2010-0101,0.418,9.0,0.418,20.9,0
C14-2010-0101,0.418,9.0,0.418,20.9,0
C14-2010-0101,0.418,9.0,0.418,20.9,1
C14-2020-0089,0.0,1.0,0.0,0.0,0
C14-2008-0156,0.0,0.0,0.0,0.0,1
C14-2021-0033,0.0,0.0,0.0,0.0,1
C14-2008-0247,0.1489,3.0,0.1489,7.445,0
C14-2020-0044,0.0,3.0,0.0,0.0,1
C14-2020-0146,0.0,6.0,0.0,0.0,0
C14-2019-0053,0.0,7.0,0.0,0.0,0
C14-2019-0053,0.0,7.0,0.0,0.0,1
C14-2019-0053,0.0,7.0,0.0,0.0,0
C14-2019-0053,0.0,7.0,0.0,0.0,1
C14-2019-0053,0.0,7.0,0.0,0.0,1
C14-2013-0034,0.3277,0.0,0.3277,16.384999999999998,1
C14-2014-0178,4.283,10.0,4.283,214.15,0
C14-2014-0178,4.283,10.0,4.283,214.15,1
C14-2014-0178,4.283,10.0,4.283,214.15,0
C14-2021-0136,0.0,5.0,0.0,0.0,1
C14-2022-0077,0.0,2.0,0.0,0.0,0
C14-2009-0031,0.48,3.0,0.48,24.0,1
C14-2014-0194,0.0,3.0,0.0,0.0,1
C14-2021-0119,0.0,2.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,0
