CASE_NUMBER,council_member,vote
C14-2007-0131,Mayor,NO
C14-2007-0131,CM_1,YES
C14-2007-0131,CM_2,YES
C14-2007-0131,CM_3,YES
C14-2007-0131,CM_4,YES
C14-2007-0131,CM_5,YES
C14-2007-0131,CM_6,YES
C14-2007-0131,CM_7,YES
C14-2007-0131,CM_8,YES
C14-2007-0131,CM_9,NO
C14-2007-0131,CM_10,NO
C14-2007-0144,Mayor,NO
C14-2007-0144,CM_1,YES
C14-2007-0144,CM_2,NO
C14-2007-0144,CM_3,YES
C14-2007-0144,CM_4,YES
C14-2007-0144,CM_5,YES
C14-2007-0144,CM_6,YES
C14-2007-0144,CM_7,YES
C14-2007-0144,CM_8,YES
C14-2007-0144,CM_9,NO
C14-2007-0144,CM_10,YES
C14-2007-0259,Mayor,YES
C14-2007-0259,CM_1,YES
C14-2007-0259,CM_2,YES
C14-2007-0259,CM_3,YES
C14-2007-0259,CM_4,YES
C14-2007-0259,CM_5,YES
C14-2007-0259,CM_6,YES
C14-2007-0259,CM_7,YES
C14-2007-0259,CM_8,YES
C14-2007-0259,CM_9,NO
C14-2007-0259,CM_10,NO
C14-2008-0025,Mayor,YES
C14-2008-0025,CM_1,NO
C14-2008-0025,CM_2,YES
C14-2008-0025,CM_3,YES
C14-2008-0025,CM_4,YES
C14-2008-0025,CM_5,YES
C14-2008-0025,CM_6,YES
C14-2008-0025,CM_7,YES
C14-2008-0025,CM_8,YES
C14-2008-0025,CM_9,NO
C14-2008-0025,CM_10,YES
C14-2008-0031,Mayor,YES
C14-2008-0031,CM_1,YES
C14-2008-0031,CM_2,NO
C14-2008-0031,CM_3,YES
C14-2008-0031,CM_4,YES
C14-2008-0031,CM_5,YES
C14-2008-0031,CM_6,YES
C14-2008-0031,CM_7,YES
C14-2008-0031,CM_8,YES
C14-2008-0031,CM_9,YES
C14-2008-0031,CM_10,YES
C14-2008-0052,Mayor,YES
C14-2008-0052,CM_1,YES
C14-2008-0052,CM_2,YES
C14-2008-0052,CM_3,YES
C14-2008-0052,CM_4,YES
C14-2008-0052,CM_5,YES
C14-2008-0052,CM_6,YES
C14-2008-0052,CM_7,YES
C14-2008-0052,CM_8,NO
C14-2008-0052,CM_9,YES
C14-2008-0052,CM_10,YES
C14-2008-0057.SH,Mayor,YES
C14-2008-0057.SH,CM_1,YES
C14-2008-0057.SH,CM_2,YES
C14-2008-0057.SH,CM_3,YES
C14-2008-0057.SH,CM_4,YES
C14-2008-0057.SH,CM_5,YES
C14-2008-0057.SH,CM_6,YES
C14-2008-0057.SH,CM_7,YES
C14-2008-0057.SH,CM_8,YES
