Base_Feature,Temporal_Offset,Importance
gross_site_area_acres,Base / Current,0.10196036735965319
council_district_x,Base / Current,0.07681100355193073
delta_max_bldg_cov_pct,Base / Current,0.011751301406728367
latitude,Base / Current,0.03566716169491629
year_built,Base / Current,0.0
land_acres,Base / Current,0.00014908184814060627
land_market_value,Base / Current,0.0
improvement_market_value,Base / Current,5.344536461720897e-07
appraised_value,Base / Current,0.0
lui_shape_area,Base / Current,0.0
acs_race_white,Base / Current,0.0
lui_land_use_tv,Base / Current,0.0
median_appraised_value,Base / Current,0.10408495882453607
mean_appraised_value,Base / Current,0.08554066877230938
std_appraised_value,Base / Current,0.100525260858072
median_structure_age,Base / Current,0.061327327918226725
median_neighbor_acreage,Base / Current,0.2368909410871093
median_neighbor_far,Base / Current,0.15020789912695087
owner_occupancy_share,Base / Current,0.25306229905654043
median_household_income,Base / Current,0.4268401915015569
renter_share,Base / Current,0.16033006689004545
appraised_value,Base / Current,0.01847901227661701
land_market_value,Base / Current,0.026789915464748227
improvement_market_value,Base / Current,0.0
year_built,Base / Current,0.040953345158869045
land_acres,Base / Current,0.030622384561366265
age,Base / Current,0.03252298031381318
race_hispanic,Base / Current,0.04454213925837472
poverty_count,Base / Current,0.02928000143364817
appraised_value,Base / Current,0.008626676430432637
land_market_value,Base / Current,0.03311408286487424
improvement_market_value,Base / Current,0.027604544711874356
year_built,Base / Current,0.014584867783323185
land_acres,Base / Current,0.057471154571441925
gross_site_area_acres,Lag 1 Yr,0.004094712986004804
delta_max_bldg_cov_pct,Lag 1 Yr,0.015082657669732736
latitude,Lag 1 Yr,0.0
year_built,Lag 1 Yr,0.0001896843408397712
land_acres,Lag 1 Yr,0.004029877154858252
land_market_value,Lag 1 Yr,0.0
improvement_market_value,Lag 1 Yr,0.0030007161870740616
appraised_value,Lag 1 Yr,0.023928579108555073
lui_shape_area,Lag 1 Yr,0.004278867934567941
acs_race_white,Lag 1 Yr,0.009965513537928091
lui_land_use_tv,Lag 1 Yr,0.0
spatial_contagion_1yr,Lag 1 Yr,0.05779840125020773
