case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-01-0038,,,,0.0,,,,,,,1,1,1,1
C14-2007-0131,2007.0,2007-07-30,,0.746,1.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0
C14-2007-0144,2007.0,2007-08-10,,1.265,9.0,1.0,340.0,7.0,40.0,-5750.0,0,0,0,0
C14-2007-0259,2007.0,2007-12-17,,38.84,,1.0,,,,,1,1,1,1
C14-2008-0016,2008.0,,,0.0,,,,,,,1,1,1,1
C14-2008-0025,2008.0,2008-01-28,,0.615,5.0,1.0,25.0,0.65,20.0,0.0,0,0,0,0
C14-2008-0031,2008.0,2008-02-01,,108.0,,1.0,,,,,1,1,1,1
C14-2008-0052,2008.0,2008-02-25,,0.517,5.0,1.0,25.0,1.65,55.0,0.0,0,0,0,0
C14-2008-0057.SH,2008.0,2008-02-27,,0.0,4.0,,5.0,0.35,15.0,2250.0,0,0,0,0
C14-2008-0060,2008.0,2008-02-29,,124.83,,1.0,,,,,1,1,1,1
C14-2008-0066,2008.0,2008-03-04,,5.99,8.0,1.0,0.0,0.25,25.0,-37810.0,0,0,0,0
C14-2008-0088,2008.0,2008-04-11,,0.0,,1.0,,,,,1,1,1,1
C14-2008-0099,2008.0,2008-05-05,,1.0,1.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2008-0112,2008.0,2008-05-12,,0.19,5.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2008-0113,2008.0,2008-05-14,,0.1147,3.0,1.0,0.0,1.0,35.0,0.0,0,0,0,0
C14-2008-0115,2008.0,2008-05-16,,2.15,8.0,1.0,5.0,0.15,10.0,0.0,0,0,0,0
C14-2008-0131,2008.0,2008-06-06,,7.4,7.0,1.0,20.0,0.5,10.0,0.0,0,0,0,0
C14-2008-0151,2008.0,2008-07-15,,0.0,10.0,1.0,25.0,0.65,35.0,0.0,0,0,0,0
C14-2008-0154,2008.0,2008-07-16,,1.44,1.0,1.0,30.0,2.0,5.0,2250.0,0,0,0,0
C14-2008-0156,2008.0,2008-07-21,,0.0,,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2008-0162,2008.0,2008-07-28,,0.957,9.0,1.0,5.0,0.35,15.0,2250.0,0,0,0,0
C14-2008-0166,2008.0,2008-07-30,,0.746,1.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2008-0171,2008.0,2008-07-31,,0.2,9.0,1.0,5.0,0.2999999999999999,10.0,0.0,0,0,0,0
C14-2008-0175,2008.0,2008-08-01,,0.1955,4.0,1.0,-25.0,-0.6,-35.0,0.0,0,0,0,0
C14-2008-0184,2008.0,2008-08-04,,0.3059,10.0,1.0,5.0,0.0999999999999999,5.0,2250.0,0,0,0,0
C14-2008-0223,2008.0,2008-10-24,,0.08,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2008-0247,2008.0,2008-12-15,,0.1489,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2009-0028,2009.0,2009-02-27,,0.165,3.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0
C14-2009-0031,2009.0,2009-03-03,,0.48,3.0,1.0,0.0,0.05,0.0,0.0,0,0,0,0
C14-2009-0032,2009.0,2009-03-04,,2.0117,9.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0
C14-2009-0059,2009.0,2009-06-02,,0.22,3.0,1.0,25.0,0.6,20.0,0.0,0,0,0,0
C14-2009-0077,2009.0,2009-07-16,,0.48,10.0,1.0,-20.0,-1.25,-40.0,2250.0,0,0,0,0
C14-2009-0099,2009.0,,,0.0,,,,,,,1,1,1,1
C14-2009-0102,2009.0,2009-09-01,2012-02-08 11:42:55,0.0,,1.0,,,,,1,1,1,1
C14-2009-0106,2009.0,2009-09-03,2012-02-08 11:47:16,23.98,,,,,,,1,1,1,1
