case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing,staff_recommendation_cat,agenda_text_raw
C14-01-0038,,,,0.0,,,,,,,1,1,1,1,Missing,
C14-2007-0131,2007.0,2007-07-30,,0.746,1.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0,Approval,
C14-2007-0144,2007.0,2007-08-10,,1.265,9.0,1.0,340.0,7.0,40.0,-5750.0,0,0,0,0,Approval,
C14-2007-0259,2007.0,2007-12-17,,38.84,,1.0,,,,,1,1,1,1,Approval,
C14-2008-0016,2008.0,,,0.0,,,,,,,1,1,1,1,Missing,
C14-2008-0025,2008.0,2008-01-28,,0.615,5.0,1.0,25.0,0.65,20.0,0.0,0,0,0,0,Approval,
C14-2008-0031,2008.0,2008-02-01,,108.0,,1.0,,,,,1,1,1,1,Approval,
C14-2008-0052,2008.0,2008-02-25,,0.517,5.0,1.0,25.0,1.65,55.0,0.0,0,0,0,0,Approval,
C14-2008-0057.SH,2008.0,2008-02-27,,0.0,4.0,,5.0,0.35,15.0,2250.0,0,0,0,0,Approval,
C14-2008-0060,2008.0,2008-02-29,,124.83,,1.0,,,,,1,1,1,1,Approval,
C14-2008-0066,2008.0,2008-03-04,,5.99,8.0,1.0,0.0,0.25,25.0,-37810.0,0,0,0,0,Approval,
C14-2008-0088,2008.0,2008-04-11,,0.0,,1.0,,,,,1,1,1,1,Approval,
C14-2008-0099,2008.0,2008-05-05,,1.0,1.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0,Approval,
C14-2008-0112,2008.0,2008-05-12,,0.19,5.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0,Approval,
C14-2008-0113,2008.0,2008-05-14,,0.1147,3.0,1.0,0.0,1.0,35.0,0.0,0,0,0,0,Approval,
C14-2008-0115,2008.0,2008-05-16,,2.15,8.0,1.0,5.0,0.15,10.0,0.0,0,0,0,0,Approval,
C14-2008-0131,2008.0,2008-06-06,,7.4,7.0,1.0,20.0,0.5,10.0,0.0,0,0,0,0,Approval,
C14-2008-0151,2008.0,2008-07-15,,0.0,10.0,1.0,25.0,0.65,35.0,0.0,0,0,0,0,Approval,
C14-2008-0154,2008.0,2008-07-16,,1.44,1.0,1.0,30.0,2.0,5.0,2250.0,0,0,0,0,Approval,
C14-2008-0156,2008.0,2008-07-21,,0.0,,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Approval,
C14-2008-0162,2008.0,2008-07-28,,0.957,9.0,1.0,5.0,0.35,15.0,2250.0,0,0,0,0,Approval,
C14-2008-0166,2008.0,2008-07-30,,0.746,1.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0,Approval,
C14-2008-0171,2008.0,2008-07-31,,0.2,9.0,1.0,5.0,0.2999999999999999,10.0,0.0,0,0,0,0,Approval,
C14-2008-0175,2008.0,2008-08-01,,0.1955,4.0,1.0,-25.0,-0.6,-35.0,0.0,0,0,0,0,Approval,
C14-2008-0184,2008.0,2008-08-04,,0.3059,10.0,1.0,5.0,0.0999999999999999,5.0,2250.0,0,0,0,0,Approval,
C14-2008-0223,2008.0,2008-10-24,,0.08,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Approval,
C14-2008-0247,2008.0,2008-12-15,,0.1489,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Approval,
C14-2009-0028,2009.0,2009-02-27,,0.165,3.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0,Approval,
C14-2009-0031,2009.0,2009-03-03,,0.48,3.0,1.0,0.0,0.05,0.0,0.0,0,0,0,0,Approval,"C14-2009-0031 - The Moore Redbird Project - Conduct a public hearing and approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 313 Red Bird Lane (Williamson Creek Watershed) from single-family residence-standard lot-neighborhood plan (SF-2-NP) combining district zoning to family residence-conditional overlay-neighborhood plan (SF-3-CO-NP) with conditions. First reading approved on July 23, 2009. Vote: 4-3 (Mayor Leffingwell, Morrison and Riley voted Nay). Second reading approved on November 5, 2009. Vote: 4-3 (Mayor Leffingwell, Morrision and Riley voted nay). Applicant: Leslie M. Moore. Agent: Thrower Design (Ron Thrower). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request."
C14-2009-0032,2009.0,2009-03-04,,2.0117,9.0,1.0,25.0,1.6,55.0,0.0,0,0,0,0,Approval,
C14-2009-0059,2009.0,2009-06-02,,0.22,3.0,1.0,25.0,0.6,20.0,0.0,0,0,0,0,Approval,"C14-2009-0059 - Texas Association of Nurse Anesthetists - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 888 Banister Lane (West Bouldin Creek Watershed) from family residence (SF-3) district zoning to limited office-mixed use-conditional overlay (LO-MU-CO) combining district zoning. First reading approved on September 24, 2009. Vote 4-3 (Riley, Spelman, Morrison voted Nay). Texas Association of Nurse Anesthetists (Janet H. Morrow). Agent: Jackson Walker, LLP (Katherine Loayza). City Staff: Stephen Rye, 974-7604."
C14-2009-0077,2009.0,2009-07-16,,0.48,10.0,1.0,-20.0,-1.25,-40.0,2250.0,0,0,0,0,Approval,"C14-2009-0077 Balcones Place Condos - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 5011 Balcones Drive (Taylor Slough North Watershed) from general commercial services (CS) district zoning to multi-family residence-medium density-conditional overlay (MF-3-CO) combining district zoning. First reading approved on November 19, 2009. Vote: 7-0. Applicant: Oakmont House LTD. (James David). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Clark Patterson, 974-7691. A valid petition has been filed in opposition to this rezoning request."
C14-2009-0099,2009.0,,,0.0,,,,,,,1,1,1,1,Missing,
C14-2009-0102,2009.0,2009-09-01,2012-02-08 11:42:55,0.0,,1.0,,,,,1,1,1,1,Disapproval,"C14-2009-0102(PART) - Upper Boggy Creek Neighborhood Planning Area Vertical Mixed Use Building (V) Zoning Opt-in/Opt-Out Process, Tract 3 - Approve second reading of an ordinance amending Chapter 25-2 of the Austin City Code by applying Vertical Mixed Use Building (V) zoning regulations to Tract 3, locally known as 4020 Airport Boulevard within the Upper Boggy Creek Neighborhood Planning Area, bounded by IH 35, 26th Street and Comal Street to the west, Airport Boulevard to the north and east, and Martin Luther King, Jr. Boulevard, Cedar Boulevard, Rogers Boulevard, Walnut Boulevard and Manor Road to the south (Boggy Creek, Waller Creek Watersheds). Regulations governing Vertical Mixed Use Building dimensional standards; allowable uses for a Vertical Mixed Use Building in office base district zoning; relaxed parking standards for commercial uses in a Vertical Mixed Use Building; and affordability requirements for Vertical Mixed Use Building developments will be considered for adoption. The Austin City Council may consider adopting all or some of these regulations, or amending the Vertical Mixed Use (VMU) overlay district to exclude Tract 3 from the overlay district. First reading approved on March 11, 2010. Vote: 5-1, Martinez-Nay, Shade-Abstained. Applicant and Agent: Planning and Development Review Department. City Staff: Jacob Browning, 974-7657. A valid petition has been filed in opposition to this rezoning request."
