CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Source,Item_URL,vote_yes,vote_no,reading_stage,nay_members,absent_members,vote_tally
NPA-2018-0023.01,2018-12-13T00:00:00.000,61,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181213-REG.htm#061,11,0,1st,,,11-0
NPA-2018-0023.01,2018-11-29T00:00:00.000,51,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181129-REG.htm#051,11,0,1st,,,11-0
NPA-2019-0015.01,2020-12-10T00:00:00.000,96,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201210-REG.htm#096,9,2,1st,"Alter, Pool",,9-2
NPA-2019-0016.01,2020-10-01T00:00:00.000,65,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201001-REG.htm#065,11,0,1st,,Casar,11-0
NPA-2019-0016.01,2020-10-01T00:00:00.000,65,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201001-REG.htm#065,10,0,2nd,,Casar,10-0
NPA-2019-0016.01,2020-09-17T00:00:00.000,80,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#080,11,0,1st,,,11-0
NPA-2019-0016.01,2020-08-27T00:00:00.000,102,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#102,11,0,1st,,,11-0
NPA-2019-0015.02,2020-10-15T00:00:00.000,59,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#059,11,0,1st,,Casar,11-0
NPA-2019-0015.02,2020-10-15T00:00:00.000,59,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#059,10,0,2nd,,Casar,10-0
NPA-2019-0015.02,2020-09-17T00:00:00.000,84,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#084,11,0,1st,,,11-0
NPA-2019-0015.02,2020-08-27T00:00:00.000,117,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#117,11,0,1st,,,11-0
NPA-2019-0015.02,2020-07-30T00:00:00.000,31,Austin City Council,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200730-REG.htm#031,11,0,1st,,,11-0
