CASE_NUMBER,Meeting_Date,agenda_text_raw,valid_petition,commission_disagree,agent,watershed,is_npa,acreage,orig_zoning,target_zoning
C14-2018-0002,2018-06-14T00:00:00.000,"C14-2018-0002 - Delwau Campgrounds - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7715 Delwau Lane (Colorado River Watershed). Applicant's Request: To rezone from single family residence-standard lot (SF-2) district zoning to general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning, with conditions. Owner/Applicant: Delwau LLC (Adam Zimmerman). Agent: South Llano Strategies (Glen Coleman). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,1.0,South Llano Strategies (Glen Coleman),Colorado River Watershed,0.0,,SF-2,CS-MU-CO
C14-2018-0002,2018-06-14T00:00:00.000,"C14-2018-0002 - Delwau Campgrounds - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7715 Delwau Lane (Colorado River Watershed). Applicant's Request: To rezone from single family residence-standard lot (SF-2) district zoning to general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning, with conditions. Owner/Applicant: Delwau LLC (Adam Zimmerman). Agent: South Llano Strategies (Glen Coleman). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,1.0,South Llano Strategies (Glen Coleman),Colorado River Watershed,0.0,,SF-2,CS-MU-CO
C14-2018-0002,2018-06-14T00:00:00.000,"C14-2018-0002 - Delwau Campgrounds - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7715 Delwau Lane (Colorado River Watershed). Applicant's Request: To rezone from single family residence-standard lot (SF-2) district zoning to general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant general commercial services-mixed use-conditional overlay (CS-MU-CO) combining district zoning and commercial liquor sales-mixed use-conditional overlay (CS-1-MU-CO) combining district zoning, with conditions. Owner/Applicant: Delwau LLC (Adam Zimmerman). Agent: South Llano Strategies (Glen Coleman). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,1.0,South Llano Strategies (Glen Coleman),Colorado River Watershed,0.0,,SF-2,CS-MU-CO
C14-2016-0121,2018-03-01T00:00:00.000,"C14-2016-0121 - 7700 Parmer Lane - District 6 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Applicant Request: To rezone from limited industrial-planned development area (LI-PDA) combining district zoning to limited industrial-planned development area (LI-PDA) combining district zoning, to change a condition of zoning. Staff Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Zoning and Platting Commission Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Owner/Applicant: BRI 1869 Parmer, LLC. Agent: Drenner Group (Amanda Swor). City Staff: Sherri Sirwaitis, 512-974-3057. District(s) Affected: District 6.",0.0,1.0,Drenner Group (Amanda Swor),Lake Creek Watershed,0.0,,,LI-PDA
C14-2016-0121,2018-03-01T00:00:00.000,"C14-2016-0121 - 7700 Parmer Lane - District 6 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Applicant Request: To rezone from limited industrial-planned development area (LI-PDA) combining district zoning to limited industrial-planned development area (LI-PDA) combining district zoning, to change a condition of zoning. Staff Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Zoning and Platting Commission Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Owner/Applicant: BRI 1869 Parmer, LLC. Agent: Drenner Group (Amanda Swor). City Staff: Sherri Sirwaitis, 512-974-3057. District(s) Affected: District 6.",0.0,1.0,Drenner Group (Amanda Swor),Lake Creek Watershed,0.0,,,LI-PDA
C14-2016-0121,2018-03-01T00:00:00.000,"C14-2016-0121 - 7700 Parmer Lane - District 6 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Applicant Request: To rezone from limited industrial-planned development area (LI-PDA) combining district zoning to limited industrial-planned development area (LI-PDA) combining district zoning, to change a condition of zoning. Staff Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Zoning and Platting Commission Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Owner/Applicant: BRI 1869 Parmer, LLC. Agent: Drenner Group (Amanda Swor). City Staff: Sherri Sirwaitis, 512-974-3057. District(s) Affected: District 6.",0.0,1.0,Drenner Group (Amanda Swor),Lake Creek Watershed,0.0,,,LI-PDA
C14-2016-0121,2018-03-01T00:00:00.000,"C14-2016-0121 - 7700 Parmer Lane - District 6 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Applicant Request: To rezone from limited industrial-planned development area (LI-PDA) combining district zoning to limited industrial-planned development area (LI-PDA) combining district zoning, to change a condition of zoning. Staff Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Zoning and Platting Commission Recommendation: To grant limited industrial-planned development area (LI-PDA) combining district zoning. Owner/Applicant: BRI 1869 Parmer, LLC. Agent: Drenner Group (Amanda Swor). City Staff: Sherri Sirwaitis, 512-974-3057. District(s) Affected: District 6.",0.0,1.0,Drenner Group (Amanda Swor),Lake Creek Watershed,0.0,,,LI-PDA
C14-2013-0092,2013-12-12T00:00:00.000,"C14-2013-0092 - Eastside Lumber Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2915 and 3013 East Cesar Chavez Street (Lady Bird Lake Watershed) from family residence-neighborhood plan (SF-3-NP) combining district zoning to general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and from general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district zoning to family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Planning Commission Recommendation:  To be reviewed on December 10, 2013. Owner: RAM Ventures LLC (Randall A. Meek). Applicant: Land Answers, Inc. (Jim Wittliff). City Staff: Heather Chaffin, 512-974-2122.",0.0,1.0,,Lady Bird Lake Watershed,0.0,,,SF-3-NP
C14-2013-0092,2013-12-12T00:00:00.000,"C14-2013-0092 - Eastside Lumber Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2915 and 3013 East Cesar Chavez Street (Lady Bird Lake Watershed) from family residence-neighborhood plan (SF-3-NP) combining district zoning to general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and from general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district zoning to family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Planning Commission Recommendation:  To be reviewed on December 10, 2013. Owner: RAM Ventures LLC (Randall A. Meek). Applicant: Land Answers, Inc. (Jim Wittliff). City Staff: Heather Chaffin, 512-974-2122.",0.0,1.0,,Lady Bird Lake Watershed,0.0,,,SF-3-NP
C14-2013-0092,2013-12-12T00:00:00.000,"C14-2013-0092 - Eastside Lumber Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2915 and 3013 East Cesar Chavez Street (Lady Bird Lake Watershed) from family residence-neighborhood plan (SF-3-NP) combining district zoning to general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and from general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district zoning to family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Staff Recommendation: To grant general commercial services-mixed use-conditional overlay-neighborhood plan (CS-MU-CO-NP) combining district for Tract One, and family residence-neighborhood plan (SF-3-NP) combining district zoning for Tract Two. Planning Commission Recommendation:  To be reviewed on December 10, 2013. Owner: RAM Ventures LLC (Randall A. Meek). Applicant: Land Answers, Inc. (Jim Wittliff). City Staff: Heather Chaffin, 512-974-2122.",0.0,1.0,,Lady Bird Lake Watershed,0.0,,,SF-3-NP
C14-2017-0139,2018-03-22T00:00:00.000,"C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Watershed) from warehouse limited office-conditional overlay (W/LO-CO) combining district zoning, rural residence (RR) district zoning, neighborhood office-conditional overlay (NO-CO) combining district zoning, and single family residence large lot-conditional overlay (SF-1-CO) combining district zoning to warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Staff recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning on Tract 1 and to grant multifamily limited density-conditional overlay (MF-1-CO) combining district zoning on Tract 2. Owner/Applicant: Fergi AV Land, LLC. (Colin Armstrong). Agent: Armbrust & Brown, PLLC (Amanda Morrow). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,0.0,"Armbrust & Brown, PLLC (Amanda Morrow)",Walnut Creek Watershed,0.0,,RR,MF-1-CO
C14-2017-0139,2018-03-22T00:00:00.000,"C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Watershed) from warehouse limited office-conditional overlay (W/LO-CO) combining district zoning, rural residence (RR) district zoning, neighborhood office-conditional overlay (NO-CO) combining district zoning, and single family residence large lot-conditional overlay (SF-1-CO) combining district zoning to warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Staff recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning on Tract 1 and to grant multifamily limited density-conditional overlay (MF-1-CO) combining district zoning on Tract 2. Owner/Applicant: Fergi AV Land, LLC. (Colin Armstrong). Agent: Armbrust & Brown, PLLC (Amanda Morrow). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,0.0,"Armbrust & Brown, PLLC (Amanda Morrow)",Walnut Creek Watershed,0.0,,RR,MF-1-CO
C14-2017-0139,2018-03-22T00:00:00.000,"C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Watershed) from warehouse limited office-conditional overlay (W/LO-CO) combining district zoning, rural residence (RR) district zoning, neighborhood office-conditional overlay (NO-CO) combining district zoning, and single family residence large lot-conditional overlay (SF-1-CO) combining district zoning to warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Staff recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning on Tract 1 and to grant multifamily limited density-conditional overlay (MF-1-CO) combining district zoning on Tract 2. Owner/Applicant: Fergi AV Land, LLC. (Colin Armstrong). Agent: Armbrust & Brown, PLLC (Amanda Morrow). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,0.0,"Armbrust & Brown, PLLC (Amanda Morrow)",Walnut Creek Watershed,0.0,,RR,MF-1-CO
C14-2017-0139,2018-03-22T00:00:00.000,"C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Watershed) from warehouse limited office-conditional overlay (W/LO-CO) combining district zoning, rural residence (RR) district zoning, neighborhood office-conditional overlay (NO-CO) combining district zoning, and single family residence large lot-conditional overlay (SF-1-CO) combining district zoning to warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Staff recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning. Zoning and Platting Commission Recommendation: To grant warehouse limited office-conditional overlay (W/LO-CO) combining district zoning on Tract 1 and to grant multifamily limited density-conditional overlay (MF-1-CO) combining district zoning on Tract 2. Owner/Applicant: Fergi AV Land, LLC. (Colin Armstrong). Agent: Armbrust & Brown, PLLC (Amanda Morrow). City Staff: Heather Chaffin, 512-974-2122. District(s) Affected: District 1.",0.0,0.0,"Armbrust & Brown, PLLC (Amanda Morrow)",Walnut Creek Watershed,0.0,,RR,MF-1-CO
C814-2012-0160,2013-06-20T00:00:00.000,"C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 211 South Lamar Boulevard (Lady Bird Lake Watershed) from general commercial services (CS) district zoning and general commercial services-vertical mixed use building (CS-V) combining district zoning to planned unit development (PUD) district zoning. First Reading approved on August 8, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay. Second Reading approved on August 22, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay.  Owner: Post Paggi, LLC (Jason Post). Applicant: Winstead PC (Stephen O. Drenner). City Staff: Lee Heckman, 512-974-7604.",0.0,0.0,,Lady Bird Lake Watershed,0.0,,CS,PUD
C814-2012-0160,2013-06-20T00:00:00.000,"C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 211 South Lamar Boulevard (Lady Bird Lake Watershed) from general commercial services (CS) district zoning and general commercial services-vertical mixed use building (CS-V) combining district zoning to planned unit development (PUD) district zoning. First Reading approved on August 8, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay. Second Reading approved on August 22, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay.  Owner: Post Paggi, LLC (Jason Post). Applicant: Winstead PC (Stephen O. Drenner). City Staff: Lee Heckman, 512-974-7604.",0.0,0.0,,Lady Bird Lake Watershed,0.0,,CS,PUD
C814-2012-0160,2013-06-20T00:00:00.000,"C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 211 South Lamar Boulevard (Lady Bird Lake Watershed) from general commercial services (CS) district zoning and general commercial services-vertical mixed use building (CS-V) combining district zoning to planned unit development (PUD) district zoning. First Reading approved on August 8, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay. Second Reading approved on August 22, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay.  Owner: Post Paggi, LLC (Jason Post). Applicant: Winstead PC (Stephen O. Drenner). City Staff: Lee Heckman, 512-974-7604.",0.0,0.0,,Lady Bird Lake Watershed,0.0,,CS,PUD
C814-2012-0160,2013-06-20T00:00:00.000,"C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 211 South Lamar Boulevard (Lady Bird Lake Watershed) from general commercial services (CS) district zoning and general commercial services-vertical mixed use building (CS-V) combining district zoning to planned unit development (PUD) district zoning. First Reading approved on August 8, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay. Second Reading approved on August 22, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay.  Owner: Post Paggi, LLC (Jason Post). Applicant: Winstead PC (Stephen O. Drenner). City Staff: Lee Heckman, 512-974-7604.",0.0,0.0,,Lady Bird Lake Watershed,0.0,,CS,PUD
C814-2012-0160,2013-06-20T00:00:00.000,"C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 211 South Lamar Boulevard (Lady Bird Lake Watershed) from general commercial services (CS) district zoning and general commercial services-vertical mixed use building (CS-V) combining district zoning to planned unit development (PUD) district zoning. First Reading approved on August 8, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay. Second Reading approved on August 22, 2013. Vote: 5-2, Council Members Morrison and Tovo voted nay.  Owner: Post Paggi, LLC (Jason Post). Applicant: Winstead PC (Stephen O. Drenner). City Staff: Lee Heckman, 512-974-7604.",0.0,0.0,,Lady Bird Lake Watershed,0.0,,CS,PUD
