"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"NPA-2021-0018.01","McCarleys .32","Amended Neighborhood Plan","02/11/2021","Closed","7","","","0228060319","The applicant is proposing to amend an approved neighborhood plan.","30.32817519","-97.73202996"
"NPA-2024-0019.02","34th and West (FLUM Amendment)","Amended Neighborhood Plan","12/04/2024","Closed","9","","","0218030747","The applicant is requesting a NPA.","30.30226739","-97.74332759"
"NPA-2024-0030.01","1500 W Stassney Lane NPA","Amended Neighborhood Plan","03/13/2024","Closed","2","","","0414140214","The applicant is requesting an NPA.","30.21282301","-97.79174420"
"NPA-2023-0024.01","Radius at the Domain","Amended Neighborhood Plan","03/01/2023","Closed","7","NBG-TOD-Gateway-NP","NBG-NP and NBG-TOD-NP","0258100103","The applicant is requesting a NPA.","30.40485376","-97.71371186"
"C814-82-006.02(83)","Lake Austin Commons PUD Amendment","Planned Unit Development (PUD)","02/21/2024","Closed","9","PUD NP","PUD NP","0109040126","The applicant is proposing to amend a previously approved PUD.","30.27580818","-97.76514466"
"NPA-2024-0019.01","Red River","Amended Neighborhood Plan","07/25/2024","Closed","9","","","0218090203","The applicant is proposing to Amend previous Neighborhood Plan; FLUM change from Single Family to Neighborhood Mixed Use.","30.30298259","-97.72056597"
"NPA-2022-0022.01","406 and 428 E. Alpine Rd.","Amended Neighborhood Plan","07/20/2022","Closed","3","","","0410010437","The applicant is proposing to amend FLUM from Office to Mixed Use.","30.22489000","-97.75726332"
"NPA-2022-0031.01","8640 and 8700 Shoal Creek Blvd.","Amended Neighborhood Plan","08/24/2022","Closed","7","","","0245040601","The applicant is proposing to change the Future Land Use Map of the North Shoal Creek Neighborhood Plan from Industry to
Mixed-Use Activity Corridor.","30.37300013","-97.73730754"
"NPA-2019-0027.02","2401 Winsted Ln","Amended Neighborhood Plan","02/28/2019","Closed","10","","","0116030618","The Applicant proposes to amend a previously approved neighborhood plan.","30.29272774","-97.76046024"
"C814-2009-0094.02","Whisper Valley PUD Amendment II","Planned Unit Development (PUD)","06/14/2019","Closed","1","PUD, to change a condition of zoning","PUD","0218600125","The Applicant is proposing to amend a previously approved PUD, to modify the location of the proposed collector to the north of Braker Lane on the Park Improvement Plan.","30.30209165","-97.56466268"
"NPA-2024-0016.01.SH","4900 Gonzales Redevelopment","Amended Neighborhood Plan","02/21/2024","Closed","3","CS-MU-V-NP","P-NP","0202160103","The applicant is proposing neighborhood plan amendment.","30.25591794","-97.69770778"
"NPA-2024-0026.01","301 & 303 Ferguson - automotive repair and automotive sales uses","Amended Neighborhood Plan","04/02/2024","Closed","4","","","0245210412","The Applicant is proposing to amend a previously approved Neighborhood Plan.","30.37600574","-97.68574362"
"NPA-2025-0017.01","NPAs for the North Lamar Transit Center Station Area Vision Plan","Amended Neighborhood Plan","02/03/2025","Closed","4","","","0236120411","The City of Austin Planning Department is proposing to amend a previously approved neighborhood plan.","30.34856217","-97.71426068"
