"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"C17-06-0023","101 WEST 11TH STREET","Capital View Corridor Height","11/29/2006","Approved","9","","","","","30.27263369","-97.74122320"
"NPA-2025-0018.02","Airport Koening Multifamily","Amended Neighborhood Plan","12/04/2025","In Review","4","LI-PDA-NP","CS-NP","0227110201","The applicant is requesting an NPA.","30.32419999","-97.71603795"
"NPA-2023-0015.03","6605 REGIENE ROAD","Amended Neighborhood Plan","08/02/2023","Scheduled for Council Hearing","1","","","0202210102","The applicant proposes to amend a previously approved neighborhood plan.","30.26486588","-97.67009121"
"C814-96-0002","PUBLIC STORAGE RETAIL CENTER","Planned Unit Development (PUD)","08/23/1996","Closed","9","999","999","0108031325","","30.27250081","-97.75917734"
"C17-06-0021","CAPITOL VIEW CORRIDOR FOR 30O BOWIE STREET","Capital View Corridor Height","11/20/2006","Approved","9","","","0107002201","","30.26878205","-97.75392174"
"NPA-2021-0018.01","McCarleys .32","Amended Neighborhood Plan","02/11/2021","Closed","7","","","0228060319","The applicant is proposing to amend an approved neighborhood plan.","30.32817519","-97.73202996"
"NPA-2021-0016.04","5200 E 5TH STREET","Amended Neighborhood Plan","07/29/2021","Withdrawn","3","","","0200160202","The applicant is proposing to amend a previous neighborhood plan.","30.25175637","-97.69702620"
"NPA-2024-0019.02","34th and West (FLUM Amendment)","Amended Neighborhood Plan","12/04/2024","Closed","9","","","0218030747","The applicant is requesting a NPA.","30.30226739","-97.74332759"
"C17-2012-0005","601 W. 11th Street","Capital View Corridor Height","01/10/2012","Recommended for Approval","9","DMU - DOWNTOWN MIXED USE","DMU - DOWNTOWN MIXED USE","0208001605","The applicant is requesting a Capital View Corridor Height Determination for 601 W. 11th Street.","30.27419867","-97.74733810"
"NPA-2021-0005.01","Alpha .95","Amended Neighborhood Plan","07/26/2021","Withdrawn","3","SF-6-NP","CS-NP","0310140166","The applicant is proposing to amend a previous neighborhood plan.","30.21918368","-97.70330221"
"","913 Juniper St","Capital View Corridor Height","01/27/2025","Pending","1","CS - GENERAL COMMERCIAL","CS - GENERAL COMMERCIAL","0208061608","The applicant requests a capital view corridor determination","30.26999090","-97.73023588"
"C17-2010-0153","907 E. 6th Street Capital View Corridor Determination","Capital View Corridor Height","08/31/2010","Closed","3","CS-1-TOD - LIQUOR SALES","CS-1-TOD - LIQUOR SALES","0204051001","The applicant is requesting a Capital View Corridor Determination for 907 E. 6th Street","30.26497451","-97.73295657"
"NPA-2023-0005.02","600 KEMP STREET","Amended Neighborhood Plan","07/31/2023","Withdrawn","3","","","0304160119","The applicant proposes to amend a previously approved neighborhood plan.","30.23963882","-97.69584922"
"NPA-2011-0015.02","Tillery Street","Amended Neighborhood Plan","07/28/2011","Withdrawn","1","W/LO-CO-NP - WAREHOUS/LIMITED OFFICE","LO-MU-NP - LIMITED OFFICE","0212150205","The applicant requesting a neighborhood plan amendment to change use from Mixed Use  to Commercial.","30.28573937","-97.70249018"
"NPA-2024-0030.01","1500 W Stassney Lane NPA","Amended Neighborhood Plan","03/13/2024","Closed","2","","","0414140214","The applicant is requesting an NPA.","30.21282301","-97.79174420"
"C17-2020-0088","1301 LAVACA STREET","Capital View Corridor Height","07/21/2020","Approved","9","1","1","0210022509","Specific CVC Determination","30.27595357","-97.74230977"
"C17-05-0003","307 10TH ST W. (CAPITAL VIEW CORRIDOR)","Capital View Corridor Height","02/08/2005","Approved","9","","","0208011213","","30.27242577","-97.74466688"
"NPA-2023-0024.01","Radius at the Domain","Amended Neighborhood Plan","03/01/2023","Closed","7","NBG-TOD-Gateway-NP","NBG-NP and NBG-TOD-NP","0258100103","The applicant is requesting a NPA.","30.40485376","-97.71371186"
"C814-04-0061.01","RIBELIN RANCH","Planned Unit Development (PUD)","12/28/2006","Closed","","","PUD","","","",""
"C814-04-0024","BRODIE 31 C/O WALTERS SOUTHWEST","Planned Unit Development (PUD)","02/11/2004","Closed","","PUD","DR","","","",""
"C17-2016-0104","1400 Lavaca Height Determination","Capital View Corridor Height","09/14/2016","Recommended for Approval","9","DMU - DOWNTOWN MIXED USE","DMU - DOWNTOWN MIXED USE","0210022012","The applicant proposes to request Capital Dominance determination for one parcel of land located at 1400 Lavaca Street 78701.","30.27701073","-97.74249688"
"C17-05-0007","CAPITOL VIEW CORRIDOR APPLICATION FOR 705 & 709 E. 10TH STREET","Capital View Corridor Height","05/27/2005","Approved","9","","","0206041911","","30.26954215","-97.73427841"
"NPA-07-0022.01","ST. CECILIA HOTEL (PROPOSED)","Amended Neighborhood Plan","02/28/2007","Closed","9","GR","MF-4","0201010301","","30.25211936","-97.74735602"
"C814-82-006.02(83)","Lake Austin Commons PUD Amendment","Planned Unit Development (PUD)","02/21/2024","Closed","9","PUD NP","PUD NP","0109040126","The applicant is proposing to amend a previously approved PUD.","30.27580818","-97.76514466"
