CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-2016-0121,2018-03-01T00:00:00.000,34,Austin City Council,C14-2016-0121 - 7700 Parmer Lane - District 6 - Approve third reading of an ordinance amending City Code Title 25 by zoning property locally known as 7700 West Parmer Lane (Lake Creek Watershed). Appl,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180301-REG.htm#034
C14-2013-0092,2013-12-12T00:00:00.000,108,Austin City Council,C14-2013-0092 - Eastside Lumber Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2915 and 3013 East Cesar Chavez Stree,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131212-REG.htm#108
C14H-2009-0053,2009-12-10T00:00:00.000,81,Austin City Council,C14H-2009-0053 - Sol and Anne Ginsburg House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1404 Preston Avenue,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091210-REG.htm#081
C14-2020-0065,2020-10-15T00:00:00.000,64,Austin City Council,C14-2020-0065 - Rainey Street GIS Substation - Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning and rezoning property locally known as 806-� Lambie Street (Lady ,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#064
C814-2012-0160,2013-06-20T00:00:00.000,78,Austin City Council,C814-2012-0160 - 211 South Lamar Boulevard Planned Unit Development - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130620-REG.htm#078
C14-04-0150,2005-11-03T00:00:00.000,26,Austin City Council,C14-04-0150 - Manchaca Mixed Use (formerly known as Neighbor's Stop & Go) - Approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 6008 Manchaca Road ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20051103-REG.htm#026
C14-06-0065,2006-08-24T00:00:00.000,72,Austin City Council,C14-06-0065 - 2923 and 2933 Pecan Springs Road - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2923 and 2933 Pec,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060824-REG.htm#072
C14-2017-0139,2018-03-22T00:00:00.000,87,Austin City Council,C14-2017-0139 - Ferguson Crossing- District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3207 Ferguson Lane (Walnut Creek Wat,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180322-REG.htm#087
C14H-2017-0082,2017-10-05T00:00:00.000,49,Austin City Council,C14H-2017-0082 - McDonald-Doughtie House - District 10 - Conduct a public hearing and approve an ordinance amending City Code Title 25 of the Austin City Code by rezoning property locally known as 161,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171005-REG.htm#049
C14-2019-0162,2020-08-27T00:00:00.000,129,Austin City Council,C14-2019-0162 - Slaughter and Cullen - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 166 West Slaughter Lane and 9012 Cullen Lane ,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#129
C14-2019-0108,2020-09-17T00:00:00.000,88,Austin City Council,C14-2019-0108 - Parker House - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2404 Rio Grande Street (Shoal Creek Watershed). Appli,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#088
C14-2018-0002,2018-06-14T00:00:00.000,105,Austin City Council,C14-2018-0002 - Delwau Campgrounds - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7715 Delwau Lane (Colorado River W,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180614-REG.htm#105
