CASE_NUMBER,Meeting_Date,backup_links,document_count
C14-2018-0002,2018-06-14T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304385""}, {""title"": ""20180823-068, Agenda Backup: Backup (Link to video)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304385""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304383""}, {""title"": ""20180823-068, Agenda Backup: Feasibility Study"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304383""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304384""}, {""title"": ""20180823-068, Agenda Backup: Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=304384""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303695""}, {""title"": ""20180823-068, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303695""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303619""}, {""title"": ""20180823-068, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=303619""}]",10
C14-2016-0121,2018-03-01T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286739""}, {""title"": ""20171102-017, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286739""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286713""}, {""title"": ""20171102-017, Agenda Backup: Staf Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286713""}]",4
C14-2013-0092,2013-12-12T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202558""}, {""title"": ""20131212-108, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202558""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202559""}, {""title"": ""20131212-108, Agenda Backup: Staff Memo (C14 2013 0092)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=202559""}]",4
C14-2017-0139,2018-03-22T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=302540""}, {""title"": ""Ordinance No. 20180628-100"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=302540""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300999""}, {""title"": ""20180628-100, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300999""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300762""}, {""title"": ""20180628-100, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300762""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300627""}, {""title"": ""20180628-100, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300627""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=301607""}, {""title"": ""20180628-100, Agenda Late Backup: Motion Sheet - CM Houston"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=301607""}]",10
C814-2012-0160,2013-06-20T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=200028""}, {""title"": ""Ordinance No. 20131017-052"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=200028""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198804""}, {""title"": ""20131017-052, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198804""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198806""}, {""title"": ""20131017-052, Agenda Backup: Revised Ordinance (C814-2012-0160)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198806""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198805""}, {""title"": ""20131017-052, Agenda Backup: Staff Report (C814 2012 0160)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=198805""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=199067""}, {""title"": ""20131017-052, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=199067""}]",10
C14H-2017-0082,2017-10-05T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288085""}, {""title"": ""Ordinance No. 20171109-064"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=288085""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287041""}, {""title"": ""20171109-064, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287041""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287138""}, {""title"": ""20171109-064, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287138""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287535""}, {""title"": ""20171109-064, Agenda Backup: Revised Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287535""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287040""}, {""title"": ""20171109-064, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=287040""}]",10
C14-2014-0093,2014-08-28T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=217231""}, {""title"": ""Ordinance No. 20140828-125"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=217231""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215870""}, {""title"": ""20140828-125, Agenda Backup: Ordinance (C14 2014 0093)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215870""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215868""}, {""title"": ""20140828-125, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215868""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215869""}, {""title"": ""20140828-125, Agenda Backup: Staff Report (C14 2014 0093)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=215869""}]",8
C14-2019-0133,2020-01-23T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=335241""}, {""title"": ""Ordinance No. 20200123-092"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=335241""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333903""}, {""title"": ""20200123-092, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333903""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333904""}, {""title"": ""20200123-092, Agenda Backup: Draft Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333904""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333905""}, {""title"": ""20200123-092, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333905""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333902""}, {""title"": ""20200123-092, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=333902""}]",10
NPA-2019-0021.02,2020-02-20T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=340128""}, {""title"": ""20200521-060, Agenda Backup: Recommendation for Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=340128""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=340127""}, {""title"": ""20200521-060, Agenda Backup: Staff Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=340127""}]",4
C14-2016-0041,2016-08-11T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268537""}, {""title"": ""20161215-073, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268537""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268535""}, {""title"": ""20161215-073, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268535""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268536""}, {""title"": ""20161215-073, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=268536""}]",6
