CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2018-0002,2018-06-14T00:00:00.000,,,,False
C14-2016-0121,2018-03-01T00:00:00.000,,,,False
C14-2013-0092,2013-12-12T00:00:00.000,,,,False
C14-2017-0139,2018-03-22T00:00:00.000,10.0,1.0,,True
C814-2012-0160,2013-06-20T00:00:00.000,5.0,2.0,"Morrison, Tovo",True
C14H-2017-0082,2017-10-05T00:00:00.000,,,,False
C14-2014-0093,2014-08-28T00:00:00.000,,,,False
C14-2019-0133,2020-01-23T00:00:00.000,,,,False
NPA-2019-0021.02,2020-02-20T00:00:00.000,,,,False
C14-2016-0041,2016-08-11T00:00:00.000,10.0,0.0,,True
C814-2012-0085.01,2014-06-26T00:00:00.000,,,,False
C14-2015-0163,2016-08-11T00:00:00.000,,,,False
C14-2019-0123,2019-12-05T00:00:00.000,,,,False
C14-2019-0048,2019-06-20T00:00:00.000,,,,False
C14-2019-0167,2020-04-09T00:00:00.000,,,,False
C14-2014-0134,2014-12-11T00:00:00.000,,,,False
C14-2011-0043,2011-08-18T00:00:00.000,,,,False
C14-2017-0022,2017-12-07T00:00:00.000,,,,False
C14-2015-0118,2015-12-17T00:00:00.000,,,,False
C14-2013-0064,2013-10-03T00:00:00.000,6.0,1.0,,True
C14-2018-0030,2018-06-28T00:00:00.000,,,,False
C14-2011-0103,2011-10-20T00:00:00.000,,,,False
C814-2012-0085.01,2014-12-11T00:00:00.000,,,,False
C14-2013-0141,2014-02-13T00:00:00.000,,,,False
C14H-2017-0055,2018-08-09T00:00:00.000,,,,False
NPA-2017-0016.05,2018-08-09T00:00:00.000,,,,False
C14-2010-0195,2011-01-27T00:00:00.000,7.0,0.0,,True
C14-2016-0121,2018-02-01T00:00:00.000,,,,False
C14-2011-0043,2011-08-04T00:00:00.000,,,,False
C14-2012-0099,2012-10-18T00:00:00.000,6.0,0.0,,True
C14-2015-0114,2016-11-10T00:00:00.000,,,,False
C14-2014-0070,2014-08-28T00:00:00.000,,,,False
C14H-2017-0107,2017-10-05T00:00:00.000,,,,False
NPA-2019-0027.02,2019-11-14T00:00:00.000,,,,False
C14-2016-0059,2016-09-22T00:00:00.000,11.0,0.0,,True
C14-2012-0028,2012-08-02T00:00:00.000,,,,False
C14-2012-0046,2012-08-02T00:00:00.000,,,,False
C14-2019-0106,2020-02-20T00:00:00.000,,,,False
C14-2017-0076,2017-10-05T00:00:00.000,,,,False
C14-2015-0127,2015-12-10T00:00:00.000,,,,False
C14-2014-0012,2014-05-15T00:00:00.000,,,,False
C14-2014-0009,2014-05-15T00:00:00.000,7.0,0.0,,True
C14-2012-0093,2013-01-17T00:00:00.000,,,,False
C14-2013-0083,2014-05-01T00:00:00.000,,,,False
C14-2011-0065,2013-01-31T00:00:00.000,,,,False
NPA-2010-0021.02,2011-03-03T00:00:00.000,,,,False
C14-2013-0023,2013-09-26T00:00:00.000,,,,False
C14-2011-0165,2012-06-14T00:00:00.000,,,,False
C14-2012-0115,2012-12-06T00:00:00.000,,,,False
C14-2017-0137,2018-02-01T00:00:00.000,,,,False
C14-2012-0007,2012-03-22T00:00:00.000,,,,False
C14-2016-0106,2017-01-26T00:00:00.000,,,,False
C14-2011-0131,2012-09-27T00:00:00.000,,,,False
C14-2019-0082,2020-01-23T00:00:00.000,11.0,0.0,,True
C14-2010-0090,2010-09-23T00:00:00.000,,,,False
C14-2013-0062,2013-09-26T00:00:00.000,,,,False
C14-2017-0114,2018-02-01T00:00:00.000,,,,False
C14-2013-0147,2014-03-27T00:00:00.000,,,,False
NPA-2016-0005.04,2017-08-31T00:00:00.000,,,,False
C14H-2016-0099,2016-12-08T00:00:00.000,,,,False
NPA-2011-0016.01,2012-02-02T00:00:00.000,,,,False
C14-2016-0105,2017-02-16T00:00:00.000,,,,False
C14-2018-0146,2019-06-06T00:00:00.000,,,,False
C14-2014-0048,2014-06-12T00:00:00.000,,,,False
C14-2016-0111,2017-12-07T00:00:00.000,,,,False
C14H-2010-0027,2010-12-16T00:00:00.000,,,,False
NPA-2012-0005.01,2012-09-27T00:00:00.000,,,,False
C14-2018-0069,2018-09-20T00:00:00.000,10.0,0.0,,True
C14H-2019-0077,2019-06-20T00:00:00.000,,,,False
C14-2014-0038,2014-06-12T00:00:00.000,,,,False
NPA-2017-0021.01,2020-02-20T00:00:00.000,,,,False
C14-2014-0038,2015-03-26T00:00:00.000,,,,False
NPA-2015-0027.01,2015-10-08T00:00:00.000,,,,False
C14-2013-0158,2014-08-07T00:00:00.000,7.0,0.0,,True
C14-2011-0087,2011-12-08T00:00:00.000,,,,False
C14-2016-0043,2017-01-26T00:00:00.000,10.0,0.0,,True
C14-2017-0081,2017-09-28T00:00:00.000,,,,False
C14-2010-0015,2010-10-14T00:00:00.000,,,,False
C14-2014-0025,2014-08-07T00:00:00.000,6.0,1.0,Tovo,True
C14-2014-0003,2014-05-22T00:00:00.000,,,,False
C14-2014-0128,2014-10-16T00:00:00.000,,,,False
NPA-2017-0016.03,2019-02-21T00:00:00.000,,,,False
C14-2014-0036,2014-10-16T00:00:00.000,,,,False
C14-2016-0079,2017-05-18T00:00:00.000,,,,False
C14-2011-0079,2011-12-08T00:00:00.000,,,,False
C14-2011-0140,2012-04-05T00:00:00.000,5.0,2.0,"Morrison, Tovo",True
NPA-2011-0009.01,2011-12-08T00:00:00.000,,,,False
C14-2016-0132,2017-03-02T00:00:00.000,,,,False
NPA-2011-0023.01,2012-04-05T00:00:00.000,,,,False
NPA-2015-0014.01,2016-03-24T00:00:00.000,11.0,0.0,,True
C14-2014-0186,2015-12-10T00:00:00.000,,,,False
C14-2018-0141,2019-02-21T00:00:00.000,,,,False
C14-2014-0193,2015-10-15T00:00:00.000,10.0,0.0,,True
C14H-2018-0014,2018-04-12T00:00:00.000,,,,False
C14-2010-0096,2010-09-30T00:00:00.000,7.0,0.0,,True
C14H-2010-0006,2010-09-30T00:00:00.000,,,,False
C14-2015-0160,2016-09-01T00:00:00.000,11.0,0.0,,True
C14-2019-0037,2019-06-20T00:00:00.000,,,,False
C14-2013-0097,2013-09-26T00:00:00.000,,,,False
NPA-2011-0025.02,2012-10-11T00:00:00.000,,,,False
NPA-2015-0005.01,2015-08-13T00:00:00.000,,,,False
C14-2012-0020,2012-03-22T00:00:00.000,,,,False
C14-2019-0041,2019-08-08T00:00:00.000,,,,False
C14-2013-0038,2013-05-09T00:00:00.000,,,,False
C14-2013-0048,2013-08-22T00:00:00.000,,,,False
C14-2016-0011,2016-12-08T00:00:00.000,10.0,0.0,,True
NPA-2011-0019.02,2011-11-10T00:00:00.000,,,,False
C14-2018-0004,2018-12-13T00:00:00.000,,,,False
C14-2015-0001,2015-10-08T00:00:00.000,11.0,0.0,,True
NPA-2012-0019.03,2012-09-27T00:00:00.000,,,,False
C14-2015-0146,2016-08-11T00:00:00.000,,,,False
NPA-2019-0012.02,2019-12-05T00:00:00.000,,,,False
C14-2018-0138,2018-12-13T00:00:00.000,,,,False
C14-2019-0001,2019-05-23T00:00:00.000,11.0,0.0,,True
NPA-2011-0016.02,2011-12-08T00:00:00.000,,,,False
NPA-2012-0013.02,2012-08-16T00:00:00.000,,,,False
NPA-2013-0011.02,2013-12-12T00:00:00.000,,,,False
C14-2018-0088,2019-03-28T00:00:00.000,,,,False
C814-2014-0120,2017-02-02T00:00:00.000,,,,False
C14-2017-0132,2018-02-01T00:00:00.000,,,,False
C14-2018-0127,2019-01-31T00:00:00.000,,,,False
C814-2008-0145,2011-03-03T00:00:00.000,,,,False
C14-2014-0077,2014-11-06T00:00:00.000,7.0,0.0,,True
C14-2013-0045,2013-11-21T00:00:00.000,7.0,0.0,,True
C14-2010-0017,2010-08-19T00:00:00.000,5.0,2.0,"(Riley, Morrison voted Nay)",True
C14-2015-0001,2015-10-15T00:00:00.000,11.0,0.0,,True
C14-05-0112,2011-12-08T00:00:00.000,,,,False
C14-2014-0102,2014-08-07T00:00:00.000,,,,False
C14-2014-0018,2014-09-25T00:00:00.000,7.0,0.0,,True
C14-2014-0037,2014-11-20T00:00:00.000,,,,False
C14-2016-0090,2017-06-15T00:00:00.000,,,,False
C14-2013-0107,2014-03-06T00:00:00.000,,,,False
C14-2016-0124,2017-05-18T00:00:00.000,11.0,0.0,,True
C14-2010-0192,2011-02-17T00:00:00.000,,,,False
NPA-2011-0015.02,2012-03-08T00:00:00.000,,,,False
C14-2012-0070,2013-01-17T00:00:00.000,,,,False
C14-2015-0083,2017-05-04T00:00:00.000,,,,False
C14-2014-0006,2014-03-20T00:00:00.000,,,,False
NPA-2019-0027.01,2019-06-06T00:00:00.000,,,,False
NPA-2015-0009.01,2015-11-12T00:00:00.000,,,,False
C14-2016-0079,2017-10-19T00:00:00.000,,,,False
C814-2007-0009,2014-05-22T00:00:00.000,,,,False
NPA-2010-0021.02,2011-03-24T00:00:00.000,,,,False
C14-2013-0145,2014-01-23T00:00:00.000,,,,False
C14-2017-0033,2017-08-03T00:00:00.000,9.0,2.0,"Flannigan, Troxclair",True
