CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2018-0002,2018-06-14T00:00:00.000,,,,False
C14-2016-0121,2018-03-01T00:00:00.000,9.0,0.0,,True
C14-2017-0139,2018-03-22T00:00:00.000,10.0,1.0,,True
C14-2019-0133,2020-01-23T00:00:00.000,,,,False
NPA-2019-0021.02,2020-02-20T00:00:00.000,,,,False
C14-2019-0123,2019-12-05T00:00:00.000,,,,False
C14-2019-0048,2019-06-20T00:00:00.000,,,,False
C14-2019-0167,2020-04-09T00:00:00.000,,,,False
C14-2018-0030,2018-06-28T00:00:00.000,,,,False
C14H-2017-0055,2018-08-09T00:00:00.000,,,,False
NPA-2017-0016.05,2018-08-09T00:00:00.000,,,,False
C14-2016-0121,2018-02-01T00:00:00.000,9.0,0.0,,True
NPA-2019-0027.02,2019-11-14T00:00:00.000,,,,False
C14-2019-0106,2020-02-20T00:00:00.000,,,,False
C14-2017-0137,2018-02-01T00:00:00.000,,,,False
C14-2019-0082,2020-01-23T00:00:00.000,11.0,0.0,,True
C14-2017-0114,2018-02-01T00:00:00.000,9.0,0.0,,True
C14-2018-0146,2019-06-06T00:00:00.000,,,,False
C14-2018-0069,2018-09-20T00:00:00.000,10.0,0.0,,True
C14H-2019-0077,2019-06-20T00:00:00.000,,,,False
NPA-2017-0021.01,2020-02-20T00:00:00.000,,,,False
NPA-2017-0016.03,2019-02-21T00:00:00.000,,,,False
C14-2018-0141,2019-02-21T00:00:00.000,,,,False
C14H-2018-0014,2018-04-12T00:00:00.000,,,,False
C14-2019-0037,2019-06-20T00:00:00.000,,,,False
C14-2019-0041,2019-08-08T00:00:00.000,,,,False
C14-2018-0004,2018-12-13T00:00:00.000,,,,False
NPA-2019-0012.02,2019-12-05T00:00:00.000,,,,False
C14-2018-0138,2018-12-13T00:00:00.000,,,,False
C14-2019-0001,2019-05-23T00:00:00.000,11.0,0.0,,True
C14-2018-0088,2019-03-28T00:00:00.000,,,,False
C14-2017-0132,2018-02-01T00:00:00.000,10.0,0.0,,True
C14-2018-0127,2019-01-31T00:00:00.000,,,,False
NPA-2019-0027.01,2019-06-06T00:00:00.000,,,,False
C14-2018-0035,2018-06-28T00:00:00.000,,,,False
C14-2019-0068,2019-08-08T00:00:00.000,9.0,0.0,,True
C14-72-204,2019-08-08T00:00:00.000,,,,False
C14-2019-0153,2020-02-20T00:00:00.000,,,,False
C14-2019-0137,2020-04-09T00:00:00.000,,,,False
C14-2017-0106,2018-09-20T00:00:00.000,,,,False
C14-2018-0123,2019-02-21T00:00:00.000,,,,False
C14-2019-0158,2020-01-23T00:00:00.000,,,,False
C14-2017-0106,2018-03-22T00:00:00.000,,,,False
C14-2019-0071,2019-08-08T00:00:00.000,,,,False
NPA-2018-0021.02,2019-10-03T00:00:00.000,,,,False
C14-2020-0005,2020-03-26T00:00:00.000,,,,False
C14-2017-0143,2018-02-01T00:00:00.000,,,,False
C14-2018-0108,2019-05-09T00:00:00.000,,,,False
C14-2019-0124,2020-03-26T00:00:00.000,,,,False
C814-2017-0001,2018-03-22T00:00:00.000,,,,False
C14-2018-0109,2019-05-09T00:00:00.000,,,,False
NPA-2017-0016.06,2018-04-26T00:00:00.000,8.0,1.0,[L,True
C14-2017-0022,2018-08-30T00:00:00.000,,,,False
C14-2019-0097,2019-10-03T00:00:00.000,,,,False
C14-2018-0018,2018-05-10T00:00:00.000,,,,False
C14-2018-0019,2018-05-10T00:00:00.000,,,,False
C14-2019-0151,2020-03-26T00:00:00.000,10.0,0.0,,True
C14-2018-0021,2018-05-10T00:00:00.000,,,,False
C14-2018-0079,2018-11-15T00:00:00.000,10.0,0.0,,True
C14-2019-0020,2019-06-06T00:00:00.000,,,,False
C14-2015-0062,2019-06-06T00:00:00.000,,,,False
NPA-2017-0002.01,2018-02-01T00:00:00.000,,,,False
C14-2016-0094,2018-08-23T00:00:00.000,11.0,0.0,,True
C14-2019-0135,2019-12-05T00:00:00.000,,,,False
C14-2018-0065,2019-02-21T00:00:00.000,,,,False
NPA-2018-0023.01,2018-11-15T00:00:00.000,11.0,0.0,,True
C14-2019-0094,2019-10-17T00:00:00.000,,,,False
C14-2017-0098,2018-02-01T00:00:00.000,,,,False
C14-2019-0031,2019-08-08T00:00:00.000,,,,False
C14-2019-0155,2020-03-12T00:00:00.000,8.0,1.0,Flannigan,True
C14-2016-0079,2018-05-10T00:00:00.000,11.0,0.0,,True
C14H-2019-0148,2019-12-05T00:00:00.000,,,,False
C14-2018-0118,2019-04-25T00:00:00.000,,,,False
NPA-2018-0005.01,2019-10-17T00:00:00.000,,,,False
C14-2017-0084,2018-03-22T00:00:00.000,,,,False
C14-2018-0055,2018-06-14T00:00:00.000,,,,False
C14H-2018-0032,2018-08-30T00:00:00.000,,,,False
C14-2019-0096,2019-10-03T00:00:00.000,,,,False
NPA-2018-0026.01,2018-08-09T00:00:00.000,10.0,0.0,,True
C14-2018-0080,2019-02-07T00:00:00.000,10.0,0.0,,True
C14-2018-0113,2018-12-13T00:00:00.000,,,,False
C14-2015-0062,2018-08-23T00:00:00.000,,,,False
C14-2018-0124,2019-10-03T00:00:00.000,9.0,2.0,"Council members Alter, Pool",True
C14-2017-0094,2018-03-22T00:00:00.000,,,,False
C14-2017-0022,2018-02-01T00:00:00.000,,,,False
C14-2018-0081,2018-11-01T00:00:00.000,,,,False
NPA-2019-0020.04,2020-01-23T00:00:00.000,11.0,0.0,,True
C14-2017-0123,2018-04-26T00:00:00.000,,,,False
C14-2019-0123,2020-02-06T00:00:00.000,,,,False
NPA-2018-0016.04,2019-08-08T00:00:00.000,,,,False
C14-2017-0051,2018-04-12T00:00:00.000,,,,False
C14-2019-0003,2020-02-06T00:00:00.000,,,,False
C14-2019-0126,2019-11-14T00:00:00.000,,,,False
C14-2019-0139,2020-01-23T00:00:00.000,,,,False
C14-2019-0008,2019-06-06T00:00:00.000,,,,False
C14-2018-0150,2019-09-19T00:00:00.000,,,,False
C14-2016-0136,2018-05-24T00:00:00.000,6.0,0.0,,True
C14-2017-0138,2018-11-01T00:00:00.000,,,,False
C14-2018-0140,2019-06-06T00:00:00.000,11.0,0.0,,True
C14-2017-0130,2018-05-24T00:00:00.000,,,,False
C14-2018-0048,2018-08-30T00:00:00.000,,,,False
NPA-2018-0005.01,2019-10-03T00:00:00.000,,,,False
C14-2017-0152,2018-03-01T00:00:00.000,,,,False
C14-2018-0002,2018-08-23T00:00:00.000,,,,False
C14-2018-0075,2018-11-15T00:00:00.000,,,,False
C14-2017-0138,2018-06-28T00:00:00.000,,,,False
NPA-2017-0016.02,2019-03-28T00:00:00.000,10.0,1.0,with Renteria,True
C14-2019-0098,2020-02-06T00:00:00.000,10.0,0.0,,True
C14-2017-0067,2018-03-22T00:00:00.000,8.0,1.0,Alter,True
C14-2019-0053,2020-01-23T00:00:00.000,,,,False
C14-2018-0043,2018-11-01T00:00:00.000,10.0,0.0,,True
NPA-2018-0026.02,2018-08-30T00:00:00.000,10.0,0.0,,True
C14-2018-0128,2019-09-19T00:00:00.000,,,,False
NPA-2017-0016.02,2018-04-26T00:00:00.000,10.0,1.0,with Renteria,True
NPA-2018-0026.01,2018-08-23T00:00:00.000,10.0,0.0,,True
C14-2019-0098,2020-03-26T00:00:00.000,10.0,0.0,,True
NPA-2018-0016.03,2019-01-31T00:00:00.000,,,,False
C14-2019-0098,2020-04-23T00:00:00.000,10.0,0.0,,True
C14-2017-0152,2018-03-22T00:00:00.000,,,,False
C14-2017-0051,2018-06-28T00:00:00.000,,,,False
C14-2019-0168,2020-02-20T00:00:00.000,,,,False
C14H-2019-0063,2019-06-20T00:00:00.000,,,,False
C14-2019-0038,2019-05-23T00:00:00.000,,,,False
C14-2018-0102,2018-11-29T00:00:00.000,,,,False
C14-2018-0106,2019-01-31T00:00:00.000,,,,False
C14H-2019-0112,2019-11-14T00:00:00.000,,,,False
C14-2019-0053,2019-06-20T00:00:00.000,,,,False
C14-2019-0029,2019-06-20T00:00:00.000,,,,False
C14-2019-0109,2019-12-05T00:00:00.000,,,,False
NPA-2018-0021.01,2019-06-06T00:00:00.000,,,,False
C14-2020-0010,2020-04-09T00:00:00.000,,,,False
C14-2020-0001,2020-04-09T00:00:00.000,7.0,2.0,"Alter, Pool ; Adler, Harper-Madison were off the dais",True
C14-2017-0084,2018-02-01T00:00:00.000,,,,False
C14H-2018-0103,2019-03-07T00:00:00.000,,,,False
NPA-2018-0021.01,2019-06-20T00:00:00.000,,,,False
C14-2018-0056,2018-11-15T00:00:00.000,9.0,0.0,,True
C14-2019-0016,2019-06-06T00:00:00.000,,,,False
NPA-2018-0012.01,2018-12-13T00:00:00.000,,,,False
C14-2018-0040,2018-06-14T00:00:00.000,,,,False
C14-2018-0134,2019-03-07T00:00:00.000,,,,False
NPA-2019-0010.01,2019-09-19T00:00:00.000,,,,False
C14-2019-0026,2019-06-20T00:00:00.000,,,,False
C814-2018-0154,2020-02-20T00:00:00.000,,,,False
C14H-2020-0011,2020-03-26T00:00:00.000,,,,False
C14-2018-0141,2019-04-25T00:00:00.000,,,,False
NPA-2018-0028.01,2018-11-01T00:00:00.000,,,,False
C14-2017-0100,2019-01-31T00:00:00.000,,,,False
C14-2018-0036,2018-06-14T00:00:00.000,,,,False
C14-2017-0094,2019-03-07T00:00:00.000,,,,False
C14-2019-0131,2019-12-05T00:00:00.000,,,,False
NPA-2018-0024.01,2019-01-31T00:00:00.000,,,,False
NPA-2019-0027.02,2019-10-17T00:00:00.000,,,,False
C14-2018-0037,2018-12-13T00:00:00.000,11.0,0.0,,True
C14-2017-0138,2018-12-13T00:00:00.000,,,,False
C14-2017-0105,2018-06-14T00:00:00.000,,,,False
C14-2020-0008,2020-04-09T00:00:00.000,11.0,0.0,,True
C14-2019-0137,2020-01-23T00:00:00.000,,,,False
C14-2018-0155,2019-08-08T00:00:00.000,,,,False
C14-2018-0052,2018-10-04T00:00:00.000,,,,False
C14-2019-0066,2019-08-08T00:00:00.000,,,,False
NPA-2018-0005.01,2019-08-08T00:00:00.000,,,,False
C14-2018-0065,2018-12-13T00:00:00.000,,,,False
C14-2017-0086,2018-02-01T00:00:00.000,,,,False
NPA-2017-0016.02,2018-09-20T00:00:00.000,10.0,1.0,with Renteria,True
NPA-2017-0021.01,2018-03-01T00:00:00.000,,,,False
C14-2019-0090,2019-09-19T00:00:00.000,9.0,0.0,,True
C14-2018-0064,2019-02-21T00:00:00.000,,,,False
C14-2018-0126,2019-05-09T00:00:00.000,,,,False
C14-2018-0080,2019-06-06T00:00:00.000,10.0,0.0,,True
C14-2019-0007,2019-10-17T00:00:00.000,,,,False
C14-2018-0062,2019-01-31T00:00:00.000,,,,False
C14-2018-0006,2018-04-12T00:00:00.000,,,,False
C14-2018-0089,2019-09-19T00:00:00.000,,,,False
C14-2017-0148,2020-02-06T00:00:00.000,,,,False
C14-2017-0100,2018-09-20T00:00:00.000,,,,False
C14-2017-0094,2018-06-14T00:00:00.000,,,,False
C14-2017-0138,2019-05-09T00:00:00.000,,,,False
C14-2017-0096,2018-02-01T00:00:00.000,11.0,0.0,,True
C14-2019-0103,2020-01-23T00:00:00.000,,,,False
C14-2017-0132,2018-04-26T00:00:00.000,10.0,0.0,,True
C14-2018-0077,2019-02-07T00:00:00.000,,,,False
NPA-2019-0003.01,2020-03-26T00:00:00.000,,,,False
C14-2018-0027,2019-10-17T00:00:00.000,9.0,2.0,"Garza, Casar",True
C14-2018-0044,2018-06-28T00:00:00.000,,,,False
C14-2019-0028,2019-06-20T00:00:00.000,,,,False
C14-2017-0146,2018-03-01T00:00:00.000,,,,False
C14H-2018-0013,2018-06-28T00:00:00.000,,,,False
NPA-2018-0016.02,2018-10-18T00:00:00.000,,,,False
C14-2018-0108,2019-04-25T00:00:00.000,,,,False
C14-2017-0149,2018-03-22T00:00:00.000,,,,False
C14-2019-0105,2019-12-05T00:00:00.000,,,,False
C14-2018-0115,2019-02-21T00:00:00.000,11.0,0.0,,True
C14H-2017-0055,2019-06-20T00:00:00.000,,,,False
NPA-2017-0021.01,2020-01-23T00:00:00.000,,,,False
C14-2018-0112,2019-03-07T00:00:00.000,,,,False
NPA-2017-0021.01,2018-06-28T00:00:00.000,,,,False
C14-2018-0023,2018-06-14T00:00:00.000,,,,False
NPA-2018-0028.01,2018-10-18T00:00:00.000,,,,False
NPA-2016-0016.01,2018-05-10T00:00:00.000,11.0,0.0,,True
C14-2018-0017,2018-04-26T00:00:00.000,,,,False
C14-2019-0134,2020-01-23T00:00:00.000,,,,False
NPA-2018-0005.01,2019-06-20T00:00:00.000,,,,False
NPA-2018-0023.01,2018-12-13T00:00:00.000,11.0,0.0,,True
C14-2019-0024,2019-06-20T00:00:00.000,,,,False
C14H-2017-0055,2018-03-22T00:00:00.000,,,,False
C14-2018-0141,2019-03-07T00:00:00.000,,,,False
C14-2019-0155,2020-04-23T00:00:00.000,8.0,1.0,Flannigan,True
C14-2018-0110,2018-12-13T00:00:00.000,,,,False
C14-2017-0148,2018-06-28T00:00:00.000,,,,False
NPA-2017-0021.01,2018-08-09T00:00:00.000,,,,False
C14-2018-0092,2018-10-18T00:00:00.000,,,,False
C14-2018-0068,2018-09-20T00:00:00.000,,,,False
C14-2018-0060,2018-08-09T00:00:00.000,,,,False
C814-2018-0121,2020-02-06T00:00:00.000,,,,False
NPA-2017-0005.03,2018-02-01T00:00:00.000,,,,False
C14-2017-0151,2018-02-01T00:00:00.000,,,,False
C14H-2017-0055,2018-05-10T00:00:00.000,,,,False
NPA-2016-0005.04,2018-06-28T00:00:00.000,,,,False
C14-2017-0132,2018-06-14T00:00:00.000,10.0,0.0,,True
NPA-2017-0016.02,2018-05-10T00:00:00.000,10.0,1.0,with Renteria,True
C14-2017-0028,2018-02-01T00:00:00.000,9.0,1.0,"-1, J",True
C14-2017-0149,2018-06-14T00:00:00.000,,,,False
NPA-2018-0001.01,2018-10-04T00:00:00.000,,,,False
C14-2018-0126,2019-04-25T00:00:00.000,,,,False
C14-2019-0005,2019-03-28T00:00:00.000,,,,False
C14-2018-0124,2019-05-09T00:00:00.000,9.0,2.0,"Council members Alter, Pool",True
