CASE_NUMBER,Meeting_Date,Agenda_Item,Swagit_URL,MP4_URL
NPA-2019-0027.02,2019-11-14T00:00:00.000,81,http://austintx.swagit.com/play/45799/0/,https://swagit-video.granicus.com/archive/2019/11/15/11152019-507.360.mp4
NPA-2018-0023.01,2018-11-15T00:00:00.000,58,http://austintx.swagit.com/play/45774/0/,https://swagit-video.granicus.com/archive/2018/11/15/11152018-1250.360.mp4
NPA-2018-0023.01,2018-12-13T00:00:00.000,61,http://austintx.swagit.com/play/45776/0/,https://swagit-video.granicus.com/archive/2018/12/13/12132018-974.360.mp4
NPA-2018-0028.01,2018-11-15T00:00:00.000,67,http://austintx.swagit.com/play/45774/0/,https://swagit-video.granicus.com/archive/2018/11/15/11152018-1251.360.mp4
C14-2019-0055,2019-06-06T00:00:00.000,97,http://austintx.swagit.com/play/45787/0/,https://swagit-video.granicus.com/archive/2019/06/06/06062019-651.360.mp4
NPA-2018-0026.02,2018-08-30T00:00:00.000,70,http://austintx.swagit.com/play/45768/0/,https://swagit-video.granicus.com/archive/2018/08/30/08302018-792.360.mp4
NPA-2018-0026.02,2018-09-20T00:00:00.000,89,http://austintx.swagit.com/play/45770/0/,https://swagit-video.granicus.com/archive/2018/09/20/09202018-889.360.mp4
NPA-2019-0020.04,2019-11-14T00:00:00.000,76,http://austintx.swagit.com/play/45799/0/,https://swagit-video.granicus.com/archive/2019/11/15/11152019-504.360.mp4
NPA-2019-0020.04,2019-12-05T00:00:00.000,111,http://austintx.swagit.com/play/45800/0/,https://swagit-video.granicus.com/archive/2019/12/05/12052019-632.360.mp4
NPA-2019-0020.04,2020-02-06T00:00:00.000,66,http://austintx.swagit.com/play/45803/0/,https://swagit-video.granicus.com/archive/2020/02/06/02062020-632.360.mp4
NPA-2018-0016.01,2018-12-13T00:00:00.000,68,http://austintx.swagit.com/play/45776/0/,https://swagit-video.granicus.com/archive/2018/12/14/12142018-717.360.mp4
NPA-2019-0005.01,2019-06-20T00:00:00.000,142,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/21/06212019-503.360.mp4
NPA-2019-0005.02,2019-08-08T00:00:00.000,112,http://austintx.swagit.com/play/45789/0/,https://swagit-video.granicus.com/archive/2019/08/09/08092019-564.360.mp4
NPA-2018-0026.01,2018-08-23T00:00:00.000,71,http://austintx.swagit.com/play/45767/0/,https://swagit-video.granicus.com/archive/2018/08/23/08232018-1188.360.mp4
C14-2019-0082,2019-12-05T00:00:00.000,112,http://austintx.swagit.com/play/45800/0/,https://swagit-video.granicus.com/archive/2019/12/05/12052019-632.360.mp4
C14-2019-0082,2019-11-14T00:00:00.000,77,http://austintx.swagit.com/play/45799/0/,https://swagit-video.granicus.com/archive/2019/11/15/11152019-504.360.mp4
C14-2019-0082,2020-02-06T00:00:00.000,67,http://austintx.swagit.com/play/45803/0/,https://swagit-video.granicus.com/archive/2020/02/06/02062020-632.360.mp4
NPA-2019-0020.03,2019-06-20T00:00:00.000,132,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-1724.360.mp4
NPA-2019-0027.01,2019-06-06T00:00:00.000,75,http://austintx.swagit.com/play/45787/0/,https://swagit-video.granicus.com/archive/2019/06/06/06062019-1432.360.mp4
NPA-2019-0021.01,2019-06-20T00:00:00.000,130,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-1723.360.mp4
C814-86-023.01,2018-11-01T00:00:00.000,55,http://austintx.swagit.com/play/45773/0/,https://swagit-video.granicus.com/archive/2018/11/01/11012018-925.360.mp4
NPA-2019-0029.01,2019-06-20T00:00:00.000,126,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-1722.360.mp4
