CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Swagit_URL,MP4_URL
C14-2018-0002,2018-06-14T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/45764/0/,https://swagit-video.granicus.com/archive/2018/06/14/06142018-637.360.mp4
C14-2016-0121,2018-03-01T00:00:00.000,34,Austin City Council,http://austintx.swagit.com/play/45757/0/,https://swagit-video.granicus.com/archive/2018/03/01/03012018-522.360.mp4
C14-2013-0092,2013-12-12T00:00:00.000,108,Austin City Council,http://austintx.swagit.com/play/45604/0/,https://swagit-video.granicus.com/archive/2013/12/12/12122013-693.h264.mp4
C14-2017-0139,2018-03-22T00:00:00.000,87,Austin City Council,http://austintx.swagit.com/play/45759/0/,https://swagit-video.granicus.com/archive/2018/03/22/03222018-584.360.mp4
C814-2012-0160,2013-06-20T00:00:00.000,78,Austin City Council,http://austintx.swagit.com/play/44957/0/,https://swagit-video.granicus.com/archive/2013/06/20/06202013-531.h264.mp4
C14H-2017-0082,2017-10-05T00:00:00.000,49,Austin City Council,http://austintx.swagit.com/play/45747/0/,https://swagit-video.granicus.com/archive/2017/10/05/10052017-521.360.mp4
C14-2014-0093,2014-08-28T00:00:00.000,125,Austin City Council,http://austintx.swagit.com/play/45637/0/,https://swagit-video.granicus.com/archive/2014/08/28/08282014-592.360.mp4
C14-2019-0133,2020-01-23T00:00:00.000,92,Austin City Council,http://austintx.swagit.com/play/45802/0/,https://swagit-video.granicus.com/archive/2020/01/23/01232020-665.360.mp4
NPA-2019-0021.02,2020-02-20T00:00:00.000,75,Austin City Council,http://austintx.swagit.com/play/45804/0/,https://swagit-video.granicus.com/archive/2020/02/20/02202020-566.360.mp4
C14-2016-0041,2016-08-11T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45714/0/,https://swagit-video.granicus.com/archive/2016/08/11/08112016-632.360.mp4
C814-2012-0085.01,2014-06-26T00:00:00.000,137,Austin City Council,http://austintx.swagit.com/play/45632/0/,https://swagit-video.granicus.com/archive/2014/06/26/06262014-1017.360.mp4
C14-2015-0163,2016-08-11T00:00:00.000,51,Austin City Council,http://austintx.swagit.com/play/45714/0/,https://swagit-video.granicus.com/archive/2016/08/11/08112016-632.360.mp4
C14-2019-0123,2019-12-05T00:00:00.000,98,Austin City Council,http://austintx.swagit.com/play/45800/0/,https://swagit-video.granicus.com/archive/2019/12/05/12052019-628.360.mp4
C14-2019-0048,2019-06-20T00:00:00.000,152,Austin City Council,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-661.360.mp4
C14-2019-0167,2020-04-09T00:00:00.000,49,Austin City Council,http://austintx.swagit.com/play/52008/0/,https://swagit-video.granicus.com/archive/2020/04/09/04092020-627.360.mp4
C14-2014-0134,2014-12-11T00:00:00.000,163,Austin City Council,http://austintx.swagit.com/play/45651/0/,https://swagit-video.granicus.com/archive/2014/12/11/12112014-1211.360.mp4
C14-2011-0043,2011-08-18T00:00:00.000,96,Austin City Council,http://austintx.swagit.com/play/45471/0/,https://swagit-video.granicus.com/archive/2011/08/18/08182011-26.h264.mp4
C14-2017-0022,2017-12-07T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/45752/0/,https://swagit-video.granicus.com/archive/2017/12/07/12072017-1228.360.mp4
C14-2015-0118,2015-12-17T00:00:00.000,84,Austin City Council,http://austintx.swagit.com/play/45697/0/,https://swagit-video.granicus.com/archive/2015/12/18/12182015-549.360.mp4
C14-2013-0064,2013-10-03T00:00:00.000,77,Austin City Council,http://austintx.swagit.com/play/45596/0/,https://swagit-video.granicus.com/archive/2013/10/03/10032013-545.h264.mp4
C14-2018-0030,2018-06-28T00:00:00.000,108,Austin City Council,http://austintx.swagit.com/play/45765/0/,https://swagit-video.granicus.com/archive/2018/06/28/06282018-725.360.mp4
C14-2011-0103,2011-10-20T00:00:00.000,83,Austin City Council,http://austintx.swagit.com/play/45481/0/,https://swagit-video.granicus.com/archive/2011/10/20/10202011-526.h264.mp4
C814-2012-0085.01,2014-12-11T00:00:00.000,177,Austin City Council,http://austintx.swagit.com/play/45651/0/,https://swagit-video.granicus.com/archive/2014/12/11/12112014-1211.360.mp4
C14-2013-0141,2014-02-13T00:00:00.000,68,Austin City Council,http://austintx.swagit.com/play/45608/0/,https://swagit-video.granicus.com/archive/2014/02/13/02132014-570.h264.mp4
C14H-2017-0055,2018-08-09T00:00:00.000,81,Austin City Council,http://austintx.swagit.com/play/45766/0/,https://swagit-video.granicus.com/archive/2018/08/09/08092018-591.360.mp4
NPA-2017-0016.05,2018-08-09T00:00:00.000,84,Austin City Council,http://austintx.swagit.com/play/45766/0/,https://swagit-video.granicus.com/archive/2018/08/09/08092018-591.360.mp4
C14-2010-0195,2011-01-27T00:00:00.000,48,Austin City Council,http://austintx.swagit.com/play/45434/0/,https://swagit-video.granicus.com/archive/2011/01/27/01272011-54.h264.mp4
C14-2016-0121,2018-02-01T00:00:00.000,86,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/01/02012018-538.360.mp4
C14-2011-0043,2011-08-04T00:00:00.000,45,Austin City Council,http://austintx.swagit.com/play/45468/0/,https://swagit-video.granicus.com/archive/2011/08/04/08042011-27.h264.mp4
C14-2012-0099,2012-10-18T00:00:00.000,89,Austin City Council,http://austintx.swagit.com/play/45543/0/,https://swagit-video.granicus.com/archive/2012/10/18/10182012-547.h264.mp4
C14-2015-0114,2016-11-10T00:00:00.000,35,Austin City Council,http://austintx.swagit.com/play/45722/0/,https://swagit-video.granicus.com/archive/2016/11/11/11112016-592.360.mp4
C14-2014-0070,2014-08-28T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/45637/0/,https://swagit-video.granicus.com/archive/2014/08/28/08282014-592.360.mp4
C14H-2017-0107,2017-10-05T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45747/0/,https://swagit-video.granicus.com/archive/2017/10/05/10052017-521.360.mp4
NPA-2019-0027.02,2019-11-14T00:00:00.000,81,Austin City Council,http://austintx.swagit.com/play/45799/0/,https://swagit-video.granicus.com/archive/2019/11/15/11152019-507.360.mp4
C14-2016-0059,2016-09-22T00:00:00.000,52,Austin City Council,http://austintx.swagit.com/play/45717/0/,https://swagit-video.granicus.com/archive/2016/09/22/09222016-647.360.mp4
C14-2012-0028,2012-08-02T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/45526/0/,https://swagit-video.granicus.com/archive/2012/08/02/08022012-554.h264.mp4
C14-2012-0046,2012-08-02T00:00:00.000,111,Austin City Council,http://austintx.swagit.com/play/45526/0/,https://swagit-video.granicus.com/archive/2012/08/02/08022012-554.h264.mp4
C14-2019-0106,2020-02-20T00:00:00.000,70,Austin City Council,http://austintx.swagit.com/play/45804/0/,https://swagit-video.granicus.com/archive/2020/02/20/02202020-566.360.mp4
C14-2017-0076,2017-10-05T00:00:00.000,43,Austin City Council,http://austintx.swagit.com/play/45747/0/,https://swagit-video.granicus.com/archive/2017/10/05/10052017-525.360.mp4
C14-2015-0127,2015-12-10T00:00:00.000,68,Austin City Council,http://austintx.swagit.com/play/45696/0/,https://swagit-video.granicus.com/archive/2015/12/10/12102015-643.360.mp4
C14-2014-0012,2014-05-15T00:00:00.000,51,Austin City Council,http://austintx.swagit.com/play/45624/0/,https://swagit-video.granicus.com/archive/2014/05/15/05152014-2779.h264.mp4
C14-2014-0009,2014-05-15T00:00:00.000,50,Austin City Council,http://austintx.swagit.com/play/45624/0/,https://swagit-video.granicus.com/archive/2014/05/15/05152014-2780.h264.mp4
C14-2012-0093,2013-01-17T00:00:00.000,82,Austin City Council,http://austintx.swagit.com/play/45555/0/,https://swagit-video.granicus.com/archive/2013/01/17/01172013-750.h264.mp4
C14-2013-0083,2014-05-01T00:00:00.000,57,Austin City Council,http://austintx.swagit.com/play/45622/0/,https://swagit-video.granicus.com/archive/2014/05/01/05012014-516.h264.mp4
C14-2011-0065,2013-01-31T00:00:00.000,61,Austin City Council,http://austintx.swagit.com/play/45557/0/,https://swagit-video.granicus.com/archive/2013/01/31/01312013-528.h264.mp4
NPA-2010-0021.02,2011-03-03T00:00:00.000,56,Austin City Council,http://austintx.swagit.com/play/45440/0/,https://swagit-video.granicus.com/archive/2011/03/03/03032011-20.h264.mp4
C14-2013-0023,2013-09-26T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/45594/0/,https://swagit-video.granicus.com/archive/2013/09/26/09262013-568.h264.mp4
C14-2011-0165,2012-06-14T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45520/0/,https://swagit-video.granicus.com/archive/2012/06/14/06142012-524.h264.mp4
C14-2012-0115,2012-12-06T00:00:00.000,105,Austin City Council,http://austintx.swagit.com/play/45551/0/,https://swagit-video.granicus.com/archive/2012/12/06/12062012-519.h264.mp4
C14-2017-0137,2018-02-01T00:00:00.000,116,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/01/02012018-538.360.mp4
C14-2012-0007,2012-03-22T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/45502/0/,https://swagit-video.granicus.com/archive/2012/03/22/03222012-549.h264.mp4
C14-2016-0106,2017-01-26T00:00:00.000,82,Austin City Council,http://austintx.swagit.com/play/01262017-762/0/,https://swagit-video.granicus.com/archive/2017/01/27/01272017-517.360.mp4
C14-2011-0131,2012-09-27T00:00:00.000,122,Austin City Council,http://austintx.swagit.com/play/45539/0/,https://swagit-video.granicus.com/archive/2012/09/27/09272012-537.h264.mp4
C14-2019-0082,2020-01-23T00:00:00.000,74,Austin City Council,http://austintx.swagit.com/play/45802/0/,https://swagit-video.granicus.com/archive/2020/01/23/01232020-665.360.mp4
C14-2010-0090,2010-09-23T00:00:00.000,111,Austin City Council,http://austintx.swagit.com/play/45424/0/,https://swagit-video.granicus.com/archive/2010/09/23/09232010-18.h264.mp4
C14-2013-0062,2013-09-26T00:00:00.000,121,Austin City Council,http://austintx.swagit.com/play/45594/0/,https://swagit-video.granicus.com/archive/2013/09/26/09262013-568.h264.mp4
C14-2017-0114,2018-02-01T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/02012018-524/0/,https://swagit-video.granicus.com/archive/2018/02/02/02022018-537.360.mp4
C14-2013-0147,2014-03-27T00:00:00.000,51,Austin City Council,http://austintx.swagit.com/play/45616/0/,https://swagit-video.granicus.com/archive/2014/03/27/03272014-621.h264.mp4
NPA-2016-0005.04,2017-08-31T00:00:00.000,80,Austin City Council,http://austintx.swagit.com/play/45745/0/,https://swagit-video.granicus.com/archive/2017/08/31/08312017-570.360.mp4
C14H-2016-0099,2016-12-08T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45724/0/,https://swagit-video.granicus.com/archive/2016/12/08/12082016-615.360.mp4
NPA-2011-0016.01,2012-02-02T00:00:00.000,27,Austin City Council,http://austintx.swagit.com/play/45495/0/,https://swagit-video.granicus.com/archive/2012/02/02/02022012-515.h264.mp4
C14-2016-0105,2017-02-16T00:00:00.000,55,Austin City Council,http://austintx.swagit.com/play/02162017-598/0/,https://swagit-video.granicus.com/archive/2017/02/16/02162017-610.360.mp4
C14-2018-0146,2019-06-06T00:00:00.000,92,Austin City Council,http://austintx.swagit.com/play/45787/0/,https://swagit-video.granicus.com/archive/2019/06/06/06062019-650.360.mp4
C14-2014-0048,2014-06-12T00:00:00.000,112,Austin City Council,http://austintx.swagit.com/play/45629/0/,https://swagit-video.granicus.com/archive/2014/06/12/06122014-584.360.mp4
C14-2016-0111,2017-12-07T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45752/0/,https://swagit-video.granicus.com/archive/2017/12/07/12072017-587.360.mp4
C14H-2010-0027,2010-12-16T00:00:00.000,91,Austin City Council,http://austintx.swagit.com/play/45432/0/,https://swagit-video.granicus.com/archive/2010/12/16/12162010-17.h264.mp4
NPA-2012-0005.01,2012-09-27T00:00:00.000,106,Austin City Council,http://austintx.swagit.com/play/45539/0/,https://swagit-video.granicus.com/archive/2012/09/27/09272012-537.h264.mp4
C14-2018-0069,2018-09-20T00:00:00.000,85,Austin City Council,http://austintx.swagit.com/play/45770/0/,https://swagit-video.granicus.com/archive/2018/09/20/09202018-885.360.mp4
C14H-2019-0077,2019-06-20T00:00:00.000,157,Austin City Council,http://austintx.swagit.com/play/45788/0/,https://swagit-video.granicus.com/archive/2019/06/20/06202019-654.360.mp4
C14-2014-0038,2014-06-12T00:00:00.000,107,Austin City Council,http://austintx.swagit.com/play/45629/0/,https://swagit-video.granicus.com/archive/2014/06/12/06122014-584.360.mp4
NPA-2017-0021.01,2020-02-20T00:00:00.000,71,Austin City Council,http://austintx.swagit.com/play/45804/0/,https://swagit-video.granicus.com/archive/2020/02/20/02202020-566.360.mp4
C14-2014-0038,2015-03-26T00:00:00.000,46,Austin City Council,http://austintx.swagit.com/play/45671/0/,https://swagit-video.granicus.com/archive/2015/03/26/03262015-1189.360.mp4
NPA-2015-0027.01,2015-10-08T00:00:00.000,22,Austin City Council,http://austintx.swagit.com/play/45691/0/,https://swagit-video.granicus.com/archive/2015/10/08/10082015-547.360.mp4
C14-2013-0158,2014-08-07T00:00:00.000,143,Austin City Council,http://austintx.swagit.com/play/45634/0/,https://swagit-video.granicus.com/archive/2014/08/07/08072014-787.360.mp4
C14-2011-0087,2011-12-08T00:00:00.000,115,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
C14-2016-0043,2017-01-26T00:00:00.000,55,Austin City Council,http://austintx.swagit.com/play/01262017-762/0/,https://swagit-video.granicus.com/archive/2017/01/26/01262017-769.360.mp4
C14-2017-0081,2017-09-28T00:00:00.000,90,Austin City Council,http://austintx.swagit.com/play/45746/0/,https://swagit-video.granicus.com/archive/2017/09/28/09282017-661.360.mp4
C14-2010-0015,2010-10-14T00:00:00.000,47,Austin City Council,http://austintx.swagit.com/play/45426/0/,https://swagit-video.granicus.com/archive/2010/10/14/10142010-13.h264.mp4
C14-2014-0025,2014-08-07T00:00:00.000,137,Austin City Council,http://austintx.swagit.com/play/45634/0/,https://swagit-video.granicus.com/archive/2014/08/07/08072014-787.360.mp4
C14-2014-0003,2014-05-22T00:00:00.000,68,Austin City Council,http://austintx.swagit.com/play/45626/0/,https://swagit-video.granicus.com/archive/2014/05/22/05222014-616.h264.mp4
C14-2014-0128,2014-10-16T00:00:00.000,58,Austin City Council,http://austintx.swagit.com/play/45643/0/,https://swagit-video.granicus.com/archive/2014/10/16/10162014-594.360.mp4
NPA-2017-0016.03,2019-02-21T00:00:00.000,44,Austin City Council,http://austintx.swagit.com/play/45780/0/,https://swagit-video.granicus.com/archive/2019/02/21/02212019-593.360.mp4
C14-2014-0036,2014-10-16T00:00:00.000,52,Austin City Council,http://austintx.swagit.com/play/45643/0/,https://swagit-video.granicus.com/archive/2014/10/16/10162014-1146.360.mp4
C14-2016-0079,2017-05-18T00:00:00.000,60,Austin City Council,http://austintx.swagit.com/play/45737/0/,https://swagit-video.granicus.com/archive/2017/05/18/05182017-624.360.mp4
C14-2011-0079,2011-12-08T00:00:00.000,106,Austin City Council,http://austintx.swagit.com/play/44938/0/,https://swagit-video.granicus.com/archive/2011/12/08/12082011-521.h264.mp4
