Threshold,Total Rows,Missing Rows,Yes Count,No Count,p-value
0.0,1000,0,295,604,1.0
0.01,1000,0,295,604,1.0
0.02,1000,0,295,604,1.0
0.03,1000,0,295,604,1.0
0.04,1000,0,295,604,1.0
0.05,1000,0,295,604,1.0
0.06,1000,0,295,604,1.0
0.07,1000,0,295,604,1.0
0.08,1000,0,295,604,1.0
0.09,1000,0,295,604,1.0
0.1,1000,0,295,604,1.0
0.11,1000,0,295,604,1.0
0.12,1000,0,295,604,1.0
0.13,1000,0,295,604,1.0
0.14,1000,0,295,604,1.0
0.15,1000,0,295,604,1.0
0.16,1000,0,295,604,1.0
0.17,1000,0,295,604,1.0
0.18,1000,0,295,604,1.0
0.19,1000,0,295,604,1.0
0.2,1000,0,295,604,1.0
0.21,1000,0,295,604,1.0
0.22,1000,0,295,604,1.0
0.23,1000,0,295,604,1.0
0.24,1000,0,295,604,1.0
0.25,1000,0,295,604,1.0
0.26,1000,0,295,604,1.0
0.27,1000,0,295,604,1.0
0.28,1000,0,295,604,1.0
0.29,1000,0,295,604,1.0
0.3,1000,0,295,604,1.0
0.31,1000,0,295,604,1.0
0.32,1000,0,295,604,1.0
0.33,1000,0,295,604,1.0
0.34,1000,0,295,604,1.0
0.35000000000000003,1000,0,295,604,1.0
0.36,1000,0,295,604,1.0
0.37,1000,0,295,604,1.0
0.38,1000,0,295,604,1.0
0.39,1000,0,295,604,1.0
0.4,1000,0,295,604,1.0
0.41000000000000003,1000,0,295,604,1.0
0.42,1000,0,295,604,1.0
0.43,1000,0,295,604,1.0
0.44,1000,0,295,604,1.0
0.45,1000,0,295,604,1.0
0.46,1000,0,295,604,1.0
0.47000000000000003,1000,0,295,604,1.0
0.48,1000,0,295,604,1.0
0.49,1000,0,295,604,1.0
0.5,1000,0,295,604,1.0
