iter	Passed	Remaining
0	4	411
1	7	391
2	11	371
3	14	357
4	18	351
5	22	348
6	25	343
7	29	338
8	33	333
9	36	329
10	39	323
11	43	319
12	47	314
13	51	313
14	54	309
15	58	306
16	61	300
17	64	294
18	67	288
19	70	283
20	74	279
21	77	274
22	80	269
23	83	264
24	86	259
25	89	256
26	93	252
27	96	247
28	99	243
29	102	239
30	105	235
31	108	231
32	111	227
33	114	223
34	118	219
35	121	215
36	124	212
37	127	208
38	130	204
39	133	200
40	137	197
41	141	195
42	145	192
43	148	188
44	151	185
45	155	181
46	158	178
47	161	174
48	164	170
49	168	168
50	173	166
51	176	162
52	180	160
53	184	157
54	188	154
55	192	150
56	195	147
57	198	143
58	201	140
59	206	137
60	210	134
61	213	130
62	217	127
63	220	123
64	223	120
65	226	116
66	229	113
67	232	109
68	236	106
69	239	102
70	242	99
71	245	95
72	248	91
73	251	88
74	255	85
75	258	81
76	261	78
77	264	74
78	268	71
79	271	67
80	274	64
81	277	61
82	281	57
83	284	54
84	287	50
85	290	47
86	293	43
87	296	40
88	300	37
89	303	33
90	306	30
91	309	26
92	312	23
93	316	20
94	320	16
95	324	13
96	328	10
97	331	6
98	334	3
99	338	0
