|                                 |   2021 |   2022 |   2023 |   2024 |
|:--------------------------------|-------:|-------:|-------:|-------:|
| ('CatBoost', 'Default')         |  0.395 |  0.236 |  0.876 |  0.472 |
| ('CatBoost', 'HighCap')         |  0.516 |  0.348 |  0.823 |  0.775 |
| ('CatBoost', 'Regularized')     |  0.463 |  0.28  |  0.824 |  0.778 |
| ('RandomForest', 'Default')     |  0.69  |  0.444 |  0.855 |  0.696 |
| ('RandomForest', 'HighCap')     |  0.632 |  0.458 |  0.844 |  0.545 |
| ('RandomForest', 'Regularized') |  0.429 |  0.38  |  0.832 |  1     |
| ('TabNet', 'Default')           |  0.462 |  0.226 |  0.714 |  0.728 |
| ('TabNet', 'HighCap')           |  0.247 |  0.052 |  0.17  |  0.117 |
| ('TabNet', 'Regularized')       |  0.373 |  0.321 |  0.264 |  0.181 |
| ('XGBoost', 'Default')          |  0.569 |  0.299 |  0.797 |  0.775 |
| ('XGBoost', 'HighCap')          |  0.543 |  0.307 |  0.83  |  0.844 |
| ('XGBoost', 'Regularized')      |  0.486 |  0.252 |  0.804 |  0.844 |
