Model,Profile,Evaluate_Year,PRAUC
CatBoost,Default,2021,0.3953952978072227
XGBoost,Default,2021,0.5688983020263808
RandomForest,Default,2021,0.6904183520526608
TabNet,Default,2021,0.4624062287080253
CatBoost,HighCap,2021,0.5156885898265209
XGBoost,HighCap,2021,0.5428244874415745
RandomForest,HighCap,2021,0.6318756920017424
TabNet,HighCap,2021,0.2472666654728031
CatBoost,Regularized,2021,0.4633217767454221
XGBoost,Regularized,2021,0.48578640581540633
RandomForest,Regularized,2021,0.42944642683607026
TabNet,Regularized,2021,0.37300592979037805
CatBoost,Default,2022,0.23637473637473638
XGBoost,Default,2022,0.29851190476190476
RandomForest,Default,2022,0.44358974358974357
TabNet,Default,2022,0.22641594516594515
CatBoost,HighCap,2022,0.34794372294372294
XGBoost,HighCap,2022,0.30668498168498165
RandomForest,HighCap,2022,0.4583333333333333
TabNet,HighCap,2022,0.05237891737891738
CatBoost,Regularized,2022,0.27976190476190477
XGBoost,Regularized,2022,0.2519230769230769
RandomForest,Regularized,2022,0.37976190476190474
TabNet,Regularized,2022,0.3207117925704313
CatBoost,Default,2023,0.8757783882783882
XGBoost,Default,2023,0.7966117216117216
RandomForest,Default,2023,0.8548523698523698
TabNet,Default,2023,0.7142596292596292
CatBoost,HighCap,2023,0.8230341880341879
XGBoost,HighCap,2023,0.8303030303030302
RandomForest,HighCap,2023,0.8438736263736263
TabNet,HighCap,2023,0.17023661333476628
CatBoost,Regularized,2023,0.8243578643578643
XGBoost,Regularized,2023,0.8043894993894993
RandomForest,Regularized,2023,0.8315323565323564
TabNet,Regularized,2023,0.26391949921960983
CatBoost,Default,2024,0.4720634920634921
XGBoost,Default,2024,0.7753968253968253
RandomForest,Default,2024,0.696190476190476
TabNet,Default,2024,0.7277777777777779
CatBoost,HighCap,2024,0.7753968253968253
XGBoost,HighCap,2024,0.8444444444444443
RandomForest,HighCap,2024,0.5453968253968253
TabNet,HighCap,2024,0.11666666666666667
CatBoost,Regularized,2024,0.7783333333333333
XGBoost,Regularized,2024,0.8444444444444443
RandomForest,Regularized,2024,1.0
TabNet,Regularized,2024,0.18149230709532216
