Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2018,CatBoost,Default,2019,0.7870842364466654
Pre-2018,XGBoost,Default,2019,0.7256093915516666
Pre-2018,RandomForest,Default,2019,0.7158314909420689
Pre-2018,LightGBM,Default,2019,0.7561557002705424
Pre-2018,Logistic,Default,2019,0.7848628382370317
Pre-2018,TabNet,Default,2019,0.7216234553200498
Pre-2018,TabNetVREx,Default,2019,0.5336020894138541
Pre-2018,CatBoost,HighCap,2019,0.7291547149877321
Pre-2018,XGBoost,HighCap,2019,0.68324220801057
Pre-2018,RandomForest,HighCap,2019,0.7099478192058837
Pre-2018,LightGBM,HighCap,2019,0.7468311809366438
Pre-2018,Logistic,HighCap,2019,0.6803469891738143
Pre-2018,TabNet,HighCap,2019,0.23551620961864372
Pre-2018,TabNetVREx,HighCap,2019,0.3988897540368128
Pre-2018,CatBoost,Regularized,2019,0.6759863642914503
Pre-2018,XGBoost,Regularized,2019,0.6913263197847239
Pre-2018,RandomForest,Regularized,2019,0.6368042638365219
Pre-2018,LightGBM,Regularized,2019,0.7512625940367876
Pre-2018,Logistic,Regularized,2019,0.9022936670622507
Pre-2018,TabNet,Regularized,2019,0.7456842620384955
Pre-2018,TabNetVREx,Regularized,2019,0.673990031791914
Pre-2018,CatBoost,ExtShallow,2019,0.7310873248615184
Pre-2018,XGBoost,ExtShallow,2019,0.6594214883842403
Pre-2018,RandomForest,ExtShallow,2019,0.6708481341005885
Pre-2018,LightGBM,ExtShallow,2019,0.7808918812031591
Pre-2018,Logistic,ExtShallow,2019,0.8403145662191945
Pre-2018,TabNet,ExtShallow,2019,0.509420614473246
Pre-2018,TabNetVREx,ExtShallow,2019,0.4559390874779869
Pre-2018,CatBoost,ExtDeep,2019,0.6867696745419465
Pre-2018,XGBoost,ExtDeep,2019,0.6966886415996182
Pre-2018,RandomForest,ExtDeep,2019,0.7086524479105124
Pre-2018,LightGBM,ExtDeep,2019,0.7476932248095236
Pre-2018,Logistic,ExtDeep,2019,0.6782715488357512
Pre-2018,TabNet,ExtDeep,2019,0.5219647259597755
Pre-2018,TabNetVREx,ExtDeep,2019,0.4341529780318481
Pre-2018,CatBoost,Default,2020,0.6431136765833804
Pre-2018,XGBoost,Default,2020,0.6323744449933083
Pre-2018,RandomForest,Default,2020,0.7446088084356549
Pre-2018,LightGBM,Default,2020,0.5637238204078098
Pre-2018,Logistic,Default,2020,0.6833347733032608
Pre-2018,TabNet,Default,2020,0.6616854118042751
Pre-2018,TabNetVREx,Default,2020,0.4701165839296092
Pre-2018,CatBoost,HighCap,2020,0.7392636867039786
Pre-2018,XGBoost,HighCap,2020,0.604409523593513
Pre-2018,RandomForest,HighCap,2020,0.716859375329079
Pre-2018,LightGBM,HighCap,2020,0.6721293038132932
Pre-2018,Logistic,HighCap,2020,0.7132834952162684
Pre-2018,TabNet,HighCap,2020,0.25058996583544596
Pre-2018,TabNetVREx,HighCap,2020,0.2379641880188816
Pre-2018,CatBoost,Regularized,2020,0.6909286359004403
Pre-2018,XGBoost,Regularized,2020,0.5777675230931533
Pre-2018,RandomForest,Regularized,2020,0.813706155999389
Pre-2018,LightGBM,Regularized,2020,0.5780816847656742
Pre-2018,Logistic,Regularized,2020,0.7456745843963888
Pre-2018,TabNet,Regularized,2020,0.3814675322102045
Pre-2018,TabNetVREx,Regularized,2020,0.6107961063356859
Pre-2018,CatBoost,ExtShallow,2020,0.6552251761948799
Pre-2018,XGBoost,ExtShallow,2020,0.56334008545143
Pre-2018,RandomForest,ExtShallow,2020,0.7951099704389177
Pre-2018,LightGBM,ExtShallow,2020,0.5791260768814949
Pre-2018,Logistic,ExtShallow,2020,0.8434089563318887
Pre-2018,TabNet,ExtShallow,2020,0.43780249486830697
Pre-2018,TabNetVREx,ExtShallow,2020,0.4216690879476121
Pre-2018,CatBoost,ExtDeep,2020,0.724624482660197
Pre-2018,XGBoost,ExtDeep,2020,0.621072424184985
Pre-2018,RandomForest,ExtDeep,2020,0.7077607358732967
Pre-2018,LightGBM,ExtDeep,2020,0.6897424446407197
Pre-2018,Logistic,ExtDeep,2020,0.7036546995193612
Pre-2018,TabNet,ExtDeep,2020,0.19335274107213593
Pre-2018,TabNetVREx,ExtDeep,2020,0.16070848523488176
Pre-2018,CatBoost,Default,2021,0.5433134648162113
Pre-2018,XGBoost,Default,2021,0.4692695410804222
Pre-2018,RandomForest,Default,2021,0.46719718509189556
Pre-2018,LightGBM,Default,2021,0.43176213276885866
Pre-2018,Logistic,Default,2021,0.48026585521123966
Pre-2018,TabNet,Default,2021,0.3400777337480273
Pre-2018,TabNetVREx,Default,2021,0.3273244702110613
Pre-2018,CatBoost,HighCap,2021,0.5290037969549248
Pre-2018,XGBoost,HighCap,2021,0.47903095123238437
Pre-2018,RandomForest,HighCap,2021,0.5936051046599476
Pre-2018,LightGBM,HighCap,2021,0.4796467887035309
Pre-2018,Logistic,HighCap,2021,0.5031280387317539
Pre-2018,TabNet,HighCap,2021,0.25012106714129817
Pre-2018,TabNetVREx,HighCap,2021,0.20078597899179804
Pre-2018,CatBoost,Regularized,2021,0.4476392846370276
Pre-2018,XGBoost,Regularized,2021,0.501646845669616
Pre-2018,RandomForest,Regularized,2021,0.44094947814451746
Pre-2018,LightGBM,Regularized,2021,0.46589462955663485
Pre-2018,Logistic,Regularized,2021,0.5090566226490596
Pre-2018,TabNet,Regularized,2021,0.287478932752052
Pre-2018,TabNetVREx,Regularized,2021,0.37260245841815703
Pre-2018,CatBoost,ExtShallow,2021,0.5425779439001032
Pre-2018,XGBoost,ExtShallow,2021,0.5171813190336277
Pre-2018,RandomForest,ExtShallow,2021,0.565818446742092
Pre-2018,LightGBM,ExtShallow,2021,0.5035299402294476
Pre-2018,Logistic,ExtShallow,2021,0.47025529662665977
Pre-2018,TabNet,ExtShallow,2021,0.26810853556309855
Pre-2018,TabNetVREx,ExtShallow,2021,0.3129614304686699
Pre-2018,CatBoost,ExtDeep,2021,0.6336819371265908
Pre-2018,XGBoost,ExtDeep,2021,0.46542264658827415
Pre-2018,RandomForest,ExtDeep,2021,0.651649343498083
Pre-2018,LightGBM,ExtDeep,2021,0.5373327867126999
Pre-2018,Logistic,ExtDeep,2021,0.4812170585063273
Pre-2018,TabNet,ExtDeep,2021,0.26882613978690756
Pre-2018,TabNetVREx,ExtDeep,2021,0.10552961060730898
Pre-2018,CatBoost,Default,2022,0.27275641025641023
Pre-2018,XGBoost,Default,2022,0.2506604506604506
Pre-2018,RandomForest,Default,2022,0.33809523809523806
Pre-2018,LightGBM,Default,2022,0.2700757575757576
Pre-2018,Logistic,Default,2022,0.31799242424242424
Pre-2018,TabNet,Default,2022,0.4394230769230769
Pre-2018,TabNetVREx,Default,2022,0.2763888888888889
Pre-2018,CatBoost,HighCap,2022,0.26726190476190476
Pre-2018,XGBoost,HighCap,2022,0.28154761904761905
Pre-2018,RandomForest,HighCap,2022,0.475
Pre-2018,LightGBM,HighCap,2022,0.2638888888888889
Pre-2018,Logistic,HighCap,2022,0.33819444444444446
Pre-2018,TabNet,HighCap,2022,0.12107023411371237
Pre-2018,TabNetVREx,HighCap,2022,0.04210479966634541
Pre-2018,CatBoost,Regularized,2022,0.2422161172161172
Pre-2018,XGBoost,Regularized,2022,0.2505952380952381
Pre-2018,RandomForest,Regularized,2022,0.25535714285714284
