Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2018,CatBoost,Default,2019,0.7870842364466654
Pre-2018,XGBoost,Default,2019,0.7256093915516666
Pre-2018,RandomForest,Default,2019,0.7158314909420689
Pre-2018,TabNet,Default,2019,0.9273076923076923
Pre-2018,CatBoost,HighCap,2019,0.7291547149877321
Pre-2018,XGBoost,HighCap,2019,0.6499007628117394
Pre-2018,RandomForest,HighCap,2019,0.7099478192058837
Pre-2018,TabNet,HighCap,2019,0.2744754646203498
Pre-2018,CatBoost,Regularized,2019,0.6759863642914503
Pre-2018,XGBoost,Regularized,2019,0.6913263197847239
Pre-2018,RandomForest,Regularized,2019,0.6368042638365219
Pre-2018,TabNet,Regularized,2019,0.6298313803487375
Pre-2018,CatBoost,Default,2020,0.6431136765833804
Pre-2018,XGBoost,Default,2020,0.6323744449933083
Pre-2018,RandomForest,Default,2020,0.7446088084356549
Pre-2018,TabNet,Default,2020,0.7309765373454007
Pre-2018,CatBoost,HighCap,2020,0.7392636867039786
Pre-2018,XGBoost,HighCap,2020,0.6081270362395971
Pre-2018,RandomForest,HighCap,2020,0.716859375329079
Pre-2018,TabNet,HighCap,2020,0.2516502955185694
Pre-2018,CatBoost,Regularized,2020,0.6909286359004403
Pre-2018,XGBoost,Regularized,2020,0.5777675230931533
Pre-2018,RandomForest,Regularized,2020,0.813706155999389
Pre-2018,TabNet,Regularized,2020,0.4333474019550145
Pre-2018,CatBoost,Default,2021,0.5433134648162113
Pre-2018,XGBoost,Default,2021,0.4692695410804222
Pre-2018,RandomForest,Default,2021,0.46719718509189556
Pre-2018,TabNet,Default,2021,0.7130102040816327
Pre-2018,CatBoost,HighCap,2021,0.5290037969549248
Pre-2018,XGBoost,HighCap,2021,0.47709017684824134
Pre-2018,RandomForest,HighCap,2021,0.5936051046599476
Pre-2018,TabNet,HighCap,2021,0.2579669821961027
Pre-2018,CatBoost,Regularized,2021,0.4476392846370276
Pre-2018,XGBoost,Regularized,2021,0.501646845669616
Pre-2018,RandomForest,Regularized,2021,0.44094947814451746
Pre-2018,TabNet,Regularized,2021,0.32583553595990467
Pre-2018,CatBoost,Default,2022,0.27275641025641023
Pre-2018,XGBoost,Default,2022,0.2506604506604506
Pre-2018,RandomForest,Default,2022,0.33809523809523806
Pre-2018,TabNet,Default,2022,0.4519230769230769
Pre-2018,CatBoost,HighCap,2022,0.26726190476190476
Pre-2018,XGBoost,HighCap,2022,0.2714285714285714
Pre-2018,RandomForest,HighCap,2022,0.475
Pre-2018,TabNet,HighCap,2022,0.12849130036630035
Pre-2018,CatBoost,Regularized,2022,0.2422161172161172
Pre-2018,XGBoost,Regularized,2022,0.2505952380952381
Pre-2018,RandomForest,Regularized,2022,0.25535714285714284
Pre-2018,TabNet,Regularized,2022,0.22195165945165946
Pre-2018,CatBoost,Default,2023,0.9332467532467531
Pre-2018,XGBoost,Default,2023,0.7998809523809522
Pre-2018,RandomForest,Default,2023,0.8499342324342324
Pre-2018,TabNet,Default,2023,0.7923015873015873
Pre-2018,CatBoost,HighCap,2023,0.7657864357864358
Pre-2018,XGBoost,HighCap,2023,0.8627228327228327
Pre-2018,RandomForest,HighCap,2023,0.8177228327228327
Pre-2018,TabNet,HighCap,2023,0.15761063615334972
Pre-2018,CatBoost,Regularized,2023,0.8322546897546897
Pre-2018,XGBoost,Regularized,2023,0.8308225108225108
Pre-2018,RandomForest,Regularized,2023,0.7925929625929626
Pre-2018,TabNet,Regularized,2023,0.5084977028621096
Pre-2018,CatBoost,Default,2024,0.8253968253968254
Pre-2018,XGBoost,Default,2024,0.5453968253968254
Pre-2018,RandomForest,Default,2024,0.6644444444444444
Pre-2018,TabNet,Default,2024,0.39722222222222214
Pre-2018,CatBoost,HighCap,2024,0.7892857142857141
Pre-2018,XGBoost,HighCap,2024,0.7683333333333333
Pre-2018,RandomForest,HighCap,2024,0.6977777777777778
Pre-2018,TabNet,HighCap,2024,0.04304170734732153
Pre-2018,CatBoost,Regularized,2024,0.7611111111111111
Pre-2018,XGBoost,Regularized,2024,0.5944444444444444
Pre-2018,RandomForest,Regularized,2024,1.0
Pre-2018,TabNet,Regularized,2024,0.21172896619787807
Pre-2019,CatBoost,Default,2020,0.6589434816988998
Pre-2019,XGBoost,Default,2020,0.5909354976194869
Pre-2019,RandomForest,Default,2020,0.6480216654199403
Pre-2019,TabNet,Default,2020,0.5981203762329371
Pre-2019,CatBoost,HighCap,2020,0.6884128218825255
Pre-2019,XGBoost,HighCap,2020,0.5758991450831344
Pre-2019,RandomForest,HighCap,2020,0.6815702596828206
Pre-2019,TabNet,HighCap,2020,0.09548676482442522
Pre-2019,CatBoost,Regularized,2020,0.6993044862405764
Pre-2019,XGBoost,Regularized,2020,0.5616245308085202
Pre-2019,RandomForest,Regularized,2020,0.8358149995368038
Pre-2019,TabNet,Regularized,2020,0.3218367942224801
Pre-2019,CatBoost,Default,2021,0.3983895880068423
Pre-2019,XGBoost,Default,2021,0.5521876226589416
Pre-2019,RandomForest,Default,2021,0.5136237576465281
Pre-2019,TabNet,Default,2021,0.43680273039170275
Pre-2019,CatBoost,HighCap,2021,0.4306892767583944
Pre-2019,XGBoost,HighCap,2021,0.48239450639309445
Pre-2019,RandomForest,HighCap,2021,0.5956101265883874
Pre-2019,TabNet,HighCap,2021,0.12773363111207542
Pre-2019,CatBoost,Regularized,2021,0.4155668747414153
Pre-2019,XGBoost,Regularized,2021,0.5129909031061105
Pre-2019,RandomForest,Regularized,2021,0.4572003209247181
Pre-2019,TabNet,Regularized,2021,0.27341590256092874
Pre-2019,CatBoost,Default,2022,0.256547619047619
Pre-2019,XGBoost,Default,2022,0.2724567099567099
Pre-2019,RandomForest,Default,2022,0.29910714285714285
Pre-2019,TabNet,Default,2022,0.4464285714285714
Pre-2019,CatBoost,HighCap,2022,0.27849927849927847
Pre-2019,XGBoost,HighCap,2022,0.256547619047619
Pre-2019,RandomForest,HighCap,2022,0.29166666666666663
Pre-2019,TabNet,HighCap,2022,0.013814214397587503
Pre-2019,CatBoost,Regularized,2022,0.2582001332001332
Pre-2019,XGBoost,Regularized,2022,0.25608974358974357
Pre-2019,RandomForest,Regularized,2022,0.2470238095238095
Pre-2019,TabNet,Regularized,2022,0.13024157584459092
Pre-2019,CatBoost,Default,2023,0.8552669552669552
Pre-2019,XGBoost,Default,2023,0.8577777777777778
Pre-2019,RandomForest,Default,2023,0.8132034632034633
Pre-2019,TabNet,Default,2023,0.6672718947718947
Pre-2019,CatBoost,HighCap,2023,0.807008547008547
Pre-2019,XGBoost,HighCap,2023,0.8602272727272727
Pre-2019,RandomForest,HighCap,2023,0.7936752136752137
Pre-2019,TabNet,HighCap,2023,0.049853631526790544
Pre-2019,CatBoost,Regularized,2023,0.8004151404151404
Pre-2019,XGBoost,Regularized,2023,0.840103785103785
Pre-2019,RandomForest,Regularized,2023,0.7381990231990231
Pre-2019,TabNet,Regularized,2023,0.3980884022208291
Pre-2019,CatBoost,Default,2024,0.5644444444444444
Pre-2019,XGBoost,Default,2024,0.7277777777777779
Pre-2019,RandomForest,Default,2024,0.5783333333333333
Pre-2019,TabNet,Default,2024,0.6116666666666666
Pre-2019,CatBoost,HighCap,2024,0.8583333333333332
Pre-2019,XGBoost,HighCap,2024,0.8528571428571428
Pre-2019,RandomForest,HighCap,2024,0.5783333333333333
