Feature,Relational_Importance_Pct
latitude,54.1284234293449
longitude,43.8639029058089
gross_site_area_acres,1.6812217412941608
delta_max_far,0.3264519235520463
ldb_lotsize,0.0
acs_owner_occupied_units,0.0
acs_renter_occupied_units,0.0
acs_median_gross_rent,0.0
acs_total_housing_units,0.0
acs_vintage,0.0
ldb_far,0.0
ldb_council_district,0.0
acs_poverty_count,0.0
ldb_ilr,0.0
ldb_units,0.0
ldb_yr_built,0.0
ldb_land_acres,0.0
acs_median_home_value,0.0
acs_race_hispanic,0.0
acs_median_household_income,0.0
ldb_appraised_val,0.0
acs_race_asian,0.0
acs_race_black,0.0
acs_race_white,0.0
acs_median_age,0.0
acs_total_population,0.0
zoning_case_GEOID,0.0
nearby_GEOID,0.0
council_district_y,0.0
lui_matched,0.0
lui_shape_area,0.0
lui_general_land_use,0.0
lui_land_use,0.0
ldb_imprv_sqft,0.0
ldb_land_use,0.0
ldb_market_val,0.0
record_sequence_number,0.0
bisg_asian_nbr,0.0
bisg_black_nbr,0.0
bisg_white_nbr,0.0
bisg_hispanic_200ft,0.0
bisg_asian_200ft,0.0
bisg_black_200ft,0.0
bisg_white_200ft,0.0
renter_share,0.0
neighbor_comm_share,0.0
neighbor_mf_share,0.0
neighbor_sf_share,0.0
median_household_income,0.0
senior_share,0.0
owner_occupancy_share,0.0
median_neighbor_far,0.0
median_neighbor_acreage,0.0
median_structure_age,0.0
median_sqft,0.0
std_appraised_value,0.0
mean_appraised_value,0.0
median_appraised_value,0.0
lui_source_year,0.0
lui_general_land_use_tv,0.0
lui_land_use_tv,0.0
ldb_source_year,0.0
ldb_constrained_area,0.0
ldb_gen_land_use,0.0
ears_matched,0.0
new_construction_value,0.0
supplemental_record_count,0.0
exemption_amount_dv,0.0
exemption_amount_ov65,0.0
exemption_amount_hs,0.0
assessed_value,0.0
appraised_value,0.0
total_market_value,0.0
improvement_market_value,0.0
land_market_value,0.0
land_acres,0.0
second_most_recent_sale_date,0.0
most_recent_sale_date,0.0
deed_acreage,0.0
year_built,0.0
owner_state,0.0
owner_city,0.0
owner_address_line2,0.0
owner_address_line1,0.0
owner_name,0.0
situs_city_state_zip,0.0
situs_street_suffix,0.0
account_number_formatted,0.0
taxing_unit_id,0.0
county_id,0.0
appraisal_district_id,0.0
tax_year,0.0
protest,0.0
delta_min_lot_sqft,0.0
delta_max_bldg_cov_pct,0.0
exemption_flag_dv,0.0
exemption_amount_dp,0.0
delta_max_height_ft,0.0
exemption_amount_ex366,0.0
prior_year_taxable_value,0.0
appraisal_district_id_2,0.0
school_district_flag,0.0
partial_exemption_flag,0.0
freeze_flag,0.0
net_taxable_value,0.0
total_exemption_amount,0.0
exemption_amount_other12,0.0
exemption_amount_other11,0.0
exemption_amount_other10,0.0
exemption_amount_other9,0.0
exemption_amount_other8,0.0
exemption_amount_other7,0.0
exemption_amount_other6,0.0
exemption_amount_other5,0.0
exemption_amount_other4,0.0
exemption_amount_other3,0.0
exemption_amount_other2,0.0
exemption_amount_other1,0.0
exemption_amount_ch313,0.0
exemption_amount_solar_wind,0.0
exemption_amount_ht,0.0
exemption_amount_fr,0.0
exemption_amount_pc,0.0
ag_market_value,0.0
productivity_value,0.0
taxable_value,0.0
bisg_hispanic_nbr,0.0
