Feature,Weighted_Relational_Importance
gross_site_area_acres,16.91219952923019
META_Probability_Discrete_Cliff,14.683681315266018
std_appraised_value,13.761112832793694
latitude,12.33123261266458
longitude,8.08295416893301
delta_max_bldg_cov_pct,6.515050690780418
META_Regression_Continuous_Float,5.316384630933019
median_household_income,4.137788964181289
median_sqft,3.999147798164212
delta_max_far,2.082464762643237
median_structure_age,1.8917952047449982
owner_occupancy_share,1.550828233043391
median_neighbor_far,1.388309337149758
delta_max_height_ft,1.3229066298452103
mean_appraised_value,1.055295514192216
delta_min_lot_sqft,0.9736987925081708
median_appraised_value,0.840038501208564
renter_share,0.7541095818830366
median_neighbor_acreage,0.5346060177948636
ldb_imprv_sqft,0.3585838203654949
lui_shape_area,0.164933100537813
acs_owner_occupied_units,0.12337892205432179
acs_median_household_income,0.09558115679199627
council_district_y,0.09284445772524179
acs_vintage,0.08954562350431665
lui_land_use_tv,0.07164240734289311
ldb_market_val,0.06795834121776204
ldb_land_use,0.06337387559847273
ldb_yr_built,0.0565423963420195
acs_median_age,0.056208758231413074
lui_land_use,0.05507032974257134
acs_renter_occupied_units,0.05407666277418896
lui_general_land_use,0.045936767174272586
ldb_land_acres,0.037640645487083596
ldb_ilr,0.03221370962866027
acs_race_hispanic,0.03192261815390659
acs_race_white,0.030501245337268973
acs_total_population,0.02901529659210726
lui_general_land_use_tv,0.026388989441498756
ldb_constrained_area,0.02523488783887508
ldb_council_district,0.02410642678970108
ldb_far,0.022615560771893656
ldb_appraised_val,0.022158907302374208
nearby_GEOID,0.020646294606726304
ldb_gen_land_use,0.01943281030731453
zoning_case_GEOID,0.019021303314753563
acs_median_home_value,0.018985173560141358
protest,0.0168997775249905
acs_race_asian,0.01233926704081082
acs_median_gross_rent,0.011450594799826422
acs_poverty_count,0.01065141827433912
acs_race_black,0.010079216147999257
ldb_lotsize,0.007670272271082282
lui_source_year,0.007534947581611669
situs_city_state_zip,0.004649482289366257
land_acres,0.003733192602975877
land_market_value,0.00371434140804523
improvement_market_value,0.003650826802843339
lui_matched,0.003353715738816019
ldb_source_year,0.00291087258104275
acs_total_housing_units,0.002547788834966795
ldb_units,0.002296492481794126
situs_street_suffix,0.0018353774969559432
assessed_value,0.0017700475559499424
most_recent_sale_date,0.0012532979832988393
appraised_value,0.0010152549246025904
tax_year,0.0006316531222729552
new_construction_value,0.0003809495238418089
owner_state,0.00036370393317328
productivity_value,9.251487880893863e-05
exemption_amount_ex366,9.3877056240075e-06
deed_acreage,0.0
appraisal_district_id,0.0
bisg_hispanic_nbr,0.0
bisg_asian_nbr,0.0
bisg_black_nbr,0.0
bisg_white_nbr,0.0
second_most_recent_sale_date,0.0
bisg_hispanic_200ft,0.0
bisg_asian_200ft,0.0
bisg_black_200ft,0.0
bisg_white_200ft,0.0
account_number_formatted,0.0
county_id,0.0
senior_share,0.0
year_built,0.0
neighbor_comm_share,0.0
neighbor_mf_share,0.0
neighbor_sf_share,0.0
owner_city,0.0
owner_address_line2,0.0
owner_address_line1,0.0
total_market_value,0.0
taxing_unit_id,0.0
owner_name,0.0
exemption_amount_other5,0.0
exemption_amount_hs,0.0
record_sequence_number,0.0
exemption_amount_other7,0.0
exemption_amount_other8,0.0
exemption_amount_other9,0.0
exemption_amount_other10,0.0
exemption_amount_other11,0.0
exemption_amount_other12,0.0
total_exemption_amount,0.0
net_taxable_value,0.0
freeze_flag,0.0
partial_exemption_flag,0.0
school_district_flag,0.0
appraisal_district_id_2,0.0
prior_year_taxable_value,0.0
exemption_amount_other4,0.0
ears_matched,0.0
exemption_amount_ov65,0.0
exemption_amount_other3,0.0
exemption_amount_other2,0.0
exemption_amount_other1,0.0
exemption_amount_ch313,0.0
exemption_amount_solar_wind,0.0
exemption_amount_ht,0.0
exemption_amount_fr,0.0
exemption_amount_pc,0.0
ag_market_value,0.0
taxable_value,0.0
exemption_amount_dp,0.0
exemption_amount_dv,0.0
exemption_amount_other6,0.0
exemption_flag_dv,0.0
supplemental_record_count,0.0
