,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive,Mathematical_Cluster,Average_Attribution_Magnitude
median_household_income,4.65003634459237,5.340780285648789,3.1036030552305007,2.392940687080501,2.610669918955177,2.122945418747689,1.2071488294976376,0.9401558115309244,5.781942324263226,1.300085676789415,1.3944789524871526,0.6441799459876826,4.161523892419676,1.0359794466419388,1.3451063279846924,0.8804543723891411,5.776609649032228,1.560563265444504,3.76011279066421,1.2340185912670811,9.926112975917809,3.9455059561112384,4.216854505434506,2.4629998641170707,0,2.991450370343132
delta_max_far,3.891064027899418,2.9919755257302474,2.636495766293005,3.689969303752473,1.3501112963096735,3.290050535956099,1.475853386907142,3.6010832998055373,2.532381291457388,2.79334328024964,2.061743191680647,2.687154535620009,1.5879731917934954,2.5599213097347584,2.8269187659388635,2.699066941914174,2.2761143436268587,3.2293395592490075,3.128059497195144,3.2087624433869166,2.058222566059952,4.080946941434541,3.206183560242515,3.9218228277294793,0,2.824356557915291
median_sqft,7.392902124385942,2.7869503993289397,4.656903788797592,2.234601999252922,6.298616942821798,1.841996831521137,5.656460334889496,1.3179181998250706,4.90809609463628,0.7402985487681466,1.7055255603955866,1.2890595655281694,2.8242197166164007,1.6050505998506608,1.8784096387924365,0.8746553404326858,2.2836859392801565,1.2073590475602156,1.814490002067944,0.8213028649333197,2.1787382812897045,0.9784432792537864,1.1798112287492728,1.17397197641951,0,2.485394512724882
delta_max_height_ft,0.6584189085833978,1.4725326645304924,1.5588990093292354,1.5223906857042089,1.3290889790197864,1.445562513164386,1.3612010879702576,0.8142727606232457,0.2310765985581783,0.8849176001111024,0.7800641689692016,0.9491623466597036,1.0742899505831425,1.8173265334656388,0.7609395002912084,1.3097136334443629,0.3925078829636428,0.5049108248553849,1.347634354950586,1.1891021153416934,0.215972887929678,0.7474408483257696,0.6327118076578052,1.1181747425517874,1,1.0049296835659958
district_gross_site_area_acres_lag_2yr,0.2344250986915061,0.5925435194376573,0.8698834027918829,0.3886045439126315,1.3766230916790343,0.7919921116342136,0.7359886625307164,0.6211689342037505,1.80963825420293,0.6103620168615096,1.1409667223750248,0.4071133192416792,0.8154414517540218,0.4799191645332511,1.2729445916979931,0.2229136108152303,2.3142784183690357,0.8941569311368703,0.5941274558301283,0.4154153768285239,2.226752865870687,0.6904208306395313,0.9846662522579605,0.5132247766302385,1,0.8751488084969169
district_latitude_lag_1yr,0.2033658841619156,1.3029883075738993,0.0,0.8691634178553138,0.3144045019004609,1.544272716224599,0.3024433849389902,1.1658403071916883,0.409031280205621,0.8614105739367568,0.5793422341397224,0.8832849160152284,0.2400305866400248,1.2647888594047996,0.5849859196210309,0.9400851216568936,1.0006288826731429,1.096671257990547,1.2129651945944782,1.0335838268066362,0.0,1.059365473590011,0.62615036618602,0.8039614161382547,1,0.7624485178935848
district_longitude_lag_2yr,0.4498238069908015,0.9887507633912064,1.0019608248949314,0.986039301412418,0.2725044330183239,0.7408297632195117,0.4305116618293835,0.8606484782301893,0.2578958897909085,0.9007310259335692,0.2680653247927976,0.7671577285963556,0.4292494778314129,1.336208318369978,0.5442709207215071,0.7449630470772056,0.3911300117570851,0.9132181690128424,0.6109904223025777,1.440292388513325,0.5616484959541965,0.9808380909803692,1.1728954750040264,0.8761234502634182,1,0.7469478029120141
renter_share,0.0586438283765668,0.2826713852505517,0.1841692748882621,0.7704670514434284,0.0,1.4575555307064498,0.4390852483224866,1.3638400667526576,1.0906954937331732,0.6269405206184427,0.148231170272986,0.4604605689103587,0.3356268478901338,0.5649089075966085,0.717769725224519,1.2355202544502186,1.240090042142126,1.136471684582426,0.2786648767142448,1.4467039836383766,1.5002681747675797,0.8236250921725099,0.4679249665929624,0.6689893771404957,1,0.7208051696744819
district_longitude_lag_5yr,0.2632407351343285,0.6528221266928345,0.2572709542226406,0.4834260097925967,0.3509234122402794,0.9866176552131938,1.1301669388977853,1.0342096224768331,1.6088566601033174,0.7765263947827507,0.5384033621457457,0.5335067126412387,0.9365448876499944,0.8924700289655687,0.0678677314495914,0.7035094371434983,1.2694996587805607,1.0178868003398174,0.6727976035389217,0.6877369559996773,0.5831519541011329,0.5348007102621366,0.6913238266782677,0.6228816073297467,1,0.7206850744409357
delta_min_lot_sqft,0.3414448253909208,1.2041053107328217,0.445485876053917,0.5507887009409071,0.6361549105610518,1.311517551836338,0.5870417693547746,0.9308434873526508,0.4013267124066429,1.3447539066459244,0.2351644344423958,0.8647403474419717,0.5769532641910307,0.4244647188213082,0.4045951866457316,0.724692335999207,0.2214109271902101,0.365310409455542,0.0788359131985718,0.1476090296021087,0.6464202391324303,0.5089157568219891,0.2827615605614007,0.5304043295049429,1,0.5735725626785331
