Anchor,Offset,TestYear,Topology,Target_Binning,Architecture,Metric,Score
2018,+1yr,2018,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.9584232199727912
2018,+1yr,2018,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.9584232199727912
2018,+2yr,2019,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.6850376731618059
2018,+2yr,2019,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.829172888567502
2018,+3yr,2020,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.9048154489833972
2018,+3yr,2020,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.990701503368689
2018,+1yr,2018,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.9179750874521552
2018,+1yr,2018,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.9314710744264845
2018,+1yr,2018,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.9140182653697327
2018,+1yr,2018,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8946015524245513
2018,+2yr,2019,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.7892486008144823
2018,+2yr,2019,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.8240535969940879
2018,+2yr,2019,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.7454087048319171
2018,+2yr,2019,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.726518199581282
2018,+3yr,2020,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.8676355183848492
2018,+3yr,2020,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.9824959117567853
2018,+3yr,2020,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8914878242508063
2018,+3yr,2020,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8665554941084076
2019,+1yr,2019,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.6773814358789375
2019,+1yr,2019,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.7034934525446537
2019,+2yr,2020,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8985658024348422
2019,+2yr,2020,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.9438370531171218
2019,+3yr,2021,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8621953682883063
2019,+3yr,2021,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8395964840907066
2019,+1yr,2019,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.7915190233513333
2019,+1yr,2019,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.6961180113002637
2019,+1yr,2019,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.715140803403607
2019,+1yr,2019,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.6883794596121134
2019,+2yr,2020,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.8409164930229038
2019,+2yr,2020,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.9396256106340308
2019,+2yr,2020,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8541439940750208
2019,+2yr,2020,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.9364326836089374
2019,+3yr,2021,Base_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.8006809480908711
2019,+3yr,2021,Meta_Ranker,Ordinal_Bins,CatBoost_YetiRank,NDCG,0.908375016099022
2019,+3yr,2021,Base_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8530746717039198
2019,+3yr,2021,Meta_Ranker,Ordinal_Bins,LGBM_LambdaMART,NDCG,0.8496983045794944
2020,+1yr,2020,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.9072871879421499
2020,+1yr,2020,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.93702312275395
2020,+2yr,2021,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8892503446642422
2020,+2yr,2021,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8733210414386752
2020,+3yr,2022,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.6179576084559528
2020,+3yr,2022,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank,NDCG,0.8665882728396959
