Anchor,Offset,TestYear,Topology,Target_Binning,Architecture,Metric,Score
2018,+1yr,2018,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.9584232199727912
2018,+1yr,2018,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.9390349291476381
2018,+1yr,2018,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.9584232199727912
2018,+1yr,2018,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.9294526481634799
2018,+2yr,2019,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.6850376731618059
2018,+2yr,2019,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.6973325205411876
2018,+2yr,2019,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.829172888567502
2018,+2yr,2019,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.8165582375353952
2018,+3yr,2020,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.9048154489833972
2018,+3yr,2020,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.9048154489833972
2018,+3yr,2020,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.990701503368689
2018,+3yr,2020,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.9232454859631063
2018,+4yr,2021,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.8018904785417043
2018,+4yr,2021,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.7384825174848173
2018,+4yr,2021,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.8181276409758693
2018,+4yr,2021,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.721776459603505
2018,+5yr,2022,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.6593140645859374
2018,+5yr,2022,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.5130729675451913
2018,+5yr,2022,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.5463803817609398
2018,+5yr,2022,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.6163573337878139
2018,+6yr,2023,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.713903524548579
2018,+6yr,2023,Base_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.736531097484752
2018,+6yr,2023,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth6,NDCG,0.8389525854732648
2018,+6yr,2023,Meta_Ranker,Absolute_Continuous,CatBoost_YetiRank_Depth10,NDCG,0.7358298616604543
