Anchor,Offset,TestYear,Topology,Target_Binning,Architecture,Metric,Score
2018,+1yr,2018,Base_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.6040992008809082
2018,+1yr,2018,Meta_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.5769948152440623
2018,+1yr,2018,Base_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.641983589184208
2018,+1yr,2018,Meta_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.7731295607643642
2018,+1yr,2018,Base_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.8961237814853736
2018,+1yr,2018,Meta_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.9104490316229807
2018,+1yr,2018,Base_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.7807775927292495
2018,+1yr,2018,Meta_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.6983248066335389
2018,+2yr,2019,Base_Regression,Absolute_Continuous,Ridge_L2,MdAPE,1.0
2018,+2yr,2019,Meta_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.8850149453773772
2018,+2yr,2019,Base_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.5515678432801208
2018,+2yr,2019,Meta_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.7581483394090363
2018,+2yr,2019,Base_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.2585054332069257
2018,+2yr,2019,Meta_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.2596709343724269
2018,+2yr,2019,Base_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.47871365329280297
2018,+2yr,2019,Meta_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.33485233772391954
2018,+3yr,2020,Base_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.47915303961605993
2018,+3yr,2020,Meta_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.5731841723304545
2018,+3yr,2020,Base_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.7099524004838413
2018,+3yr,2020,Meta_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.4934232981292568
2018,+3yr,2020,Base_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.6588005405483592
2018,+3yr,2020,Meta_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.6446627004043272
2018,+3yr,2020,Base_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.580275614593027
2018,+3yr,2020,Meta_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.5406410119250262
2019,+1yr,2019,Base_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.8764076180041432
2019,+1yr,2019,Meta_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.7607919750252492
2019,+1yr,2019,Base_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.7261042046138548
2019,+1yr,2019,Meta_Regression,Absolute_Continuous,MLP_Regressor,MdAPE,0.5879087543803713
2019,+1yr,2019,Base_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.2648544094023872
2019,+1yr,2019,Meta_Classifier,Boolean_Legal,LogisticReg,PR-AUC,0.2647305313549999
2019,+1yr,2019,Base_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.3763910145138534
2019,+1yr,2019,Meta_Classifier,Boolean_Legal,MLP_Classifier,PR-AUC,0.4222089730544124
2019,+2yr,2020,Base_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.4270524745721971
2019,+2yr,2020,Meta_Regression,Absolute_Continuous,Ridge_L2,MdAPE,0.5712804121457538
