Seed,Anchor,Offset,Architecture,Topology,Score
42,2018,1,CatBoost YetiRank Depth6,Base LTR,0.7168752870685277
42,2018,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.718607858131849
42,2018,2,CatBoost YetiRank Depth6,Base LTR,0.5913721831226021
42,2018,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6246067966377514
42,2018,3,CatBoost YetiRank Depth6,Base LTR,0.5643757335509041
42,2018,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5531154741265136
42,2018,4,CatBoost YetiRank Depth6,Base LTR,0.30604659795303957
42,2018,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3742229789698289
42,2018,5,CatBoost YetiRank Depth6,Base LTR,0.6446658847206996
42,2018,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6292144391049486
42,2018,6,CatBoost YetiRank Depth6,Base LTR,0.9621157624215441
42,2018,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9667470468041046
42,2018,1,CatBoost YetiRank Depth10,Base LTR,0.8303221242207806
42,2018,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8253134094896759
42,2018,2,CatBoost YetiRank Depth10,Base LTR,0.5915065947658869
42,2018,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5986880657921193
42,2018,3,CatBoost YetiRank Depth10,Base LTR,0.5282116613071556
42,2018,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5195331635895355
42,2018,4,CatBoost YetiRank Depth10,Base LTR,0.3146392237030898
42,2018,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.29099641201222914
42,2018,5,CatBoost YetiRank Depth10,Base LTR,0.7214820007120843
42,2018,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
42,2018,6,CatBoost YetiRank Depth10,Base LTR,0.8607896158119033
42,2018,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9073351385639234
42,2019,1,CatBoost YetiRank Depth6,Base LTR,0.5959110486910002
42,2019,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5939544031735253
42,2019,2,CatBoost YetiRank Depth6,Base LTR,0.5035606934149629
42,2019,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5235145405880278
42,2019,3,CatBoost YetiRank Depth6,Base LTR,0.3146167240858233
42,2019,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3740007526166923
42,2019,4,CatBoost YetiRank Depth6,Base LTR,0.552398323113564
42,2019,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.536946877497813
42,2019,5,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
42,2019,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9027038541813628
42,2019,6,CatBoost YetiRank Depth6,Base LTR,0.0
42,2019,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2019,1,CatBoost YetiRank Depth10,Base LTR,0.5953777172043558
42,2019,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5769930174786543
42,2019,2,CatBoost YetiRank Depth10,Base LTR,0.4828276614800065
42,2019,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5123533530395568
42,2019,3,CatBoost YetiRank Depth10,Base LTR,0.305535054052285
42,2019,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.30606117047988796
42,2019,4,CatBoost YetiRank Depth10,Base LTR,0.7214820007120843
42,2019,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
42,2019,5,CatBoost YetiRank Depth10,Base LTR,0.8740821853680283
42,2019,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.85252869103631
42,2019,6,CatBoost YetiRank Depth10,Base LTR,0.0
42,2019,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
42,2020,1,CatBoost YetiRank Depth6,Base LTR,0.5089810929120133
42,2020,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.4964792282747933
42,2020,2,CatBoost YetiRank Depth6,Base LTR,0.3143320808092805
42,2020,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.3144606153449932
42,2020,3,CatBoost YetiRank Depth6,Base LTR,0.6276952050185699
42,2020,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6441399578524764
42,2020,4,CatBoost YetiRank Depth6,Base LTR,0.8192757378404147
42,2020,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9621157624215441
42,2020,5,CatBoost YetiRank Depth6,Base LTR,0.0
42,2020,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2020,6,CatBoost YetiRank Depth6,Base LTR,0.0
42,2020,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
42,2020,1,CatBoost YetiRank Depth10,Base LTR,0.4954429536298012
42,2020,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.48093409945880017
42,2020,2,CatBoost YetiRank Depth10,Base LTR,0.3052989445385925
42,2020,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.28171849034881
42,2020,3,CatBoost YetiRank Depth10,Base LTR,0.5272465587946282
