Geographic_Layer,Architecture,Anchor_Year,Evaluation_Year,OOS_Offset,MdAPE
Macro,LGBM_Depth6,2018,2018,+1 Yr,0.8177
Macro,LGBM_Depth6,2018,2019,+1 Yr,0.8373
Macro,LGBM_Depth6,2018,2020,+1 Yr,0.735
Macro,LGBM_Depth6,2018,2021,+1 Yr,0.4876
Macro,LGBM_Depth6,2018,2022,+1 Yr,1.3638
Macro,LGBM_Depth6,2018,2023,+1 Yr,0.4322
Macro,LGBM_Depth10,2018,2018,+1 Yr,0.6456
Macro,LGBM_Depth10,2018,2019,+1 Yr,0.8358
Macro,LGBM_Depth10,2018,2020,+1 Yr,0.7372
Macro,LGBM_Depth10,2018,2021,+1 Yr,0.4397
Macro,LGBM_Depth10,2018,2022,+1 Yr,1.1921
Macro,LGBM_Depth10,2018,2023,+1 Yr,0.2838
Macro,XGB_Depth6,2018,2018,+1 Yr,0.6711
Macro,XGB_Depth6,2018,2019,+1 Yr,0.8933
Macro,XGB_Depth6,2018,2020,+1 Yr,0.7916
Macro,XGB_Depth6,2018,2021,+1 Yr,0.3138
Macro,XGB_Depth6,2018,2022,+1 Yr,0.8683
Macro,XGB_Depth6,2018,2023,+1 Yr,1.2105
Macro,XGB_Depth10,2018,2018,+1 Yr,0.6546
Macro,XGB_Depth10,2018,2019,+1 Yr,0.9295
Macro,XGB_Depth10,2018,2020,+1 Yr,0.8617
Macro,XGB_Depth10,2018,2021,+1 Yr,0.5747
Macro,XGB_Depth10,2018,2022,+1 Yr,0.9309
Macro,XGB_Depth10,2018,2023,+1 Yr,0.8503
Macro,CAT_Depth6,2018,2018,+1 Yr,0.841
Macro,CAT_Depth6,2018,2019,+1 Yr,0.3257
Macro,CAT_Depth6,2018,2020,+1 Yr,0.7112
Macro,CAT_Depth6,2018,2021,+1 Yr,0.6045
Macro,CAT_Depth6,2018,2022,+1 Yr,1.0023
Macro,CAT_Depth6,2018,2023,+1 Yr,0.2697
Macro,CAT_Depth10,2018,2018,+1 Yr,0.9776
Macro,CAT_Depth10,2018,2019,+1 Yr,0.4044
Macro,CAT_Depth10,2018,2020,+1 Yr,0.4483
Macro,CAT_Depth10,2018,2021,+1 Yr,0.6945
Macro,CAT_Depth10,2018,2022,+1 Yr,0.5709
Macro,CAT_Depth10,2018,2023,+1 Yr,2.1141
Macro,LGBM_Depth6,2019,2019,+1 Yr,0.8585
Macro,LGBM_Depth6,2019,2020,+1 Yr,0.6463
Macro,LGBM_Depth6,2019,2021,+1 Yr,0.4969
Macro,LGBM_Depth6,2019,2022,+1 Yr,1.3466
Macro,LGBM_Depth6,2019,2023,+1 Yr,0.494
Macro,LGBM_Depth10,2019,2019,+1 Yr,0.8704
Macro,LGBM_Depth10,2019,2020,+1 Yr,0.7201
Macro,LGBM_Depth10,2019,2021,+1 Yr,0.4036
Macro,LGBM_Depth10,2019,2022,+1 Yr,1.1989
Macro,LGBM_Depth10,2019,2023,+1 Yr,0.2243
Macro,XGB_Depth6,2019,2019,+1 Yr,0.9021
Macro,XGB_Depth6,2019,2020,+1 Yr,0.8462
Macro,XGB_Depth6,2019,2021,+1 Yr,0.2324
Macro,XGB_Depth6,2019,2022,+1 Yr,0.8846
Macro,XGB_Depth6,2019,2023,+1 Yr,0.6429
Macro,XGB_Depth10,2019,2019,+1 Yr,0.8535
Macro,XGB_Depth10,2019,2020,+1 Yr,0.8442
Macro,XGB_Depth10,2019,2021,+1 Yr,0.2231
Macro,XGB_Depth10,2019,2022,+1 Yr,0.89
Macro,XGB_Depth10,2019,2023,+1 Yr,0.6587
Macro,CAT_Depth6,2019,2019,+1 Yr,0.4852
Macro,CAT_Depth6,2019,2020,+1 Yr,0.3644
Macro,CAT_Depth6,2019,2021,+1 Yr,0.8149
Macro,CAT_Depth6,2019,2022,+1 Yr,0.5958
Macro,CAT_Depth6,2019,2023,+1 Yr,0.81
Macro,CAT_Depth10,2019,2019,+1 Yr,0.4121
Macro,CAT_Depth10,2019,2020,+1 Yr,1.1067
Macro,CAT_Depth10,2019,2021,+1 Yr,0.5256
Macro,CAT_Depth10,2019,2022,+1 Yr,1.3545
Macro,CAT_Depth10,2019,2023,+1 Yr,1.1051
Macro,LGBM_Depth6,2020,2020,+1 Yr,0.8378
Macro,LGBM_Depth6,2020,2021,+1 Yr,0.6132
Macro,LGBM_Depth6,2020,2022,+1 Yr,0.8364
Macro,LGBM_Depth6,2020,2023,+1 Yr,0.3016
Macro,LGBM_Depth10,2020,2020,+1 Yr,0.7025
Macro,LGBM_Depth10,2020,2021,+1 Yr,0.64
Macro,LGBM_Depth10,2020,2022,+1 Yr,0.7445
Macro,LGBM_Depth10,2020,2023,+1 Yr,0.0896
Macro,XGB_Depth6,2020,2020,+1 Yr,0.3803
Macro,XGB_Depth6,2020,2021,+1 Yr,0.2506
Macro,XGB_Depth6,2020,2022,+1 Yr,0.8579
Macro,XGB_Depth6,2020,2023,+1 Yr,0.695
Macro,XGB_Depth10,2020,2020,+1 Yr,0.2406
Macro,XGB_Depth10,2020,2021,+1 Yr,0.4703
Macro,XGB_Depth10,2020,2022,+1 Yr,0.8942
Macro,XGB_Depth10,2020,2023,+1 Yr,0.6771
Macro,CAT_Depth6,2020,2020,+1 Yr,0.6907
Macro,CAT_Depth6,2020,2021,+1 Yr,0.6649
Macro,CAT_Depth6,2020,2022,+1 Yr,1.2078
Macro,CAT_Depth6,2020,2023,+1 Yr,0.487
Macro,CAT_Depth10,2020,2020,+1 Yr,0.3312
Macro,CAT_Depth10,2020,2021,+1 Yr,0.3072
Macro,CAT_Depth10,2020,2022,+1 Yr,1.2263
Macro,CAT_Depth10,2020,2023,+1 Yr,2.2232
Macro,LGBM_Depth6,2021,2021,+1 Yr,1.4211
Macro,LGBM_Depth6,2021,2022,+1 Yr,0.1602
Macro,LGBM_Depth6,2021,2023,+1 Yr,0.9754
Macro,LGBM_Depth10,2021,2021,+1 Yr,1.2707
Macro,LGBM_Depth10,2021,2022,+1 Yr,0.3993
Macro,LGBM_Depth10,2021,2023,+1 Yr,0.5142
Macro,XGB_Depth6,2021,2021,+1 Yr,0.2858
Macro,XGB_Depth6,2021,2022,+1 Yr,0.8347
Macro,XGB_Depth6,2021,2023,+1 Yr,0.6625
Macro,XGB_Depth10,2021,2021,+1 Yr,0.3774
Macro,XGB_Depth10,2021,2022,+1 Yr,0.9216
Macro,XGB_Depth10,2021,2023,+1 Yr,0.6764
Macro,CAT_Depth6,2021,2021,+1 Yr,0.5647
Macro,CAT_Depth6,2021,2022,+1 Yr,0.5832
Macro,CAT_Depth6,2021,2023,+1 Yr,0.747
Macro,CAT_Depth10,2021,2021,+1 Yr,0.3622
Macro,CAT_Depth10,2021,2022,+1 Yr,0.3253
Macro,CAT_Depth10,2021,2023,+1 Yr,0.1042
Macro,LGBM_Depth6,2022,2022,+1 Yr,0.445
Macro,LGBM_Depth6,2022,2023,+1 Yr,0.8607
Macro,LGBM_Depth10,2022,2022,+1 Yr,0.5189
Macro,LGBM_Depth10,2022,2023,+1 Yr,0.6534
Macro,XGB_Depth6,2022,2022,+1 Yr,0.7714
Macro,XGB_Depth6,2022,2023,+1 Yr,0.6775
Macro,XGB_Depth10,2022,2022,+1 Yr,0.8558
Macro,XGB_Depth10,2022,2023,+1 Yr,0.6727
Macro,CAT_Depth6,2022,2022,+1 Yr,0.5875
Macro,CAT_Depth6,2022,2023,+1 Yr,0.5346
Macro,CAT_Depth10,2022,2022,+1 Yr,0.384
Macro,CAT_Depth10,2022,2023,+1 Yr,0.3838
Macro,LGBM_Depth6,2023,2023,+1 Yr,0.7486
Macro,LGBM_Depth10,2023,2023,+1 Yr,0.5838
Macro,XGB_Depth6,2023,2023,+1 Yr,0.6851
Macro,XGB_Depth10,2023,2023,+1 Yr,0.7084
Macro,CAT_Depth6,2023,2023,+1 Yr,0.1306
Macro,CAT_Depth10,2023,2023,+1 Yr,0.6932
Macro,LGBM_Depth6,2018,2018,+2 Yr,0.4975
Macro,LGBM_Depth6,2018,2019,+2 Yr,0.5883
Macro,LGBM_Depth6,2018,2020,+2 Yr,0.234
Macro,LGBM_Depth6,2018,2021,+2 Yr,1.1967
Macro,LGBM_Depth6,2018,2022,+2 Yr,0.2467
Macro,LGBM_Depth10,2018,2018,+2 Yr,0.523
Macro,LGBM_Depth10,2018,2019,+2 Yr,0.3842
Macro,LGBM_Depth10,2018,2020,+2 Yr,0.0963
Macro,LGBM_Depth10,2018,2021,+2 Yr,1.2548
Macro,LGBM_Depth10,2018,2022,+2 Yr,0.1827
Macro,XGB_Depth6,2018,2018,+2 Yr,0.6324
Macro,XGB_Depth6,2018,2019,+2 Yr,0.434
Macro,XGB_Depth6,2018,2020,+2 Yr,0.3135
Macro,XGB_Depth6,2018,2021,+2 Yr,1.4325
Macro,XGB_Depth6,2018,2022,+2 Yr,0.5727
Macro,XGB_Depth10,2018,2018,+2 Yr,0.6717
Macro,XGB_Depth10,2018,2019,+2 Yr,0.6216
Macro,XGB_Depth10,2018,2020,+2 Yr,0.4442
Macro,XGB_Depth10,2018,2021,+2 Yr,1.0302
Macro,XGB_Depth10,2018,2022,+2 Yr,0.6339
Macro,CAT_Depth6,2018,2018,+2 Yr,0.2547
Macro,CAT_Depth6,2018,2019,+2 Yr,0.7115
Macro,CAT_Depth6,2018,2020,+2 Yr,0.531
Macro,CAT_Depth6,2018,2021,+2 Yr,1.9013
Macro,CAT_Depth6,2018,2022,+2 Yr,0.6467
Macro,CAT_Depth10,2018,2018,+2 Yr,0.1667
Macro,CAT_Depth10,2018,2019,+2 Yr,1.0065
Macro,CAT_Depth10,2018,2020,+2 Yr,1.5586
Macro,CAT_Depth10,2018,2021,+2 Yr,1.2174
Macro,CAT_Depth10,2018,2022,+2 Yr,2.6262
Macro,LGBM_Depth6,2019,2019,+2 Yr,0.0386
Macro,LGBM_Depth6,2019,2020,+2 Yr,0.1908
Macro,LGBM_Depth6,2019,2021,+2 Yr,1.1877
Macro,LGBM_Depth6,2019,2022,+2 Yr,0.1407
Macro,LGBM_Depth10,2019,2019,+2 Yr,0.3511
Macro,LGBM_Depth10,2019,2020,+2 Yr,0.4044
Macro,LGBM_Depth10,2019,2021,+2 Yr,1.0523
Macro,LGBM_Depth10,2019,2022,+2 Yr,0.1441
Macro,XGB_Depth6,2019,2019,+2 Yr,0.5149
Macro,XGB_Depth6,2019,2020,+2 Yr,0.3508
Macro,XGB_Depth6,2019,2021,+2 Yr,0.8649
Macro,XGB_Depth6,2019,2022,+2 Yr,0.6467
Macro,XGB_Depth10,2019,2019,+2 Yr,0.5103
Macro,XGB_Depth10,2019,2020,+2 Yr,0.6683
Macro,XGB_Depth10,2019,2021,+2 Yr,0.9271
Macro,XGB_Depth10,2019,2022,+2 Yr,0.6643
Macro,CAT_Depth6,2019,2019,+2 Yr,1.0621
Macro,CAT_Depth6,2019,2020,+2 Yr,0.8988
Macro,CAT_Depth6,2019,2021,+2 Yr,1.5796
Macro,CAT_Depth6,2019,2022,+2 Yr,1.7696
Macro,CAT_Depth10,2019,2019,+2 Yr,0.6181
Macro,CAT_Depth10,2019,2020,+2 Yr,0.4381
Macro,CAT_Depth10,2019,2021,+2 Yr,0.99
Macro,CAT_Depth10,2019,2022,+2 Yr,1.117
Macro,LGBM_Depth6,2020,2020,+2 Yr,0.3183
Macro,LGBM_Depth6,2020,2021,+2 Yr,0.5496
Macro,LGBM_Depth6,2020,2022,+2 Yr,0.4108
Macro,LGBM_Depth10,2020,2020,+2 Yr,0.2289
Macro,LGBM_Depth10,2020,2021,+2 Yr,0.5068
Macro,LGBM_Depth10,2020,2022,+2 Yr,0.2292
Macro,XGB_Depth6,2020,2020,+2 Yr,0.4016
Macro,XGB_Depth6,2020,2021,+2 Yr,0.7428
Macro,XGB_Depth6,2020,2022,+2 Yr,0.4998
Macro,XGB_Depth10,2020,2020,+2 Yr,0.7185
Macro,XGB_Depth10,2020,2021,+2 Yr,0.7355
Macro,XGB_Depth10,2020,2022,+2 Yr,0.5733
Macro,CAT_Depth6,2020,2020,+2 Yr,0.9785
Macro,CAT_Depth6,2020,2021,+2 Yr,1.9539
Macro,CAT_Depth6,2020,2022,+2 Yr,1.0768
Macro,CAT_Depth10,2020,2020,+2 Yr,1.3357
Macro,CAT_Depth10,2020,2021,+2 Yr,1.07
Macro,CAT_Depth10,2020,2022,+2 Yr,1.0223
Macro,LGBM_Depth6,2021,2021,+2 Yr,0.7713
Macro,LGBM_Depth6,2021,2022,+2 Yr,0.4486
Macro,LGBM_Depth10,2021,2021,+2 Yr,0.6957
Macro,LGBM_Depth10,2021,2022,+2 Yr,0.2282
Macro,XGB_Depth6,2021,2021,+2 Yr,0.8389
Macro,XGB_Depth6,2021,2022,+2 Yr,0.4915
Macro,XGB_Depth10,2021,2021,+2 Yr,0.7242
Macro,XGB_Depth10,2021,2022,+2 Yr,0.4934
Macro,CAT_Depth6,2021,2021,+2 Yr,1.4389
