Threshold,Horizon,Test_Year,PR_AUC
0,14_Days,2022,0.0
0,14_Days,2023,0.0
0,14_Days,2024,1.0
0,1_Year,2022,0.0
0,1_Year,2023,0.0035584600668650324
0,1_Year,2024,0.5400019581552687
5,14_Days,2022,0.0
5,14_Days,2023,0.0
5,14_Days,2024,1.0000000000000002
5,1_Year,2022,0.0
5,1_Year,2023,0.001143719805819907
5,1_Year,2024,0.616322547597999
10,14_Days,2022,0.0
10,14_Days,2023,0.0
10,14_Days,2024,1.0
10,1_Year,2022,0.0
10,1_Year,2023,0.0007496773190774823
10,1_Year,2024,0.5133094671700908
15,14_Days,2022,0.0
15,14_Days,2023,0.0
15,14_Days,2024,0.875
15,1_Year,2022,0.0
15,1_Year,2023,0.0007989883800549893
15,1_Year,2024,0.611435306907616
20,14_Days,2022,0.0
20,14_Days,2023,0.0
20,14_Days,2024,0.5238095238095238
20,1_Year,2022,0.0
20,1_Year,2023,0.0043478005014509595
20,1_Year,2024,0.5608952583848478
25,14_Days,2022,0.0
25,14_Days,2023,0.0
25,14_Days,2024,1.0
25,1_Year,2022,0.0
25,1_Year,2023,0.0012830080715800387
25,1_Year,2024,0.4133246608795522
