Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2018,14_Days,CatBoost,Tree,0.9976056526689437,0.4591023748000492,0.0008588244209250044,158356,4989
2018,14_Days,RandomForest,Tree,0.9960819770946353,0.32716790127573186,0.0008588244209250044,158356,4989
2018,14_Days,LogisticL2,Linear,0.9874840934967517,0.10778089977227451,0.0008588244209250044,158356,4989
2018,14_Days,LogisticL1,Linear,0.987249681869935,0.10581941836213779,0.0008588244209250044,158356,4989
2018,14_Days,MLP,Deep,0.9908746902417788,0.31189044730446,0.0008588244209250044,158356,4989
2018,3_Months,CatBoost,Tree,0.9272928199619929,0.355508539328102,0.004407790042688626,158356,4989
2018,3_Months,RandomForest,Tree,0.8789597620424688,0.1646437684130942,0.004407790042688626,158356,4989
2018,3_Months,LogisticL2,Linear,0.9048954804593902,0.19744182173782482,0.004407790042688626,158356,4989
2018,3_Months,LogisticL1,Linear,0.9052672891018756,0.18332955528440834,0.004407790042688626,158356,4989
2018,3_Months,MLP,Deep,0.893712302734859,0.28354330785461546,0.004407790042688626,158356,4989
2018,6_Months,CatBoost,Tree,0.9311974469721483,0.3225426756805918,0.006895854909191947,158356,4989
2018,6_Months,RandomForest,Tree,0.8851407119777525,0.2293264164176414,0.006895854909191947,158356,4989
2018,6_Months,LogisticL2,Linear,0.8970875129550688,0.20864956812510355,0.006895854909191947,158356,4989
2018,6_Months,LogisticL1,Linear,0.898454536501639,0.20952610770970978,0.006895854909191947,158356,4989
2018,6_Months,MLP,Deep,0.8961636582769406,0.33185265427535793,0.006895854909191947,158356,4989
2018,1_Year,CatBoost,Tree,0.9481260109128916,0.4013957551428099,0.008215665967819344,158356,4989
2018,1_Year,RandomForest,Tree,0.912322307842101,0.38695338792741973,0.008215665967819344,158356,4989
2018,1_Year,LogisticL2,Linear,0.9000472918463294,0.23626212521821288,0.008215665967819344,158356,4989
2018,1_Year,LogisticL1,Linear,0.9011203001243895,0.2355975337645658,0.008215665967819344,158356,4989
2018,1_Year,MLP,Deep,0.9055961355805571,0.3374597819889784,0.008215665967819344,158356,4989
2018,2_Years,CatBoost,Tree,0.9320039344169491,0.4027154003938601,0.009143954128672105,158356,4989
2018,2_Years,RandomForest,Tree,0.9055049993985154,0.2946911266022154,0.009143954128672105,158356,4989
2018,2_Years,LogisticL2,Linear,0.8892180346313606,0.22424984651039662,0.009143954128672105,158356,4989
2018,2_Years,LogisticL1,Linear,0.8908031234741751,0.22267764358707176,0.009143954128672105,158356,4989
2018,2_Years,MLP,Deep,0.9092032451863541,0.3465765681985144,0.009143954128672105,158356,4989
2019,14_Days,CatBoost,Tree,0.9977450688869065,0.7182625174584008,0.0009060577305702654,163345,5329
2019,14_Days,RandomForest,Tree,0.9936267221726633,0.24293773113271433,0.0009060577305702654,163345,5329
2019,14_Days,LogisticL2,Linear,0.9680642283675289,0.19814200047274677,0.0009060577305702654,163345,5329
2019,14_Days,LogisticL1,Linear,0.9662999306175042,0.1970551767440309,0.0009060577305702654,163345,5329
2019,14_Days,MLP,Deep,0.9536128456735058,0.6850883873108172,0.0009060577305702654,163345,5329
2019,3_Months,CatBoost,Tree,0.849363140706172,0.2735951387086811,0.004573142734702623,163345,5329
2019,3_Months,RandomForest,Tree,0.8504081135828101,0.23351150273885646,0.004573142734702623,163345,5329
2019,3_Months,LogisticL2,Linear,0.8720620185660675,0.18214563544669524,0.004573142734702623,163345,5329
2019,3_Months,LogisticL1,Linear,0.874964976183805,0.18296281154036684,0.004573142734702623,163345,5329
2019,3_Months,MLP,Deep,0.850297874685934,0.14018459481900633,0.004573142734702623,163345,5329
2019,6_Months,CatBoost,Tree,0.881407271438185,0.22561391171124698,0.0072178517860969115,163345,5329
2019,6_Months,RandomForest,Tree,0.8596521402134205,0.2041914850207456,0.0072178517860969115,163345,5329
