iter	Passed	Remaining
0	302	301973
1	600	299505
2	935	310833
3	1158	288472
4	1457	290116
5	1735	287541
6	2081	295335
7	2402	297875
8	2723	299845
9	2965	293630
10	3219	289479
11	3503	288458
12	3804	288875
13	4126	290613
14	4400	288943
15	4682	287953
16	4949	286217
17	5184	282853
18	5401	278892
19	5717	280170
20	6018	280562
21	6326	281246
22	6643	282190
23	6930	281850
24	7274	283690
25	7565	283430
26	7863	283374
27	8157	283168
28	8498	284542
29	8734	282401
30	9055	283070
31	9363	283240
32	9700	284258
33	9968	283214
34	10290	283714
35	10583	283415
36	10839	282127
37	11119	281509
38	11438	281860
39	11745	281896
40	12058	282060
41	12391	282640
42	12649	281514
43	12869	279617
44	13154	279174
45	13435	278650
46	13701	277824
47	13960	276891
48	14238	276333
49	14552	276491
50	14753	274534
51	14959	272721
52	15169	271041
53	15374	269345
54	15589	267864
55	15794	266249
56	15996	264638
57	16195	263039
58	16402	261613
59	16616	260318
60	16825	259000
61	17003	257245
62	17173	255423
63	17378	254165
64	17567	252701
65	17801	251912
66	18016	250885
67	18242	250030
68	18565	250496
69	18863	250614
70	19107	250015
71	19320	249023
72	19611	249041
73	19912	249173
74	20172	248798
75	20532	249634
76	20799	249329
77	21118	249633
78	21406	249558
79	21670	249213
80	21872	248153
81	22075	247133
82	22294	246311
83	22510	245468
84	22719	244569
85	22924	243636
86	23087	242290
87	23348	241979
88	23703	242626
89	23922	241886
90	24237	242112
91	24505	241862
92	24776	241636
93	25061	241547
94	25343	241425
95	25646	241501
96	25940	241486
97	26267	241765
98	26541	241557
99	26821	241389
100	27208	242185
101	27602	243008
102	27957	243474
103	28214	243075
104	28419	242243
105	28658	241704
106	28875	240988
107	29142	240691
108	29425	240531
109	29710	240388
110	30050	240677
111	30457	241483
112	30869	242313
113	31269	243028
114	31675	243762
115	32067	244374
116	32318	243910
117	32566	243423
118	32854	243235
119	33139	243019
120	33406	242683
121	33655	242210
122	33966	242183
123	34383	242904
124	34696	242874
125	35027	242970
126	35358	243052
127	35695	243174
128	36126	243921
129	36432	243817
130	36769	243914
131	37086	243874
132	37425	243971
133	37823	244439
134	38171	244581
135	38515	244686
136	38899	245036
137	39254	245200
138	39586	245211
139	39897	245086
140	40218	245021
141	40553	245036
142	40967	245520
143	41321	245632
144	41769	246295
145	42108	246303
146	42386	245957
147	42701	245821
148	43046	245854
149	43385	245852
150	43703	245725
151	44014	245555
152	44319	245352
153	44707	245600
154	45032	245502
155	45404	245650
156	45766	245740
157	46096	245652
158	46530	246116
159	46969	246587
160	47347	246736
161	47701	246752
162	48110	247046
163	48448	246969
164	48774	246830
165	49094	246655
166	49357	246194
167	49647	245871
168	49953	245629
169	50371	245932
170	50668	245639
171	51022	245618
172	51389	245657
173	51724	245544
174	52048	245373
175	52376	245219
176	52676	244932
177	52988	244700
178	53286	244405
179	53594	244150
180	53885	243823
181	54181	243516
182	54486	243251
183	54803	243040
184	55113	242797
185	55452	242677
186	55783	242522
187	56116	242374
188	56474	242332
189	56823	242247
190	57185	242216
191	57543	242163
192	57871	241981
193	58204	241818
194	58521	241587
195	58840	241364
196	59195	241289
197	59454	240821
198	59738	240456
199	60052	240208
200	60369	239975
201	60710	239838
202	61032	239621
203	61347	239374
204	61661	239126
205	62018	239043
206	62364	238914
207	62686	238689
208	62992	238406
209	63314	238184
210	63694	238176
211	63979	237812
212	64263	237442
213	64558	237117
214	64846	236765
215	65130	236401
216	65416	236042
217	65689	235638
218	65967	235254
219	66249	234883
220	66520	234476
221	66796	234089
222	67079	233725
223	67360	233355
224	67634	232962
225	67910	232576
226	68192	232215
227	68482	231879
228	68768	231531
229	69072	231241
230	69409	231064
231	69713	230777
232	70031	230531
233	70349	230288
234	70657	230013
235	70975	229766
236	71269	229446
237	71577	229167
238	71949	229095
239	72286	228907
240	72601	228649
241	72901	228343
242	73220	228097
243	73523	227803
244	73970	227950
245	74378	227974
246	74619	227485
247	74879	227053
248	75156	226677
249	75528	226586
250	75933	226591
251	76348	226621
252	76627	226249
253	76869	225766
254	77108	225278
255	77438	225056
256	77859	225095
257	78269	225101
258	78542	224709
259	78783	224228
260	79022	223745
261	79292	223349
262	79695	223328
263	80103	223319
264	80446	223125
265	80680	222628
266	80918	222146
267	81162	221682
268	81500	221474
269	81894	221418
270	82304	221401
271	82576	221012
272	82818	220546
273	83059	220077
274	83322	219668
275	83718	219610
276	84134	219599
277	84498	219453
278	84772	219072
279	85046	218690
280	85302	218266
281	85714	218236
282	86163	218301
283	86531	218156
284	86775	217699
285	87031	217274
286	87286	216848
287	87734	216899
288	88184	216952
289	88523	216730
290	88747	216225
291	88999	215793
292	89256	215373
293	89611	215190
294	90043	215188
295	90481	215198
296	90730	214759
297	90996	214361
298	91237	213905
299	91575	213677
300	91982	213606
301	92419	213604
302	92690	213219
303	92938	212779
304	93206	212388
305	93557	212186
306	93945	212066
307	94267	211796
308	94551	211441
309	94793	210991
310	95043	210562
311	95329	210214
312	95634	209906
313	95968	209663
314	96305	209425
315	96633	209169
316	97006	209008
317	97381	208849
318	97757	208692
319	98178	208630
320	98509	208373
321	98818	208072
322	99122	207757
323	99440	207474
324	99748	207169
325	100062	206877
326	100376	206585
327	100652	206214
328	100946	205882
329	101244	205556
330	101539	205227
331	101831	204890
332	102149	204605
333	102472	204331
334	102714	203895
335	102975	203498
336	103249	203129
337	103543	202797
338	103845	202482
339	104137	202148
340	104437	201829
341	104738	201513
342	105063	201245
343	105388	200974
344	105695	200669
345	106000	200359
346	106293	200028
347	106581	199686
348	106831	199275
349	107105	198910
350	107390	198565
351	107693	198253
352	108052	198044
353	108357	197737
354	108650	197407
355	108944	197079
356	109231	196739
357	109528	196417
358	109845	196130
359	110158	195836
360	110459	195523
361	110765	195217
362	111063	194896
363	111374	194599
364	111693	194315
365	111997	194006
366	112296	193688
367	112593	193367
368	112826	192936
369	113098	192573
370	113379	192224
371	113675	191903
372	114053	191720
